date,count,total_count,ratio
"2021-01-01","53","2095","0.025298329355608593"
"2021-01-02","62","2452","0.02528548123980424"
"2021-01-03","52","2599","0.020007695267410544"
"2021-01-04","64","3896","0.01642710472279261"
"2021-01-05","53","4122","0.012857836001940806"
"2021-01-06","54","4439","0.012164902004956072"
"2021-01-07","48","4390","0.010933940774487472"
"2021-01-08","54","4431","0.012186865267433988"
"2021-01-09","74","2956","0.02503382949932341"
"2021-01-10","57","2833","0.020120014119308152"
"2021-01-11","68","3970","0.01712846347607053"
"2021-01-12","60","4836","0.01240694789081886"
"2021-01-13","41","4979","0.008234585258083953"
"2021-01-14","46","4915","0.009359104781281791"
"2021-01-15","65","4545","0.014301430143014302"
"2021-01-16","49","3074","0.01594014313597918"
"2021-01-17","48","2953","0.016254656281747375"
"2021-01-18","53","4409","0.012020866409616693"
"2021-01-19","101","4803","0.021028523839267125"
"2021-01-20","69","4937","0.013976098845452704"
"2021-01-21","89","5007","0.017775114839225083"
"2021-01-22","74","4493","0.01647006454484754"
"2021-01-23","39","3150","0.012380952380952381"
"2021-01-24","65","3156","0.020595690747782003"
"2021-01-25","76","4378","0.01735952489721334"
"2021-01-26","68","4531","0.015007724564113882"
"2021-01-27","86","4470","0.01923937360178971"
"2021-01-28","92","4543","0.020250935505172794"
"2021-01-29","84","4249","0.019769357495881382"
"2021-01-30","39","2213","0.01762313601446001"
"2021-01-31","2","318","0.006289308176100629"
"2021-02-01","55","2451","0.022439820481436147"
"2021-02-02","51","4654","0.01095831542758917"
"2021-02-03","48","4845","0.009907120743034056"
"2021-02-04","56","4484","0.012488849241748439"
"2021-02-05","68","4320","0.01574074074074074"
"2021-02-06","49","2989","0.01639344262295082"
"2021-02-07","51","2912","0.017513736263736264"
"2021-02-08","90","4410","0.02040816326530612"
"2021-02-09","101","4714","0.021425540941875265"
"2021-02-10","73","4905","0.014882772680937819"
"2021-02-11","74","4899","0.015105123494590733"
"2021-02-12","99","4357","0.02272205646086757"
"2021-02-13","29","2963","0.009787377657779277"
"2021-02-14","62","3106","0.019961365099806824"
"2021-02-15","75","4359","0.017205781142463867"
"2021-02-16","53","4477","0.011838284565557293"
"2021-02-17","71","4739","0.014982063726524584"
"2021-02-18","58","4778","0.012138970280452072"
"2021-02-19","39","4403","0.00885759709289121"
"2021-02-20","57","2972","0.01917900403768506"
"2021-02-21","70","2900","0.02413793103448276"
"2021-02-22","70","4601","0.015214083894805478"
"2021-02-23","131","3669","0.035704551648950665"
"2021-02-24","152","4848","0.03135313531353135"
"2021-02-25","76","4870","0.015605749486652977"
"2021-02-26","55","4562","0.012056115738711091"
"2021-02-27","54","3208","0.01683291770573566"
"2021-02-28","59","3272","0.018031784841075794"
"2021-03-01","79","4685","0.016862326574172894"
"2021-03-02","145","4830","0.030020703933747412"
"2021-03-03","141","4728","0.02982233502538071"
"2021-03-04","82","4881","0.01679983609916001"
"2021-03-05","67","4385","0.015279361459521095"
"2021-03-06","67","3074","0.021795705920624592"
"2021-03-07","63","3050","0.020655737704918034"
"2021-03-08","121","4366","0.0277141548327989"
"2021-03-09","79","4552","0.01735500878734622"
"2021-03-10","96","4645","0.020667384284176533"
"2021-03-11","79","4650","0.01698924731182796"
"2021-03-12","52","4569","0.011381046180783541"
"2021-03-13","48","3096","0.015503875968992248"
"2021-03-14","41","2995","0.013689482470784642"
"2021-03-15","110","4519","0.024341668510732464"
"2021-03-16","101","4780","0.02112970711297071"
"2021-03-17","94","4696","0.02001703577512777"
"2021-03-18","70","4728","0.014805414551607445"
"2021-03-19","67","4126","0.016238487639360154"
"2021-03-20","88","3044","0.02890932982917214"
"2021-03-21","52","3063","0.016976820111002284"
"2021-03-22","57","3634","0.015685195376995045"
"2021-03-23","45","3933","0.011441647597254004"
"2021-03-24","60","4709","0.012741558717349756"
"2021-03-25","81","4703","0.01722304911758452"
"2021-03-26","75","3724","0.020139634801288938"
"2021-03-27","54","3069","0.017595307917888565"
"2021-03-28","47","2964","0.015856950067476384"
"2021-03-29","92","4339","0.021203042175616502"
"2021-03-30","72","4573","0.015744587797944458"
"2021-03-31","91","4659","0.019532088430993775"
"2021-04-01","85","3568","0.02382286995515695"
"2021-04-02","72","3206","0.022457891453524642"
"2021-04-03","52","2980","0.0174496644295302"
"2021-04-04","65","2656","0.02447289156626506"
"2021-04-05","67","3681","0.018201575658788372"
"2021-04-06","70","4717","0.014839940640237439"
"2021-04-07","101","4967","0.020334205758002818"
"2021-04-08","15","1662","0.009025270758122744"
"2021-04-09","1","53","0.018867924528301886"
"2021-04-10","0","49","0"
"2021-04-11","3","136","0.022058823529411766"
"2021-04-12","8","394","0.02030456852791878"
"2021-04-13","38","2196","0.017304189435336976"
"2021-04-14","77","5079","0.015160464658397323"
"2021-04-15","85","5237","0.016230666412067978"
"2021-04-16","55","4742","0.011598481653310838"
"2021-04-17","31","1762","0.017593643586833144"
"2021-04-18","13","391","0.03324808184143223"
"2021-04-19","61","3134","0.0194639438417358"
"2021-04-20","72","4703","0.015309376993408463"
"2021-04-21","51","5440","0.009375"
"2021-04-22","53","5305","0.00999057492931197"
"2021-04-23","105","4773","0.02199874292897549"
"2021-04-24","81","3363","0.02408563782337199"
"2021-04-25","122","3413","0.0357456782888954"
"2021-04-26","101","4970","0.020321931589537223"
"2021-04-27","101","5409","0.018672582732482897"
"2021-04-28","49","5348","0.009162303664921465"
"2021-04-29","62","5302","0.011693700490380989"
"2021-04-30","71","5033","0.01410689449632426"
"2021-05-01","28","3521","0.007952286282306162"
"2021-05-02","32","3431","0.009326726901777908"
"2021-05-03","47","4767","0.009859450388084749"
