date,count,total_count,ratio
"2021-01-01","1","2095","0.00047732696897374703"
"2021-01-02","1","2452","0.0004078303425774878"
"2021-01-03","0","2599","0"
"2021-01-04","0","3896","0"
"2021-01-05","1","4122","0.00024260067928190198"
"2021-01-06","1","4439","0.00022527596305474206"
"2021-01-07","5","4390","0.0011389521640091116"
"2021-01-08","1","4431","0.00022568269013766644"
"2021-01-09","0","2956","0"
"2021-01-10","0","2833","0"
"2021-01-11","0","3970","0"
"2021-01-12","0","4836","0"
"2021-01-13","3","4979","0.0006025306286402892"
"2021-01-14","1","4915","0.0002034587995930824"
"2021-01-15","2","4545","0.00044004400440044003"
"2021-01-16","1","3074","0.00032530904359141186"
"2021-01-17","2","2953","0.0006772773450728074"
"2021-01-18","5","4409","0.0011340440009072353"
"2021-01-19","1","4803","0.00020820320632937748"
"2021-01-20","3","4937","0.0006076564715414219"
"2021-01-21","4","5007","0.000798881565807869"
"2021-01-22","3","4493","0.0006677053193857111"
"2021-01-23","1","3150","0.00031746031746031746"
"2021-01-24","2","3156","0.0006337135614702154"
"2021-01-25","3","4378","0.0006852444038373687"
"2021-01-26","2","4531","0.0004414036636504083"
"2021-01-27","2","4470","0.00044742729306487697"
"2021-01-28","3","4543","0.0006603565925599824"
"2021-01-29","3","4249","0.0007060484819957637"
"2021-01-30","1","2213","0.00045187528242205153"
"2021-01-31","0","318","0"
"2021-02-01","5","2451","0.002039983680130559"
"2021-02-02","2","4654","0.0004297378599054577"
"2021-02-03","2","4845","0.000412796697626419"
"2021-02-04","1","4484","0.00022301516503122213"
"2021-02-05","1","4320","0.0002314814814814815"
"2021-02-06","2","2989","0.0006691201070592171"
"2021-02-07","3","2912","0.0010302197802197802"
"2021-02-08","3","4410","0.0006802721088435374"
"2021-02-09","5","4714","0.0010606703436571913"
"2021-02-10","1","4905","0.00020387359836901122"
"2021-02-11","3","4899","0.000612369871402327"
"2021-02-12","1","4357","0.00022951572182694515"
"2021-02-13","0","2963","0"
"2021-02-14","5","3106","0.0016097875080489374"
"2021-02-15","6","4359","0.0013764624913971094"
"2021-02-16","8","4477","0.0017869108778199687"
"2021-02-17","2","4739","0.00042202996412745304"
"2021-02-18","5","4778","0.0010464629552113854"
"2021-02-19","5","4403","0.0011355893708834886"
"2021-02-20","3","2972","0.001009421265141319"
"2021-02-21","4","2900","0.001379310344827586"
"2021-02-22","1","4601","0.00021734405564007825"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","5","4848","0.0010313531353135313"
"2021-02-25","5","4870","0.001026694045174538"
"2021-02-26","2","4562","0.00043840420868040335"
"2021-02-27","1","3208","0.0003117206982543641"
"2021-02-28","2","3272","0.0006112469437652812"
"2021-03-01","0","4685","0"
"2021-03-02","1","4830","0.00020703933747412008"
"2021-03-03","2","4728","0.00042301184433164127"
"2021-03-04","8","4881","0.0016390083999180496"
"2021-03-05","3","4385","0.0006841505131128849"
"2021-03-06","2","3074","0.0006506180871828237"
"2021-03-07","3","3050","0.0009836065573770492"
"2021-03-08","7","4366","0.001603298213467705"
"2021-03-09","1","4552","0.0002196836555360281"
"2021-03-10","1","4645","0.00021528525296017224"
"2021-03-11","1","4650","0.00021505376344086021"
"2021-03-12","2","4569","0.0004377325454147516"
"2021-03-13","0","3096","0"
"2021-03-14","0","2995","0"
"2021-03-15","1","4519","0.0002212878955521133"
"2021-03-16","4","4780","0.0008368200836820083"
"2021-03-17","1","4696","0.00021294718909710392"
"2021-03-18","10","4728","0.0021150592216582064"
"2021-03-19","2","4126","0.0004847309743092584"
"2021-03-20","4","3044","0.001314060446780552"
"2021-03-21","5","3063","0.001632386549134835"
"2021-03-22","5","3634","0.001375894331315355"
"2021-03-23","3","3933","0.0007627765064836003"
"2021-03-24","6","4709","0.0012741558717349756"
"2021-03-25","1","4703","0.00021263023601956197"
"2021-03-26","3","3724","0.0008055853920515575"
"2021-03-27","2","3069","0.0006516780710329097"
"2021-03-28","1","2964","0.00033738191632928474"
"2021-03-29","4","4339","0.0009218713989398478"
"2021-03-30","5","4573","0.0010933741526350316"
"2021-03-31","8","4659","0.0017171066752522"
"2021-04-01","0","3568","0"
"2021-04-02","3","3206","0.0009357454772301934"
"2021-04-03","2","2980","0.0006711409395973154"
"2021-04-04","3","2656","0.0011295180722891566"
"2021-04-05","2","3681","0.0005433306166802499"
"2021-04-06","3","4717","0.0006359974560101759"
"2021-04-07","6","4967","0.0012079726192872962"
"2021-04-08","0","1662","0"
"2021-04-09","0","53","0"
"2021-04-10","0","49","0"
"2021-04-11","0","136","0"
"2021-04-12","0","394","0"
"2021-04-13","1","2196","0.0004553734061930783"
"2021-04-14","4","5079","0.0007875566056310297"
"2021-04-15","7","5237","0.001336643116287951"
"2021-04-16","2","4742","0.00042176296921130323"
"2021-04-17","0","1762","0"
"2021-04-18","0","391","0"
"2021-04-19","2","3134","0.0006381620931716656"
"2021-04-20","6","4703","0.0012757814161173718"
"2021-04-21","4","5440","0.0007352941176470588"
"2021-04-22","5","5305","0.000942507068803016"
"2021-04-23","3","4773","0.0006285355122564425"
"2021-04-24","2","3363","0.0005947071067499256"
"2021-04-25","1","3413","0.0002929973630237328"
"2021-04-26","0","4970","0"
"2021-04-27","0","5409","0"
"2021-04-28","2","5348","0.00037397157816005983"
"2021-04-29","3","5302","0.0005658242172764995"
"2021-04-30","7","5033","0.0013908205841446453"
"2021-05-01","8","3521","0.002272081794944618"
"2021-05-02","2","3431","0.0005829204313611193"
"2021-05-03","6","4767","0.0012586532410320957"
"2021-05-04","6","5246","0.001143728555089592"
"2021-05-05","1","5226","0.00019135093761959434"
"2021-05-06","1","5231","0.00019116803670426305"
"2021-05-07","4","4875","0.0008205128205128205"
"2021-05-08","7","3552","0.0019707207207207205"
"2021-05-09","7","3416","0.0020491803278688526"
"2021-05-10","2","5022","0.00039824771007566706"
"2021-05-11","5","5579","0.0008962179602079225"
"2021-05-12","10","5511","0.0018145527127563057"
"2021-05-13","1","5156","0.0001939487975174554"
"2021-05-14","6","4766","0.001258917331095258"
"2021-05-15","0","3751","0"
