date,count,total_count,ratio
"2021-01-01","1","2095","0.00047732696897374703"
"2021-01-02","0","2452","0"
"2021-01-03","1","2599","0.00038476337052712584"
"2021-01-04","3","3896","0.0007700205338809035"
"2021-01-05","3","4122","0.000727802037845706"
"2021-01-06","2","4439","0.0004505519261094841"
"2021-01-07","1","4390","0.00022779043280182233"
"2021-01-08","0","4431","0"
"2021-01-09","0","2956","0"
"2021-01-10","2","2833","0.0007059654076950229"
"2021-01-11","2","3970","0.0005037783375314861"
"2021-01-12","0","4836","0"
"2021-01-13","3","4979","0.0006025306286402892"
"2021-01-14","3","4915","0.0006103763987792472"
"2021-01-15","4","4545","0.0008800880088008801"
"2021-01-16","3","3074","0.0009759271307742355"
"2021-01-17","7","2953","0.0023704707077548256"
"2021-01-18","6","4409","0.0013608528010886822"
"2021-01-19","3","4803","0.0006246096189881324"
"2021-01-20","1","4937","0.00020255215718047398"
"2021-01-21","2","5007","0.0003994407829039345"
"2021-01-22","5","4493","0.001112842198976185"
"2021-01-23","2","3150","0.0006349206349206349"
"2021-01-24","4","3156","0.0012674271229404308"
"2021-01-25","1","4378","0.00022841480127912289"
"2021-01-26","7","4531","0.001544912822776429"
"2021-01-27","5","4470","0.0011185682326621924"
"2021-01-28","3","4543","0.0006603565925599824"
"2021-01-29","4","4249","0.0009413979759943516"
"2021-01-30","4","2213","0.0018075011296882061"
"2021-01-31","0","318","0"
"2021-02-01","2","2451","0.0008159934720522236"
"2021-02-02","3","4654","0.0006446067898581865"
"2021-02-03","5","4845","0.0010319917440660474"
"2021-02-04","6","4484","0.0013380909901873326"
"2021-02-05","4","4320","0.000925925925925926"
"2021-02-06","1","2989","0.00033456005352960856"
"2021-02-07","1","2912","0.00034340659340659343"
"2021-02-08","1","4410","0.00022675736961451248"
"2021-02-09","6","4714","0.0012728044123886295"
"2021-02-10","2","4905","0.00040774719673802244"
"2021-02-11","4","4899","0.0008164931618697694"
"2021-02-12","4","4357","0.0009180628873077806"
"2021-02-13","1","2963","0.0003374957813027337"
"2021-02-14","4","3106","0.00128783000643915"
"2021-02-15","5","4359","0.0011470520761642578"
"2021-02-16","3","4477","0.0006700915791824883"
"2021-02-17","6","4739","0.0012660898923823592"
"2021-02-18","8","4778","0.0016743407283382169"
"2021-02-19","2","4403","0.0004542357483533954"
"2021-02-20","2","2972","0.0006729475100942127"
"2021-02-21","2","2900","0.000689655172413793"
"2021-02-22","2","4601","0.0004346881112801565"
"2021-02-23","4","3669","0.0010902153175252113"
"2021-02-24","5","4848","0.0010313531353135313"
"2021-02-25","0","4870","0"
"2021-02-26","2","4562","0.00043840420868040335"
"2021-02-27","6","3208","0.0018703241895261845"
"2021-02-28","2","3272","0.0006112469437652812"
"2021-03-01","0","4685","0"
"2021-03-02","16","4830","0.0033126293995859213"
"2021-03-03","13","4728","0.0027495769881556685"
"2021-03-04","6","4881","0.001229256299938537"
"2021-03-05","6","4385","0.0013683010262257698"
"2021-03-06","1","3074","0.00032530904359141186"
"2021-03-07","0","3050","0"
"2021-03-08","15","4366","0.003435639028859368"
"2021-03-09","8","4552","0.0017574692442882249"
"2021-03-10","2","4645","0.0004305705059203445"
"2021-03-11","2","4650","0.00043010752688172043"
"2021-03-12","5","4569","0.001094331363536879"
"2021-03-13","1","3096","0.00032299741602067185"
"2021-03-14","3","2995","0.001001669449081803"
"2021-03-15","5","4519","0.0011064394777605664"
"2021-03-16","9","4780","0.0018828451882845188"
"2021-03-17","5","4696","0.0010647359454855196"
"2021-03-18","0","4728","0"
"2021-03-19","6","4126","0.001454192922927775"
"2021-03-20","1","3044","0.000328515111695138"
"2021-03-21","0","3063","0"
"2021-03-22","2","3634","0.000550357732526142"
