date,count,total_count,ratio
"2021-01-01","37","2095","0.01766109785202864"
"2021-01-02","44","2452","0.01794453507340946"
"2021-01-03","73","2599","0.028087726048480186"
"2021-01-04","87","3896","0.022330595482546203"
"2021-01-05","83","4122","0.020135856380397867"
"2021-01-06","64","4439","0.014417661635503492"
"2021-01-07","93","4390","0.021184510250569475"
"2021-01-08","90","4431","0.020311442112389978"
"2021-01-09","55","2956","0.018606224627875506"
"2021-01-10","49","2833","0.01729615248852806"
"2021-01-11","76","3970","0.019143576826196475"
"2021-01-12","91","4836","0.01881720430107527"
"2021-01-13","115","4979","0.023097007431211087"
"2021-01-14","100","4915","0.02034587995930824"
"2021-01-15","78","4545","0.017161716171617162"
"2021-01-16","37","3074","0.012036434612882238"
"2021-01-17","40","2953","0.013545546901456146"
"2021-01-18","89","4409","0.020185983216148787"
"2021-01-19","98","4803","0.02040391422027899"
"2021-01-20","72","4937","0.014583755316994126"
"2021-01-21","118","5007","0.023567006191332136"
"2021-01-22","95","4493","0.021144001780547518"
"2021-01-23","51","3150","0.01619047619047619"
"2021-01-24","67","3156","0.021229404309252218"
"2021-01-25","110","4378","0.02512562814070352"
"2021-01-26","96","4531","0.021187375855219598"
"2021-01-27","105","4470","0.02348993288590604"
"2021-01-28","90","4543","0.01981069777679947"
"2021-01-29","110","4249","0.02588844433984467"
"2021-01-30","54","2213","0.024401265250790782"
"2021-01-31","7","318","0.0220125786163522"
"2021-02-01","53","2451","0.021623827009383926"
"2021-02-02","86","4654","0.01847872797593468"
"2021-02-03","85","4845","0.017543859649122806"
"2021-02-04","101","4484","0.022524531668153436"
"2021-02-05","75","4320","0.017361111111111112"
"2021-02-06","54","2989","0.018066242890598862"
"2021-02-07","61","2912","0.020947802197802196"
"2021-02-08","75","4410","0.017006802721088437"
"2021-02-09","98","4714","0.02078913873568095"
"2021-02-10","95","4905","0.019367991845056064"
"2021-02-11","95","4899","0.019391712594407022"
"2021-02-12","82","4357","0.018820289189809502"
"2021-02-13","50","2963","0.016874789065136685"
"2021-02-14","57","3106","0.018351577591757887"
"2021-02-15","96","4359","0.02202339986235375"
"2021-02-16","72","4477","0.016082197900379718"
"2021-02-17","87","4739","0.018358303439544206"
"2021-02-18","83","4778","0.017371285056509"
"2021-02-19","90","4403","0.020440608675902795"
"2021-02-20","52","2972","0.017496635262449527"
"2021-02-21","46","2900","0.015862068965517243"
"2021-02-22","65","4601","0.014127363616605085"
"2021-02-23","65","3669","0.017715998909784682"
"2021-02-24","122","4848","0.025165016501650164"
"2021-02-25","76","4870","0.015605749486652977"
"2021-02-26","65","4562","0.014248136782113108"
"2021-02-27","51","3208","0.015897755610972567"
"2021-02-28","79","3272","0.024144254278728607"
"2021-03-01","87","4685","0.018569903948772677"
"2021-03-02","77","4830","0.015942028985507246"
"2021-03-03","104","4728","0.021996615905245348"
"2021-03-04","89","4881","0.0182339684490883"
"2021-03-05","89","4385","0.020296465222348917"
"2021-03-06","51","3074","0.016590761223162005"
"2021-03-07","38","3050","0.012459016393442624"
"2021-03-08","79","4366","0.01809436555199267"
"2021-03-09","77","4552","0.016915641476274165"
"2021-03-10","72","4645","0.0155005382131324"
"2021-03-11","77","4650","0.016559139784946237"
"2021-03-12","92","4569","0.020135697089078572"
"2021-03-13","41","3096","0.013242894056847546"
"2021-03-14","40","2995","0.01335559265442404"
"2021-03-15","75","4519","0.0165965921664085"
"2021-03-16","105","4780","0.021966527196652718"
"2021-03-17","73","4696","0.015545144804088586"
"2021-03-18","101","4728","0.021362098138747884"
"2021-03-19","99","4126","0.023994183228308288"
"2021-03-20","35","3044","0.011498028909329829"
"2021-03-21","50","3063","0.01632386549134835"
"2021-03-22","90","3634","0.02476609796367639"
"2021-03-23","80","3933","0.020340706839562676"
"2021-03-24","90","4709","0.019112338076024634"
"2021-03-25","73","4703","0.015522007229428024"
"2021-03-26","58","3724","0.015574650912996778"
"2021-03-27","61","3069","0.019876181166503748"
"2021-03-28","42","2964","0.01417004048582996"
"2021-03-29","104","4339","0.023968656372436045"
"2021-03-30","104","4573","0.02274218237480866"
"2021-03-31","113","4659","0.024254131787937325"
