date,count,total_count,ratio
"2021-01-01","0","2095","0"
"2021-01-02","0","2452","0"
"2021-01-03","0","2599","0"
"2021-01-04","0","3896","0"
"2021-01-05","0","4122","0"
"2021-01-06","0","4439","0"
"2021-01-07","1","4390","0.00022779043280182233"
"2021-01-08","2","4431","0.0004513653802753329"
"2021-01-09","0","2956","0"
"2021-01-10","1","2833","0.00035298270384751147"
"2021-01-11","2","3970","0.0005037783375314861"
"2021-01-12","0","4836","0"
"2021-01-13","0","4979","0"
"2021-01-14","1","4915","0.0002034587995930824"
"2021-01-15","2","4545","0.00044004400440044003"
"2021-01-16","0","3074","0"
"2021-01-17","0","2953","0"
"2021-01-18","0","4409","0"
"2021-01-19","0","4803","0"
"2021-01-20","3","4937","0.0006076564715414219"
"2021-01-21","1","5007","0.00019972039145196724"
"2021-01-22","8","4493","0.0017805475183618963"
"2021-01-23","6","3150","0.0019047619047619048"
"2021-01-24","2","3156","0.0006337135614702154"
"2021-01-25","1","4378","0.00022841480127912289"
"2021-01-26","2","4531","0.0004414036636504083"
"2021-01-27","0","4470","0"
"2021-01-28","0","4543","0"
"2021-01-29","2","4249","0.0004706989879971758"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","1","2451","0.0004079967360261118"
"2021-02-02","2","4654","0.0004297378599054577"
"2021-02-03","0","4845","0"
"2021-02-04","0","4484","0"
"2021-02-05","0","4320","0"
"2021-02-06","2","2989","0.0006691201070592171"
"2021-02-07","2","2912","0.0006868131868131869"
"2021-02-08","0","4410","0"
"2021-02-09","5","4714","0.0010606703436571913"
"2021-02-10","0","4905","0"
"2021-02-11","1","4899","0.00020412329046744235"
"2021-02-12","1","4357","0.00022951572182694515"
"2021-02-13","2","2963","0.0006749915626054674"
"2021-02-14","2","3106","0.000643915003219575"
"2021-02-15","0","4359","0"
"2021-02-16","1","4477","0.00022336385972749609"
"2021-02-17","3","4739","0.0006330449461911796"
"2021-02-18","1","4778","0.0002092925910422771"
"2021-02-19","2","4403","0.0004542357483533954"
"2021-02-20","1","2972","0.00033647375504710633"
"2021-02-21","0","2900","0"
"2021-02-22","1","4601","0.00021734405564007825"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","2","4848","0.00041254125412541255"
"2021-02-25","0","4870","0"
"2021-02-26","3","4562","0.000657606313020605"
"2021-02-27","1","3208","0.0003117206982543641"
"2021-02-28","1","3272","0.0003056234718826406"
"2021-03-01","0","4685","0"
"2021-03-02","1","4830","0.00020703933747412008"
