date,count,total_count,ratio
"2021-01-01","3","2095","0.001431980906921241"
"2021-01-02","5","2452","0.0020391517128874386"
"2021-01-03","6","2599","0.002308580223162755"
"2021-01-04","4","3896","0.001026694045174538"
"2021-01-05","8","4122","0.0019408054342552159"
"2021-01-06","5","4439","0.0011263798152737104"
"2021-01-07","12","4390","0.002733485193621868"
"2021-01-08","5","4431","0.0011284134506883321"
"2021-01-09","5","2956","0.0016914749661705007"
"2021-01-10","4","2833","0.0014119308153900459"
"2021-01-11","9","3970","0.0022670025188916876"
"2021-01-12","5","4836","0.0010339123242349049"
"2021-01-13","17","4979","0.003414340228961639"
"2021-01-14","15","4915","0.003051881993896236"
"2021-01-15","4","4545","0.0008800880088008801"
"2021-01-16","3","3074","0.0009759271307742355"
"2021-01-17","3","2953","0.001015916017609211"
"2021-01-18","14","4409","0.0031753232025402587"
"2021-01-19","15","4803","0.003123048094940662"
"2021-01-20","4","4937","0.0008102086287218959"
"2021-01-21","2","5007","0.0003994407829039345"
"2021-01-22","6","4493","0.0013354106387714222"
"2021-01-23","3","3150","0.0009523809523809524"
"2021-01-24","7","3156","0.002217997465145754"
"2021-01-25","12","4378","0.002740977615349475"
"2021-01-26","24","4531","0.0052968439638048995"
"2021-01-27","6","4470","0.0013422818791946308"
"2021-01-28","9","4543","0.001981069777679947"
"2021-01-29","7","4249","0.0016474464579901153"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","4","2451","0.0016319869441044472"
"2021-02-02","5","4654","0.0010743446497636442"
"2021-02-03","3","4845","0.0006191950464396285"
"2021-02-04","8","4484","0.001784121320249777"
"2021-02-05","7","4320","0.0016203703703703703"
"2021-02-06","0","2989","0"
"2021-02-07","4","2912","0.0013736263736263737"
"2021-02-08","4","4410","0.0009070294784580499"
"2021-02-09","7","4714","0.001484938481120068"
"2021-02-10","6","4905","0.0012232415902140672"
"2021-02-11","12","4899","0.002449479485609308"
"2021-02-12","5","4357","0.0011475786091347257"
"2021-02-13","5","2963","0.0016874789065136687"
"2021-02-14","8","3106","0.0025756600128783"
"2021-02-15","14","4359","0.003211745813259922"
"2021-02-16","9","4477","0.0020102747375474648"
"2021-02-17","7","4739","0.0014771048744460858"
"2021-02-18","1","4778","0.0002092925910422771"
"2021-02-19","4","4403","0.0009084714967067908"
"2021-02-20","0","2972","0"
"2021-02-21","2","2900","0.000689655172413793"
"2021-02-22","5","4601","0.0010867202782003911"
"2021-02-23","4","3669","0.0010902153175252113"
"2021-02-24","11","4848","0.002268976897689769"
"2021-02-25","7","4870","0.001437371663244353"
"2021-02-26","4","4562","0.0008768084173608067"
"2021-02-27","4","3208","0.0012468827930174563"
"2021-02-28","7","3272","0.002139364303178484"
"2021-03-01","6","4685","0.0012806830309498398"
"2021-03-02","10","4830","0.002070393374741201"
"2021-03-03","12","4728","0.0025380710659898475"
"2021-03-04","13","4881","0.0026633886498668305"
"2021-03-05","4","4385","0.0009122006841505131"
"2021-03-06","7","3074","0.002277163305139883"
"2021-03-07","15","3050","0.004918032786885246"
"2021-03-08","3","4366","0.0006871278057718735"
"2021-03-09","4","4552","0.0008787346221441124"
"2021-03-10","6","4645","0.0012917115177610333"
"2021-03-11","11","4650","0.0023655913978494624"
"2021-03-12","13","4569","0.0028452615451958854"
"2021-03-13","6","3096","0.001937984496124031"
"2021-03-14","2","2995","0.000667779632721202"
"2021-03-15","7","4519","0.001549015268864793"
"2021-03-16","9","4780","0.0018828451882845188"
"2021-03-17","10","4696","0.002129471890971039"
"2021-03-18","18","4728","0.0038071065989847717"
"2021-03-19","26","4126","0.006301502666020358"
"2021-03-20","29","3044","0.009526938239159002"
"2021-03-21","11","3063","0.0035912504080966375"
"2021-03-22","7","3634","0.001926252063841497"
"2021-03-23","10","3933","0.0025425883549453345"
"2021-03-24","7","4709","0.0014865151836908049"
"2021-03-25","6","4703","0.0012757814161173718"
"2021-03-26","4","3724","0.0010741138560687433"
"2021-03-27","1","3069","0.00032583903551645487"
"2021-03-28","4","2964","0.001349527665317139"
"2021-03-29","9","4339","0.0020742106476146576"
"2021-03-30","10","4573","0.002186748305270063"
"2021-03-31","10","4659","0.0021463833440652502"
"2021-04-01","5","3568","0.0014013452914798206"
"2021-04-02","4","3206","0.0012476606363069245"
"2021-04-03","5","2980","0.0016778523489932886"
"2021-04-04","3","2656","0.0011295180722891566"
"2021-04-05","4","3681","0.0010866612333604998"
"2021-04-06","6","4717","0.0012719949120203519"
"2021-04-07","8","4967","0.0016106301590497283"
"2021-04-08","0","1662","0"
"2021-04-09","0","53","0"
"2021-04-10","0","49","0"
"2021-04-11","0","136","0"
"2021-04-12","0","394","0"
"2021-04-13","7","2196","0.0031876138433515485"
"2021-04-14","12","5079","0.002362669816893089"
"2021-04-15","12","5237","0.0022913881993507734"
"2021-04-16","10","4742","0.002108814846056516"
"2021-04-17","1","1762","0.0005675368898978433"
"2021-04-18","1","391","0.0025575447570332483"
"2021-04-19","9","3134","0.002871729419272495"
"2021-04-20","10","4703","0.00212630236019562"
"2021-04-21","12","5440","0.0022058823529411764"
"2021-04-22","11","5305","0.0020735155513666352"
"2021-04-23","6","4773","0.001257071024512885"
"2021-04-24","6","3363","0.001784121320249777"
"2021-04-25","3","3413","0.0008789920890711983"
"2021-04-26","7","4970","0.0014084507042253522"
"2021-04-27","16","5409","0.002958032908116103"
"2021-04-28","11","5348","0.002056843679880329"
"2021-04-29","10","5302","0.001886080724254998"
"2021-04-30","7","5033","0.0013908205841446453"
"2021-05-01","9","3521","0.0025560920193126954"
"2021-05-02","9","3431","0.0026231419411250363"
"2021-05-03","12","4767","0.0025173064820641915"
"2021-05-04","6","5246","0.001143728555089592"
"2021-05-05","8","5226","0.0015308075009567547"
"2021-05-06","5","5231","0.0009558401835213152"
"2021-05-07","10","4875","0.0020512820512820513"
"2021-05-08","4","3552","0.0011261261261261261"
"2021-05-09","4","3416","0.00117096018735363"
"2021-05-10","6","5022","0.0011947431302270011"
"2021-05-11","12","5579","0.0021509231044990144"
"2021-05-12","7","5511","0.001270186898929414"
"2021-05-13","4","5156","0.0007757951900698216"
"2021-05-14","2","4766","0.000419639110365086"
"2021-05-15","8","3751","0.0021327645961077045"
"2021-05-16","12","3362","0.003569303985722784"
"2021-05-17","13","4098","0.00317227916056613"
"2021-05-18","9","5315","0.0016933207902163688"
"2021-05-19","4","4144","0.0009652509652509653"
"2021-05-20","9","5111","0.0017609078458227353"
"2021-05-21","7","4673","0.001497967044725016"
"2021-05-22","4","3428","0.0011668611435239206"
"2021-05-23","6","3359","0.0017862459065197975"
"2021-05-24","4","4640","0.0008620689655172414"
"2021-05-25","13","4967","0.0026172740084558083"
"2021-05-26","9","5396","0.0016679021497405485"
"2021-05-27","11","4937","0.002228073728985214"
"2021-05-28","4","1448","0.0027624309392265192"
"2021-05-29","6","2693","0.0022279985146676567"
"2021-05-30","3","3399","0.00088261253309797"
"2021-05-31","5","4852","0.001030502885408079"
"2021-06-01","14","5122","0.002733307301835221"
"2021-06-02","8","5092","0.0015710919088766694"
"2021-06-03","4","5241","0.0007632131272657889"
"2021-06-04","11","5033","0.002185575203655871"
"2021-06-05","4","3427","0.0011672016340822876"
"2021-06-06","3","3454","0.0008685581933989577"
"2021-06-07","5","3942","0.0012683916793505834"
"2021-06-08","8","5092","0.0015710919088766694"
"2021-06-09","6","5098","0.0011769321302471558"
"2021-06-10","3","5027","0.0005967774020290431"
"2021-06-11","5","4662","0.0010725010725010724"
"2021-06-12","4","3404","0.0011750881316098707"
"2021-06-13","5","3115","0.0016051364365971107"
"2021-06-14","18","3852","0.004672897196261682"
"2021-06-15","16","4963","0.003223856538384042"
"2021-06-16","3","5154","0.0005820721769499418"
"2021-06-17","28","5055","0.005539070227497527"
"2021-06-18","9","4735","0.0019007391763463568"
"2021-06-19","9","3495","0.002575107296137339"
"2021-06-20","11","3375","0.003259259259259259"
"2021-06-21","11","4787","0.002297890119072488"
"2021-06-22","9","5169","0.0017411491584445734"
"2021-06-23","9","5252","0.0017136329017517135"
"2021-06-24","4","5199","0.0007693787266782073"
"2021-06-25","6","4823","0.0012440389798880364"
"2021-06-26","4","3445","0.0011611030478955006"
"2021-06-27","3","3242","0.0009253547193090684"
"2021-06-28","4","4910","0.000814663951120163"
"2021-06-29","3","5192","0.0005778120184899846"
"2021-06-30","13","5135","0.002531645569620253"
"2021-07-01","3","5332","0.0005626406601650412"
"2021-07-02","15","4705","0.003188097768331562"
"2021-07-03","6","3457","0.0017356089094590686"
"2021-07-04","4","3161","0.0012654223347042075"
"2021-07-05","5","3941","0.001268713524486171"
"2021-07-06","6","5128","0.001170046801872075"
"2021-07-07","7","5336","0.0013118440779610195"
"2021-07-08","5","5290","0.000945179584120983"
"2021-07-09","4","4775","0.000837696335078534"
"2021-07-10","1","3475","0.00028776978417266187"
"2021-07-11","2","3437","0.0005819028222286878"
"2021-07-12","6","5609","0.0010697093956141914"
"2021-07-13","6","5296","0.0011329305135951663"
"2021-07-14","11","5130","0.0021442495126705653"
"2021-07-15","8","5201","0.0015381657373582003"
"2021-07-16","6","4751","0.0012628920227320563"
"2021-07-17","1","3220","0.00031055900621118014"
"2021-07-18","2","2963","0.0006749915626054674"
"2021-07-19","17","4634","0.0036685369011653"
"2021-07-20","12","4421","0.0027143180275955667"
"2021-07-21","8","5050","0.0015841584158415843"
"2021-07-22","4","5022","0.0007964954201513341"
"2021-07-23","5","4784","0.0010451505016722408"
"2021-07-24","5","3528","0.001417233560090703"
"2021-07-25","5","3641","0.0013732491073880802"
"2021-07-26","12","4946","0.002426202992317024"
"2021-07-27","4","4877","0.0008201763379126512"
"2021-07-28","11","4919","0.002236226875381175"
"2021-07-29","7","5083","0.0013771394845563643"
"2021-07-30","12","4678","0.0025651988029072254"
"2021-07-31","5","3338","0.0014979029358897543"
"2021-08-01","13","3115","0.004173354735152488"
"2021-08-02","6","4741","0.0012655557899177389"
"2021-08-03","5","4865","0.0010277492291880781"
"2021-08-04","6","5050","0.001188118811881188"
"2021-08-05","9","4836","0.0018610421836228288"
"2021-08-06","6","4476","0.0013404825737265416"
"2021-08-07","7","2725","0.002568807339449541"
"2021-08-08","3","2711","0.0011066027296200663"
"2021-08-09","14","3991","0.003507892758707091"
"2021-08-10","7","4493","0.0015579790785666592"
"2021-08-11","10","4514","0.002215330084182543"
"2021-08-12","4","4682","0.0008543357539513029"
"2021-08-13","6","3238","0.0018529956763434219"
"2021-08-14","9","2913","0.003089598352214212"
"2021-08-15","2","2982","0.0006706908115358819"
"2021-08-16","6","3466","0.0017311021350259665"
"2021-08-17","3","4197","0.0007147962830593281"
"2021-08-18","12","4122","0.002911208151382824"
"2021-08-19","2","2230","0.0008968609865470852"
"2021-08-20","3","1761","0.0017035775127768314"
"2021-08-21","12","1261","0.00951625693893735"
"2021-08-22","6","1243","0.004827031375703942"
"2021-08-23","6","2043","0.002936857562408223"
"2021-08-24","4","1915","0.0020887728459530026"
"2021-08-25","1","2113","0.000473260766682442"
"2021-08-26","6","2894","0.002073255010366275"
"2021-08-27","3","2383","0.001258917331095258"
"2021-08-28","8","2103","0.0038040893961008085"
"2021-08-29","5","2167","0.0023073373327180432"
"2021-08-30","6","2356","0.0025466893039049238"
"2021-08-31","4","1891","0.0021152829190904283"
"2021-09-01","5","2296","0.0021777003484320556"
"2021-09-02","15","5033","0.0029803298231670973"
"2021-09-03","7","4608","0.0015190972222222222"
"2021-09-04","2","2996","0.0006675567423230974"
"2021-09-05","2","2992","0.0006684491978609625"
"2021-09-06","11","4678","0.00235143223599829"
"2021-09-07","6","5090","0.0011787819253438114"
"2021-09-08","7","5156","0.0013576415826221878"
"2021-09-09","4","5319","0.0007520210565895845"
"2021-09-10","7","4562","0.0015344147303814116"
"2021-09-11","10","3175","0.0031496062992125984"
"2021-09-12","4","3174","0.001260239445494644"
"2021-09-13","11","4615","0.0023835319609967496"
"2021-09-14","12","5090","0.002357563850687623"
"2021-09-15","17","5243","0.0032424184627121875"
