date,count,total_count,ratio
"2021-01-01","5","2095","0.002386634844868735"
"2021-01-02","9","2452","0.00367047308319739"
"2021-01-03","9","2599","0.0034628703347441324"
"2021-01-04","5","3896","0.0012833675564681724"
"2021-01-05","6","4122","0.001455604075691412"
"2021-01-06","7","4439","0.0015769317413831944"
"2021-01-07","12","4390","0.002733485193621868"
"2021-01-08","11","4431","0.002482509591514331"
"2021-01-09","2","2956","0.0006765899864682003"
"2021-01-10","8","2833","0.0028238616307800918"
"2021-01-11","6","3970","0.0015113350125944584"
"2021-01-12","0","4836","0"
"2021-01-13","8","4979","0.0016067483430407712"
"2021-01-14","7","4915","0.0014242115971515768"
"2021-01-15","5","4545","0.0011001100110011"
"2021-01-16","5","3074","0.0016265452179570592"
"2021-01-17","0","2953","0"
"2021-01-18","8","4409","0.0018144704014515763"
"2021-01-19","15","4803","0.003123048094940662"
"2021-01-20","14","4937","0.0028357302005266355"
"2021-01-21","7","5007","0.0013980427401637707"
"2021-01-22","14","4493","0.0031159581571333183"
"2021-01-23","18","3150","0.005714285714285714"
"2021-01-24","13","3156","0.004119138149556401"
"2021-01-25","13","4378","0.0029693924166285975"
"2021-01-26","18","4531","0.003972632972853675"
"2021-01-27","34","4470","0.007606263982102908"
"2021-01-28","15","4543","0.003301782962799912"
"2021-01-29","9","4249","0.002118145445987291"
"2021-01-30","6","2213","0.0027112516945323093"
"2021-01-31","0","318","0"
"2021-02-01","6","2451","0.0024479804161566705"
"2021-02-02","14","4654","0.0030081650193382035"
"2021-02-03","16","4845","0.003302373581011352"
"2021-02-04","13","4484","0.0028991971454058875"
"2021-02-05","18","4320","0.004166666666666667"
"2021-02-06","9","2989","0.003011040481766477"
"2021-02-07","7","2912","0.002403846153846154"
"2021-02-08","10","4410","0.0022675736961451248"
"2021-02-09","11","4714","0.002333474756045821"
"2021-02-10","15","4905","0.0030581039755351682"
"2021-02-11","6","4899","0.001224739742804654"
"2021-02-12","6","4357","0.001377094330961671"
"2021-02-13","3","2963","0.0010124873439082012"
"2021-02-14","16","3106","0.0051513200257566"
"2021-02-15","13","4359","0.0029823353980270705"
"2021-02-16","12","4477","0.002680366316729953"
"2021-02-17","3","4739","0.0006330449461911796"
"2021-02-18","9","4778","0.0018836333193804938"
"2021-02-19","4","4403","0.0009084714967067908"
"2021-02-20","5","2972","0.0016823687752355316"
"2021-02-21","4","2900","0.001379310344827586"
"2021-02-22","7","4601","0.0015214083894805478"
"2021-02-23","19","3669","0.005178522758244753"
"2021-02-24","10","4848","0.0020627062706270625"
"2021-02-25","12","4870","0.0024640657084188913"
"2021-02-26","13","4562","0.002849627356422622"
"2021-02-27","10","3208","0.003117206982543641"
"2021-02-28","7","3272","0.002139364303178484"
"2021-03-01","5","4685","0.0010672358591248667"
"2021-03-02","9","4830","0.0018633540372670807"
"2021-03-03","9","4728","0.0019035532994923859"
"2021-03-04","6","4881","0.001229256299938537"
"2021-03-05","6","4385","0.0013683010262257698"
"2021-03-06","10","3074","0.0032530904359141183"
"2021-03-07","5","3050","0.001639344262295082"
"2021-03-08","16","4366","0.0036646816307833257"
"2021-03-09","7","4552","0.0015377855887521968"
"2021-03-10","12","4645","0.0025834230355220667"
"2021-03-11","10","4650","0.002150537634408602"
"2021-03-12","10","4569","0.002188662727073758"
"2021-03-13","5","3096","0.001614987080103359"
"2021-03-14","5","2995","0.001669449081803005"
"2021-03-15","6","4519","0.0013277273733126797"
"2021-03-16","9","4780","0.0018828451882845188"
"2021-03-17","12","4696","0.002555366269165247"
"2021-03-18","14","4728","0.002961082910321489"
"2021-03-19","5","4126","0.0012118274357731458"
"2021-03-20","5","3044","0.0016425755584756898"
"2021-03-21","6","3063","0.0019588638589618022"
"2021-03-22","8","3634","0.002201430930104568"
"2021-03-23","8","3933","0.0020340706839562673"
"2021-03-24","4","4709","0.0008494372478233171"
"2021-03-25","10","4703","0.00212630236019562"
"2021-03-26","4","3724","0.0010741138560687433"
"2021-03-27","2","3069","0.0006516780710329097"
"2021-03-28","8","2964","0.002699055330634278"
"2021-03-29","14","4339","0.0032265498962894676"
"2021-03-30","12","4573","0.002624097966324076"
"2021-03-31","7","4659","0.0015024683408456751"
"2021-04-01","6","3568","0.0016816143497757848"
"2021-04-02","7","3206","0.002183406113537118"
"2021-04-03","5","2980","0.0016778523489932886"
"2021-04-04","7","2656","0.0026355421686746986"
"2021-04-05","10","3681","0.0027166530834012497"
"2021-04-06","16","4717","0.0033919864320542717"
"2021-04-07","8","4967","0.0016106301590497283"
"2021-04-08","4","1662","0.0024067388688327317"
"2021-04-09","0","53","0"
"2021-04-10","0","49","0"
"2021-04-11","0","136","0"
"2021-04-12","1","394","0.0025380710659898475"
"2021-04-13","7","2196","0.0031876138433515485"
"2021-04-14","19","5079","0.003740893876747391"
"2021-04-15","9","5237","0.00171854114951308"
"2021-04-16","9","4742","0.0018979333614508645"
"2021-04-17","2","1762","0.0011350737797956867"
"2021-04-18","2","391","0.005115089514066497"
"2021-04-19","12","3134","0.0038289725590299937"
"2021-04-20","11","4703","0.002338932596215182"
"2021-04-21","19","5440","0.0034926470588235296"
"2021-04-22","14","5305","0.002639019792648445"
"2021-04-23","14","4773","0.002933165723863398"
"2021-04-24","8","3363","0.0023788284269997025"
"2021-04-25","9","3413","0.002636976267213595"
"2021-04-26","14","4970","0.0028169014084507044"
"2021-04-27","10","5409","0.0018487705675725643"
"2021-04-28","14","5348","0.002617801047120419"
"2021-04-29","23","5302","0.004337985665786495"
"2021-04-30","23","5033","0.004569839062189549"
"2021-05-01","10","3521","0.0028401022436807723"
"2021-05-02","12","3431","0.0034975225881667153"
"2021-05-03","18","4767","0.003775959723096287"
"2021-05-04","11","5246","0.0020968356843309188"
