date,count,total_count,ratio
"2021-01-01","1651","2095","0.7880668257756563"
"2021-01-02","2056","2452","0.8384991843393148"
"2021-01-03","2200","2599","0.8464794151596768"
"2021-01-04","3249","3896","0.8339322381930184"
"2021-01-05","3491","4122","0.8469189713731199"
"2021-01-06","3650","4439","0.8222572651498086"
"2021-01-07","3586","4390","0.8168564920273349"
"2021-01-08","3722","4431","0.8399909726923945"
"2021-01-09","2482","2956","0.8396481732070366"
"2021-01-10","2272","2833","0.801976703141546"
"2021-01-11","3196","3970","0.8050377833753148"
"2021-01-12","4025","4836","0.8322994210090985"
"2021-01-13","4139","4979","0.831291423980719"
"2021-01-14","3944","4915","0.802441505595117"
"2021-01-15","3773","4545","0.8301430143014301"
"2021-01-16","2591","3074","0.842875731945348"
"2021-01-17","2450","2953","0.829664747714189"
"2021-01-18","3705","4409","0.8403266046722613"
"2021-01-19","3993","4803","0.8313554028732042"
"2021-01-20","4162","4937","0.8430220781851326"
"2021-01-21","4196","5007","0.8380267625324546"
"2021-01-22","3792","4493","0.8439795237035388"
"2021-01-23","2653","3150","0.8422222222222222"
"2021-01-24","2561","3156","0.8114702154626109"
"2021-01-25","3681","4378","0.8407948835084513"
"2021-01-26","3881","4531","0.8565438093136173"
"2021-01-27","3820","4470","0.854586129753915"
"2021-01-28","3859","4543","0.849438696896324"
"2021-01-29","3721","4249","0.8757354671687456"
"2021-01-30","1866","2213","0.8431992769995481"
"2021-01-31","310","318","0.9748427672955975"
"2021-02-01","2303","2451","0.9396164830681355"
"2021-02-02","4029","4654","0.8657069187795445"
"2021-02-03","4164","4845","0.8594427244582044"
"2021-02-04","3784","4484","0.8438893844781445"
"2021-02-05","3684","4320","0.8527777777777777"
"2021-02-06","2568","2989","0.8591502174640347"
"2021-02-07","2485","2912","0.8533653846153846"
"2021-02-08","3760","4410","0.8526077097505669"
"2021-02-09","4011","4714","0.8508697496817988"
"2021-02-10","4199","4905","0.8560652395514781"
"2021-02-11","4172","4899","0.8516023678301694"
"2021-02-12","3784","4357","0.8684874913931604"
"2021-02-13","2504","2963","0.8450894363820453"
"2021-02-14","2621","3106","0.843850611719253"
"2021-02-15","3705","4359","0.8499655884377151"
"2021-02-16","3819","4477","0.8530265802993076"
"2021-02-17","4063","4739","0.8573538721249209"
"2021-02-18","4129","4778","0.8641691084135622"
"2021-02-19","3774","4403","0.8571428571428571"
"2021-02-20","2461","2972","0.8280619111709286"
"2021-02-21","2380","2900","0.8206896551724138"
"2021-02-22","3930","4601","0.8541621386655075"
"2021-02-23","3190","3669","0.8694467157263559"
"2021-02-24","4201","4848","0.866542904290429"
"2021-02-25","4184","4870","0.8591375770020534"
"2021-02-26","3930","4562","0.8614642700569926"
"2021-02-27","2693","3208","0.8394638403990025"
"2021-02-28","2707","3272","0.8273227383863081"
"2021-03-01","3988","4685","0.8512273212379936"
"2021-03-02","4142","4830","0.8575569358178053"
"2021-03-03","4055","4728","0.8576565143824028"
"2021-03-04","4108","4881","0.8416308133579185"
"2021-03-05","3766","4385","0.8588369441277081"
"2021-03-06","2604","3074","0.8471047495120364"
"2021-03-07","2545","3050","0.8344262295081967"
"2021-03-08","3727","4366","0.8536417773705909"
"2021-03-09","3880","4552","0.8523725834797891"
"2021-03-10","3954","4645","0.851237890204521"
"2021-03-11","4006","4650","0.861505376344086"
"2021-03-12","4003","4569","0.8761216896476253"
"2021-03-13","2573","3096","0.8310723514211886"
"2021-03-14","2513","2995","0.8390651085141904"
"2021-03-15","3907","4519","0.8645718079221066"
"2021-03-16","4157","4780","0.8696652719665272"
"2021-03-17","4119","4696","0.877129471890971"
"2021-03-18","4166","4728","0.8811336717428088"
"2021-03-19","3610","4126","0.8749394086282113"
"2021-03-20","2638","3044","0.866622864651774"
"2021-03-21","2521","3063","0.8230492980737839"
"2021-03-22","3025","3634","0.8324160704457898"
"2021-03-23","3466","3933","0.8812611238240529"
"2021-03-24","4116","4709","0.8740709280101933"
"2021-03-25","4142","4703","0.8807144375930257"
"2021-03-26","3211","3724","0.8622448979591837"
"2021-03-27","2652","3069","0.8641251221896383"
"2021-03-28","2492","2964","0.8407557354925776"
"2021-03-29","3744","4339","0.8628716294076976"
"2021-03-30","4119","4573","0.9007216269407391"
"2021-03-31","4070","4659","0.8735780210345567"
"2021-04-01","3006","3568","0.8424887892376681"
"2021-04-02","2678","3206","0.835308796007486"
"2021-04-03","2505","2980","0.8406040268456376"
"2021-04-04","2166","2656","0.8155120481927711"
"2021-04-05","3044","3681","0.8269491985873404"
"2021-04-06","4025","4717","0.8532965868136527"
"2021-04-07","4364","4967","0.8785987517616267"
"2021-04-08","1336","1662","0.8038507821901324"
"2021-04-09","47","53","0.8867924528301887"
"2021-04-10","48","49","0.9795918367346939"
"2021-04-11","131","136","0.9632352941176471"
"2021-04-12","380","394","0.9644670050761421"
"2021-04-13","2060","2196","0.9380692167577414"
"2021-04-14","4407","5079","0.867690490253987"
"2021-04-15","4505","5237","0.8602253198396028"
"2021-04-16","4149","4742","0.8749472796288486"
"2021-04-17","1437","1762","0.815550510783201"
"2021-04-18","380","391","0.9718670076726342"
"2021-04-19","2899","3134","0.9250159540523293"
"2021-04-20","4011","4703","0.8528598766744631"
"2021-04-21","4705","5440","0.8648897058823529"
"2021-04-22","4576","5305","0.8625824693685202"
"2021-04-23","4141","4773","0.8675885187513095"
"2021-04-24","2917","3363","0.8673803151947665"
"2021-04-25","2897","3413","0.8488133606797539"
"2021-04-26","4340","4970","0.8732394366197183"
"2021-04-27","4678","5409","0.8648548715104456"
"2021-04-28","4629","5348","0.8655572176514585"
"2021-04-29","4578","5302","0.8634477555639382"
"2021-04-30","4369","5033","0.8680707331611365"
"2021-05-01","3019","3521","0.8574268673672252"
"2021-05-02","2946","3431","0.8586417953949286"
"2021-05-03","4109","4767","0.8619676945668135"
"2021-05-04","4606","5246","0.8780022874571102"
"2021-05-05","4548","5226","0.870264064293915"
"2021-05-06","4498","5231","0.8598738290957751"
"2021-05-07","4268","4875","0.8754871794871795"
"2021-05-08","3042","3552","0.856418918918919"
"2021-05-09","2904","3416","0.8501170960187353"
"2021-05-10","4361","5022","0.868379131819992"
"2021-05-11","4870","5579","0.8729162932425166"
"2021-05-12","4959","5511","0.8998366902558519"
"2021-05-13","4707","5156","0.9129169899146625"
"2021-05-14","4261","4766","0.8940411246328158"
"2021-05-15","3263","3751","0.86990135963743"
"2021-05-16","2841","3362","0.8450327186198692"
"2021-05-17","3526","4098","0.8604197169350903"
"2021-05-18","4714","5315","0.8869238005644403"
"2021-05-19","3708","4144","0.8947876447876448"
"2021-05-20","4458","5111","0.8722363529641949"
"2021-05-21","4108","4673","0.8790926599614809"
"2021-05-22","2936","3428","0.8564760793465578"
"2021-05-23","2784","3359","0.828818100625186"
"2021-05-24","3999","4640","0.8618534482758621"
"2021-05-25","4278","4967","0.8612844775518421"
"2021-05-26","4714","5396","0.8736100815418829"
"2021-05-27","4371","4937","0.8853554790358518"
"2021-05-28","1428","1448","0.9861878453038674"
"2021-05-29","2470","2693","0.9171927218715188"
"2021-05-30","2907","3399","0.855251544571933"
"2021-05-31","4308","4852","0.887881286067601"
"2021-06-01","4451","5122","0.8689964857477548"
"2021-06-02","4443","5092","0.8725451688923802"
"2021-06-03","4524","5241","0.8631940469376074"
"2021-06-04","4448","5033","0.8837671368964832"
"2021-06-05","2993","3427","0.8733586227020718"
"2021-06-06","2950","3454","0.8540822235089751"
"2021-06-07","3360","3942","0.852359208523592"
"2021-06-08","4395","5092","0.8631186174391202"
"2021-06-09","4484","5098","0.8795606120047077"
"2021-06-10","4332","5027","0.8617465685299384"
"2021-06-11","4101","4662","0.8796653796653797"
"2021-06-12","2909","3404","0.8545828437132785"
"2021-06-13","2667","3115","0.8561797752808988"
"2021-06-14","3242","3852","0.8416407061266874"
"2021-06-15","4364","4963","0.8793068708442474"
"2021-06-16","4458","5154","0.8649592549476135"
"2021-06-17","4347","5055","0.8599406528189911"
"2021-06-18","4146","4735","0.8756071805702218"
"2021-06-19","3022","3495","0.8646638054363376"
"2021-06-20","2897","3375","0.8583703703703703"
"2021-06-21","4242","4787","0.8861499895550449"
"2021-06-22","4476","5169","0.8659315147997678"
"2021-06-23","4575","5252","0.8710967250571211"
"2021-06-24","4508","5199","0.8670898249663397"
"2021-06-25","4216","4823","0.874144723201327"
"2021-06-26","3002","3445","0.8714078374455733"
"2021-06-27","2779","3242","0.8571869216533005"
"2021-06-28","4320","4910","0.879837067209776"
"2021-06-29","4541","5192","0.8746147919876733"
"2021-06-30","4500","5135","0.8763388510223953"
"2021-07-01","4634","5332","0.8690922730682671"
"2021-07-02","4101","4705","0.8716259298618491"
"2021-07-03","3041","3457","0.8796644489441713"
"2021-07-04","2688","3161","0.8503638089212274"
"2021-07-05","3311","3941","0.8401420959147424"
"2021-07-06","4434","5128","0.8646645865834633"
"2021-07-07","4666","5336","0.8744377811094453"
"2021-07-08","4397","5290","0.8311909262759924"
"2021-07-09","4124","4775","0.8636649214659686"
"2021-07-10","3082","3475","0.8869064748201438"
"2021-07-11","2919","3437","0.8492871690427699"
"2021-07-12","4166","5609","0.7427348903547869"
"2021-07-13","4633","5296","0.8748111782477341"
"2021-07-14","4502","5130","0.8775828460038987"
"2021-07-15","4519","5201","0.8688713708902134"
"2021-07-16","4101","4751","0.8631866975373605"
"2021-07-17","2811","3220","0.8729813664596273"
"2021-07-18","2515","2963","0.8488018899763753"
"2021-07-19","4073","4634","0.8789382822615451"
"2021-07-20","3968","4421","0.8975344944582674"
"2021-07-21","4429","5050","0.877029702970297"
"2021-07-22","4327","5022","0.8616089207487057"
"2021-07-23","4162","4784","0.8699832775919732"
"2021-07-24","3096","3528","0.8775510204081632"
"2021-07-25","3134","3641","0.8607525405108487"
"2021-07-26","4340","4946","0.8774767488879903"
"2021-07-27","4322","4877","0.8862005331146197"
"2021-07-28","4345","4919","0.8833096157755641"
"2021-07-29","4458","5083","0.8770411174503246"
"2021-07-30","4108","4678","0.8781530568619068"
"2021-07-31","2949","3338","0.8834631515877771"
"2021-08-01","2691","3115","0.863884430176565"
"2021-08-02","4108","4741","0.8664838641636785"
"2021-08-03","4251","4865","0.873792394655704"
"2021-08-04","4409","5050","0.8730693069306931"
"2021-08-05","4273","4836","0.8835814722911497"
"2021-08-06","3944","4476","0.8811438784629133"
"2021-08-07","2332","2725","0.8557798165137614"
"2021-08-08","2312","2711","0.8528218369605312"
"2021-08-09","3416","3991","0.8559258331245302"
"2021-08-10","3951","4493","0.8793679056309816"
"2021-08-11","3896","4514","0.8630926007975188"
"2021-08-12","4045","4682","0.863947031183255"
"2021-08-13","2992","3238","0.9240271772699197"
"2021-08-14","2488","2913","0.8541023000343289"
"2021-08-15","2504","2982","0.8397048960429242"
"2021-08-16","2957","3466","0.8531448355452972"
"2021-08-17","3811","4197","0.9080295449130331"
"2021-08-18","3881","4122","0.9415332362930616"
"2021-08-19","2182","2230","0.97847533632287"
"2021-08-20","1746","1761","0.9914821124361158"
"2021-08-21","1251","1261","0.9920697858842189"
"2021-08-22","1229","1243","0.9887369267900241"
"2021-08-23","2030","2043","0.9936368086147822"
"2021-08-24","1900","1915","0.9921671018276762"
"2021-08-25","2097","2113","0.9924278277330809"
"2021-08-26","2841","2894","0.9816862474084312"
"2021-08-27","2348","2383","0.985312631137222"
"2021-08-28","2064","2103","0.9814550641940085"
"2021-08-29","2121","2167","0.978772496538994"
"2021-08-30","2317","2356","0.983446519524618"
"2021-08-31","1869","1891","0.9883659439450027"
"2021-09-01","2258","2296","0.9834494773519163"
"2021-09-02","4545","5033","0.9030399364196304"
"2021-09-03","4012","4608","0.8706597222222222"
"2021-09-04","2608","2996","0.8704939919893191"
"2021-09-05","2527","2992","0.8445855614973262"
"2021-09-06","4034","4678","0.8623343309106456"
"2021-09-07","4451","5090","0.8744597249508841"
"2021-09-08","4479","5156","0.8686966640806827"
"2021-09-09","4608","5319","0.8663282571912013"
"2021-09-10","4001","4562","0.8770276194651468"
"2021-09-11","2709","3175","0.8532283464566929"
"2021-09-12","2725","3174","0.8585381222432262"
"2021-09-13","4070","4615","0.8819068255687974"
"2021-09-14","4462","5090","0.8766208251473477"
"2021-09-15","4569","5243","0.8714476444783521"
"2021-09-16","4177","4789","0.8722071413656296"
"2021-09-17","4147","4741","0.8747099767981439"
"2021-09-18","2845","3276","0.8684371184371185"
"2021-09-19","2773","3206","0.8649407361197754"
"2021-09-20","4151","4854","0.8551709929954676"
"2021-09-21","4647","5275","0.8809478672985782"
"2021-09-22","4615","5292","0.8720710506424793"
"2021-09-23","4376","5031","0.8698071953885907"
"2021-09-24","4256","4861","0.8755400123431393"
"2021-09-25","2972","3338","0.89035350509287"
"2021-09-26","2702","3054","0.8847413228552717"
"2021-09-27","4103","4705","0.8720510095642933"
"2021-09-28","4604","5226","0.8809797168006124"
"2021-09-29","4634","5233","0.8855341104528951"
"2021-09-30","4381","5005","0.8753246753246753"
"2021-10-01","4237","4785","0.8854754440961338"
"2021-10-02","2879","3293","0.8742787731551777"
"2021-10-03","2899","3330","0.8705705705705705"
"2021-10-04","4419","5002","0.8834466213514595"
"2021-10-05","4541","5111","0.8884758364312267"
"2021-10-06","4562","5231","0.872108583444848"
"2021-10-07","4668","5281","0.8839234993372468"
