date,count,total_count,ratio
"2021-01-01","0","2095","0"
"2021-01-02","0","2452","0"
"2021-01-03","0","2599","0"
"2021-01-04","0","3896","0"
"2021-01-05","1","4122","0.00024260067928190198"
"2021-01-06","1","4439","0.00022527596305474206"
"2021-01-07","0","4390","0"
"2021-01-08","0","4431","0"
"2021-01-09","0","2956","0"
"2021-01-10","0","2833","0"
"2021-01-11","0","3970","0"
"2021-01-12","0","4836","0"
"2021-01-13","0","4979","0"
"2021-01-14","1","4915","0.0002034587995930824"
"2021-01-15","0","4545","0"
"2021-01-16","0","3074","0"
"2021-01-17","0","2953","0"
"2021-01-18","2","4409","0.0004536176003628941"
"2021-01-19","1","4803","0.00020820320632937748"
"2021-01-20","2","4937","0.00040510431436094796"
"2021-01-21","0","5007","0"
"2021-01-22","2","4493","0.0004451368795904741"
"2021-01-23","1","3150","0.00031746031746031746"
"2021-01-24","0","3156","0"
"2021-01-25","0","4378","0"
"2021-01-26","1","4531","0.00022070183182520416"
"2021-01-27","3","4470","0.0006711409395973154"
"2021-01-28","0","4543","0"
"2021-01-29","0","4249","0"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","1","2451","0.0004079967360261118"
"2021-02-02","0","4654","0"
"2021-02-03","0","4845","0"
"2021-02-04","0","4484","0"
"2021-02-05","2","4320","0.000462962962962963"
"2021-02-06","1","2989","0.00033456005352960856"
"2021-02-07","0","2912","0"
"2021-02-08","2","4410","0.00045351473922902497"
"2021-02-09","0","4714","0"
"2021-02-10","1","4905","0.00020387359836901122"
"2021-02-11","2","4899","0.0004082465809348847"
"2021-02-12","1","4357","0.00022951572182694515"
"2021-02-13","0","2963","0"
"2021-02-14","0","3106","0"
"2021-02-15","0","4359","0"
"2021-02-16","0","4477","0"
"2021-02-17","4","4739","0.0008440599282549061"
"2021-02-18","2","4778","0.0004185851820845542"
"2021-02-19","0","4403","0"
"2021-02-20","1","2972","0.00033647375504710633"
"2021-02-21","2","2900","0.000689655172413793"
"2021-02-22","1","4601","0.00021734405564007825"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","2","4848","0.00041254125412541255"
"2021-02-25","0","4870","0"
"2021-02-26","0","4562","0"
"2021-02-27","0","3208","0"
"2021-02-28","1","3272","0.0003056234718826406"
"2021-03-01","0","4685","0"
"2021-03-02","0","4830","0"
"2021-03-03","0","4728","0"
"2021-03-04","0","4881","0"
"2021-03-05","0","4385","0"
"2021-03-06","5","3074","0.0016265452179570592"
