date,count,total_count,ratio
"2021-01-01","1","2095","0.00047732696897374703"
"2021-01-02","2","2452","0.0008156606851549756"
"2021-01-03","0","2599","0"
"2021-01-04","3","3896","0.0007700205338809035"
"2021-01-05","5","4122","0.0012130033964095099"
"2021-01-06","2","4439","0.0004505519261094841"
"2021-01-07","0","4390","0"
"2021-01-08","0","4431","0"
"2021-01-09","3","2956","0.0010148849797023004"
"2021-01-10","0","2833","0"
"2021-01-11","3","3970","0.0007556675062972292"
"2021-01-12","3","4836","0.0006203473945409429"
"2021-01-13","1","4979","0.0002008435428800964"
"2021-01-14","3","4915","0.0006103763987792472"
"2021-01-15","0","4545","0"
"2021-01-16","1","3074","0.00032530904359141186"
"2021-01-17","3","2953","0.001015916017609211"
"2021-01-18","0","4409","0"
"2021-01-19","4","4803","0.0008328128253175099"
"2021-01-20","6","4937","0.0012153129430828439"
"2021-01-21","9","5007","0.0017974835230677051"
"2021-01-22","6","4493","0.0013354106387714222"
"2021-01-23","4","3150","0.0012698412698412698"
"2021-01-24","8","3156","0.0025348542458808617"
"2021-01-25","9","4378","0.002055733211512106"
"2021-01-26","1","4531","0.00022070183182520416"
"2021-01-27","5","4470","0.0011185682326621924"
"2021-01-28","3","4543","0.0006603565925599824"
"2021-01-29","0","4249","0"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","0","2451","0"
"2021-02-02","2","4654","0.0004297378599054577"
"2021-02-03","4","4845","0.000825593395252838"
"2021-02-04","3","4484","0.0006690454950936663"
"2021-02-05","10","4320","0.0023148148148148147"
"2021-02-06","1","2989","0.00033456005352960856"
"2021-02-07","5","2912","0.001717032967032967"
"2021-02-08","2","4410","0.00045351473922902497"
"2021-02-09","2","4714","0.00042426813746287653"
"2021-02-10","2","4905","0.00040774719673802244"
"2021-02-11","2","4899","0.0004082465809348847"
"2021-02-12","2","4357","0.0004590314436538903"
"2021-02-13","7","2963","0.002362470469119136"
"2021-02-14","1","3106","0.0003219575016097875"
"2021-02-15","1","4359","0.00022941041523285156"
"2021-02-16","2","4477","0.00044672771945499217"
"2021-02-17","1","4739","0.00021101498206372652"
"2021-02-18","0","4778","0"
"2021-02-19","1","4403","0.0002271178741766977"
"2021-02-20","0","2972","0"
"2021-02-21","1","2900","0.0003448275862068965"
"2021-02-22","1","4601","0.00021734405564007825"
"2021-02-23","0","3669","0"
"2021-02-24","3","4848","0.0006188118811881188"
"2021-02-25","0","4870","0"
"2021-02-26","3","4562","0.000657606313020605"
"2021-02-27","0","3208","0"
"2021-02-28","1","3272","0.0003056234718826406"
"2021-03-01","0","4685","0"
"2021-03-02","0","4830","0"
"2021-03-03","0","4728","0"
"2021-03-04","3","4881","0.0006146281499692685"
"2021-03-05","4","4385","0.0009122006841505131"
"2021-03-06","1","3074","0.00032530904359141186"
"2021-03-07","4","3050","0.0013114754098360656"
"2021-03-08","3","4366","0.0006871278057718735"
"2021-03-09","1","4552","0.0002196836555360281"
"2021-03-10","0","4645","0"
"2021-03-11","3","4650","0.0006451612903225806"
"2021-03-12","2","4569","0.0004377325454147516"
