date,count,total_count,ratio
"2021-01-01","0","2095","0"
"2021-01-02","0","2452","0"
"2021-01-03","1","2599","0.00038476337052712584"
"2021-01-04","0","3896","0"
"2021-01-05","0","4122","0"
"2021-01-06","1","4439","0.00022527596305474206"
"2021-01-07","0","4390","0"
"2021-01-08","0","4431","0"
"2021-01-09","0","2956","0"
"2021-01-10","0","2833","0"
"2021-01-11","2","3970","0.0005037783375314861"
"2021-01-12","1","4836","0.00020678246484698098"
"2021-01-13","1","4979","0.0002008435428800964"
"2021-01-14","1","4915","0.0002034587995930824"
"2021-01-15","0","4545","0"
"2021-01-16","1","3074","0.00032530904359141186"
"2021-01-17","2","2953","0.0006772773450728074"
"2021-01-18","1","4409","0.00022680880018144704"
"2021-01-19","0","4803","0"
"2021-01-20","2","4937","0.00040510431436094796"
"2021-01-21","0","5007","0"
"2021-01-22","0","4493","0"
"2021-01-23","0","3150","0"
"2021-01-24","0","3156","0"
"2021-01-25","3","4378","0.0006852444038373687"
"2021-01-26","2","4531","0.0004414036636504083"
"2021-01-27","1","4470","0.00022371364653243848"
"2021-01-28","5","4543","0.001100594320933304"
"2021-01-29","0","4249","0"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","0","2451","0"
"2021-02-02","2","4654","0.0004297378599054577"
"2021-02-03","0","4845","0"
"2021-02-04","0","4484","0"
"2021-02-05","3","4320","0.0006944444444444445"
"2021-02-06","0","2989","0"
"2021-02-07","0","2912","0"
"2021-02-08","0","4410","0"
"2021-02-09","0","4714","0"
"2021-02-10","0","4905","0"
"2021-02-11","0","4899","0"
"2021-02-12","3","4357","0.0006885471654808355"
"2021-02-13","6","2963","0.0020249746878164025"
"2021-02-14","3","3106","0.0009658725048293626"
"2021-02-15","7","4359","0.001605872906629961"
"2021-02-16","4","4477","0.0008934554389099843"
"2021-02-17","0","4739","0"
"2021-02-18","0","4778","0"
"2021-02-19","0","4403","0"
"2021-02-20","0","2972","0"
"2021-02-21","1","2900","0.0003448275862068965"
"2021-02-22","1","4601","0.00021734405564007825"
"2021-02-23","0","3669","0"
"2021-02-24","0","4848","0"
"2021-02-25","1","4870","0.0002053388090349076"
"2021-02-26","0","4562","0"
"2021-02-27","0","3208","0"
"2021-02-28","0","3272","0"
"2021-03-01","0","4685","0"
"2021-03-02","0","4830","0"
"2021-03-03","2","4728","0.00042301184433164127"
"2021-03-04","2","4881","0.0004097520999795124"
"2021-03-05","0","4385","0"
"2021-03-06","0","3074","0"
"2021-03-07","0","3050","0"
