date,count,total_count,ratio
"2021-01-01","1617","2095","0.7718377088305489"
"2021-01-02","1986","2452","0.8099510603588908"
"2021-01-03","2126","2599","0.8180069257406695"
"2021-01-04","3147","3896","0.8077515400410678"
"2021-01-05","3392","4122","0.8229015041242116"
"2021-01-06","3433","4439","0.7733723811669295"
"2021-01-07","3424","4390","0.7799544419134397"
"2021-01-08","3571","4431","0.8059128864816069"
"2021-01-09","2401","2956","0.8122462787550744"
"2021-01-10","2191","2833","0.7733851041298976"
"2021-01-11","3045","3970","0.7670025188916877"
"2021-01-12","3873","4836","0.8008684863523573"
"2021-01-13","3957","4979","0.7947378991765415"
"2021-01-14","3800","4915","0.7731434384537131"
"2021-01-15","3600","4545","0.7920792079207921"
"2021-01-16","2498","3074","0.8126219908913468"
"2021-01-17","2353","2953","0.7968167964781578"
"2021-01-18","3574","4409","0.8106146518484917"
"2021-01-19","3836","4803","0.798667499479492"
"2021-01-20","3993","4937","0.8087907636216326"
"2021-01-21","4045","5007","0.8078689834232075"
"2021-01-22","3674","4493","0.8177164478077009"
"2021-01-23","2558","3150","0.812063492063492"
"2021-01-24","2475","3156","0.7842205323193916"
"2021-01-25","3580","4378","0.8177249885792599"
"2021-01-26","3779","4531","0.8340322224674465"
"2021-01-27","3721","4470","0.8324384787472036"
"2021-01-28","3738","4543","0.8228043143297381"
"2021-01-29","3521","4249","0.828665568369028"
"2021-01-30","1743","2213","0.7876186172616357"
"2021-01-31","303","318","0.9528301886792453"
"2021-02-01","2222","2451","0.9065687474500204"
"2021-02-02","3864","4654","0.8302535453373442"
"2021-02-03","3983","4845","0.8220846233230135"
"2021-02-04","3702","4484","0.8256021409455843"
"2021-02-05","3619","4320","0.8377314814814815"
"2021-02-06","2477","2989","0.8287052525928404"
"2021-02-07","2415","2912","0.8293269230769231"
"2021-02-08","3596","4410","0.8154195011337868"
"2021-02-09","3830","4714","0.8124734832414086"
"2021-02-10","4032","4905","0.8220183486238533"
"2021-02-11","3983","4899","0.8130230659318228"
"2021-02-12","3597","4357","0.8255680514115217"
"2021-02-13","2351","2963","0.7934525818427269"
"2021-02-14","2496","3106","0.8036059240180297"
"2021-02-15","3534","4359","0.8107364074328974"
"2021-02-16","3656","4477","0.8166182711637258"
"2021-02-17","3983","4739","0.8404726735598228"
"2021-02-18","3896","4778","0.8154039347007116"
"2021-02-19","3588","4403","0.8148989325459913"
"2021-02-20","2305","2972","0.7755720053835801"
"2021-02-21","2283","2900","0.7872413793103449"
"2021-02-22","3757","4601","0.8165616170397739"
"2021-02-23","3086","3669","0.8411011174707005"
"2021-02-24","4047","4848","0.8347772277227723"
"2021-02-25","4011","4870","0.8236139630390144"
"2021-02-26","3765","4562","0.8252959228408593"
"2021-02-27","2541","3208","0.7920822942643392"
"2021-02-28","2551","3272","0.7796454767726161"
"2021-03-01","3798","4685","0.8106723585912486"
"2021-03-02","3941","4830","0.8159420289855073"
"2021-03-03","3872","4728","0.8189509306260575"
"2021-03-04","3955","4881","0.8102847777094858"
"2021-03-05","3619","4385","0.8253135689851767"
"2021-03-06","2415","3074","0.7856213402732596"
"2021-03-07","2373","3050","0.7780327868852459"
"2021-03-08","3568","4366","0.8172240036646816"
"2021-03-09","3699","4552","0.812609841827768"
"2021-03-10","3787","4645","0.8152852529601722"
"2021-03-11","3832","4650","0.8240860215053764"
"2021-03-12","3770","4569","0.8251258481068068"
"2021-03-13","2412","3096","0.7790697674418605"
