date,count,total_count,ratio
"2021-01-01","8","2095","0.0038186157517899762"
"2021-01-02","8","2452","0.0032626427406199023"
"2021-01-03","8","2599","0.0030781069642170067"
"2021-01-04","7","3896","0.0017967145790554414"
"2021-01-05","6","4122","0.001455604075691412"
"2021-01-06","8","4439","0.0018022077044379365"
"2021-01-07","9","4390","0.002050113895216401"
"2021-01-08","15","4431","0.003385240352064997"
"2021-01-09","10","2956","0.0033829499323410014"
"2021-01-10","4","2833","0.0014119308153900459"
"2021-01-11","7","3970","0.0017632241813602015"
"2021-01-12","18","4836","0.0037220843672456576"
"2021-01-13","6","4979","0.0012050612572805785"
"2021-01-14","11","4915","0.0022380467955239063"
"2021-01-15","11","4545","0.0024202420242024204"
"2021-01-16","5","3074","0.0016265452179570592"
"2021-01-17","9","2953","0.0030477480528276328"
"2021-01-18","14","4409","0.0031753232025402587"
"2021-01-19","7","4803","0.0014574224443056423"
"2021-01-20","13","4937","0.0026331780433461616"
"2021-01-21","11","5007","0.00219692430597164"
"2021-01-22","7","4493","0.0015579790785666592"
"2021-01-23","2","3150","0.0006349206349206349"
"2021-01-24","6","3156","0.0019011406844106464"
"2021-01-25","5","4378","0.0011420740063956144"
"2021-01-26","5","4531","0.0011035091591260207"
"2021-01-27","2","4470","0.00044742729306487697"
"2021-01-28","7","4543","0.0015408320493066256"
"2021-01-29","10","4249","0.002353494939985879"
"2021-01-30","1","2213","0.00045187528242205153"
"2021-01-31","4","318","0.012578616352201259"
"2021-02-01","3","2451","0.0012239902080783353"
"2021-02-02","10","4654","0.0021486892995272885"
"2021-02-03","10","4845","0.0020639834881320948"
"2021-02-04","12","4484","0.0026761819803746653"
"2021-02-05","8","4320","0.001851851851851852"
"2021-02-06","15","2989","0.005018400802944129"
"2021-02-07","8","2912","0.0027472527472527475"
"2021-02-08","17","4410","0.003854875283446712"
"2021-02-09","14","4714","0.002969876962240136"
"2021-02-10","10","4905","0.0020387359836901123"
"2021-02-11","13","4899","0.0026536027760767503"
"2021-02-12","18","4357","0.004131282992885013"
"2021-02-13","5","2963","0.0016874789065136687"
"2021-02-14","5","3106","0.0016097875080489374"
"2021-02-15","10","4359","0.0022941041523285156"
"2021-02-16","6","4477","0.0013401831583649765"
"2021-02-17","5","4739","0.0010550749103186326"
"2021-02-18","10","4778","0.002092925910422771"
"2021-02-19","8","4403","0.0018169429934135816"
"2021-02-20","8","2972","0.0026917900403768506"
"2021-02-21","5","2900","0.0017241379310344827"
"2021-02-22","5","4601","0.0010867202782003911"
"2021-02-23","9","3669","0.0024529844644317253"
"2021-02-24","11","4848","0.002268976897689769"
"2021-02-25","9","4870","0.0018480492813141684"
"2021-02-26","8","4562","0.0017536168347216134"
"2021-02-27","10","3208","0.003117206982543641"
"2021-02-28","13","3272","0.003973105134474328"
"2021-03-01","12","4685","0.0025613660618996796"
"2021-03-02","15","4830","0.003105590062111801"
"2021-03-03","14","4728","0.002961082910321489"
"2021-03-04","13","4881","0.0026633886498668305"
"2021-03-05","9","4385","0.0020524515393386543"
"2021-03-06","6","3074","0.001951854261548471"
"2021-03-07","10","3050","0.003278688524590164"
"2021-03-08","11","4366","0.0025194686211635364"
"2021-03-09","9","4552","0.001977152899824253"
"2021-03-10","14","4645","0.0030139935414424113"
"2021-03-11","13","4650","0.002795698924731183"
"2021-03-12","6","4569","0.0013131976362442547"
"2021-03-13","8","3096","0.002583979328165375"
"2021-03-14","11","2995","0.003672787979966611"
"2021-03-15","8","4519","0.0017703031644169065"
"2021-03-16","8","4780","0.0016736401673640166"
"2021-03-17","12","4696","0.002555366269165247"
"2021-03-18","15","4728","0.0031725888324873096"
"2021-03-19","12","4126","0.00290838584585555"
"2021-03-20","4","3044","0.001314060446780552"
"2021-03-21","13","3063","0.004244205027750571"
"2021-03-22","10","3634","0.00275178866263071"
"2021-03-23","10","3933","0.0025425883549453345"
"2021-03-24","16","4709","0.0033977489912932683"
"2021-03-25","4","4703","0.0008505209440782479"
"2021-03-26","6","3724","0.001611170784103115"
"2021-03-27","7","3069","0.002280873248615184"
"2021-03-28","6","2964","0.0020242914979757085"
"2021-03-29","11","4339","0.002535146347084582"
"2021-03-30","15","4573","0.0032801224579050953"
"2021-03-31","10","4659","0.0021463833440652502"
"2021-04-01","8","3568","0.002242152466367713"
"2021-04-02","4","3206","0.0012476606363069245"
"2021-04-03","6","2980","0.0020134228187919465"
"2021-04-04","8","2656","0.0030120481927710845"
