date,count,total_count,ratio
"2021-01-01","5","2095","0.002386634844868735"
"2021-01-02","7","2452","0.0028548123980424145"
"2021-01-03","3","2599","0.0011542901115813775"
"2021-01-04","7","3896","0.0017967145790554414"
"2021-01-05","7","4122","0.001698204754973314"
"2021-01-06","5","4439","0.0011263798152737104"
"2021-01-07","10","4390","0.002277904328018223"
"2021-01-08","9","4431","0.002031144211238998"
"2021-01-09","4","2956","0.0013531799729364006"
"2021-01-10","5","2833","0.0017649135192375574"
"2021-01-11","17","3970","0.0042821158690176326"
"2021-01-12","12","4836","0.0024813895781637717"
"2021-01-13","10","4979","0.002008435428800964"
"2021-01-14","11","4915","0.0022380467955239063"
"2021-01-15","10","4545","0.0022002200220022"
"2021-01-16","6","3074","0.001951854261548471"
"2021-01-17","7","2953","0.0023704707077548256"
"2021-01-18","11","4409","0.0024948968019959175"
"2021-01-19","16","4803","0.0033312513012700396"
"2021-01-20","13","4937","0.0026331780433461616"
"2021-01-21","13","5007","0.0025963650888755742"
"2021-01-22","17","4493","0.0037836634765190296"
"2021-01-23","3","3150","0.0009523809523809524"
"2021-01-24","13","3156","0.004119138149556401"
"2021-01-25","19","4378","0.004339881224303335"
"2021-01-26","23","4531","0.005076142131979695"
"2021-01-27","24","4470","0.005369127516778523"
"2021-01-28","15","4543","0.003301782962799912"
"2021-01-29","13","4249","0.003059543421981643"
"2021-01-30","2","2213","0.0009037505648441031"
"2021-01-31","0","318","0"
"2021-02-01","5","2451","0.002039983680130559"
"2021-02-02","15","4654","0.0032230339492909325"
"2021-02-03","10","4845","0.0020639834881320948"
"2021-02-04","6","4484","0.0013380909901873326"
"2021-02-05","12","4320","0.002777777777777778"
"2021-02-06","5","2989","0.0016728002676480427"
"2021-02-07","5","2912","0.001717032967032967"
"2021-02-08","4","4410","0.0009070294784580499"
"2021-02-09","13","4714","0.0027577428935086977"
"2021-02-10","15","4905","0.0030581039755351682"
"2021-02-11","8","4899","0.0016329863237395388"
"2021-02-12","18","4357","0.004131282992885013"
"2021-02-13","8","2963","0.0026999662504218697"
"2021-02-14","9","3106","0.0028976175144880875"
"2021-02-15","13","4359","0.0029823353980270705"
"2021-02-16","10","4477","0.002233638597274961"
"2021-02-17","9","4739","0.0018991348385735388"
"2021-02-18","15","4778","0.0031393888656341567"
"2021-02-19","16","4403","0.0036338859868271633"
"2021-02-20","5","2972","0.0016823687752355316"
"2021-02-21","6","2900","0.0020689655172413794"
"2021-02-22","9","4601","0.0019560965007607042"
"2021-02-23","15","3669","0.004088307440719542"
"2021-02-24","16","4848","0.0033003300330033004"
"2021-02-25","15","4870","0.003080082135523614"
"2021-02-26","7","4562","0.0015344147303814116"
"2021-02-27","4","3208","0.0012468827930174563"
"2021-02-28","3","3272","0.0009168704156479218"
"2021-03-01","10","4685","0.0021344717182497333"
"2021-03-02","16","4830","0.0033126293995859213"
"2021-03-03","14","4728","0.002961082910321489"
"2021-03-04","13","4881","0.0026633886498668305"
"2021-03-05","8","4385","0.0018244013683010262"
"2021-03-06","4","3074","0.0013012361743656475"
"2021-03-07","11","3050","0.0036065573770491803"
"2021-03-08","9","4366","0.002061383417315621"
"2021-03-09","14","4552","0.0030755711775043936"
"2021-03-10","12","4645","0.0025834230355220667"
"2021-03-11","8","4650","0.0017204301075268817"
"2021-03-12","16","4569","0.0035018603633180127"
"2021-03-13","7","3096","0.0022609819121447027"
"2021-03-14","9","2995","0.003005008347245409"
"2021-03-15","12","4519","0.0026554547466253594"
"2021-03-16","14","4780","0.0029288702928870294"
"2021-03-17","14","4696","0.002981260647359455"
"2021-03-18","11","4728","0.002326565143824027"
"2021-03-19","5","4126","0.0012118274357731458"
"2021-03-20","5","3044","0.0016425755584756898"
"2021-03-21","7","3063","0.002285341168788769"
"2021-03-22","7","3634","0.001926252063841497"
"2021-03-23","13","3933","0.0033053648614289346"
"2021-03-24","9","4709","0.0019112338076024634"
"2021-03-25","14","4703","0.002976823304273868"
"2021-03-26","14","3724","0.0037593984962406013"
"2021-03-27","2","3069","0.0006516780710329097"
"2021-03-28","10","2964","0.0033738191632928477"
"2021-03-29","13","4339","0.0029960820465545056"
"2021-03-30","14","4573","0.003061447627378089"
"2021-03-31","11","4659","0.002361021678471775"
"2021-04-01","5","3568","0.0014013452914798206"
"2021-04-02","6","3206","0.0018714909544603868"
"2021-04-03","4","2980","0.0013422818791946308"
"2021-04-04","4","2656","0.0015060240963855422"
"2021-04-05","7","3681","0.0019016571583808748"
"2021-04-06","8","4717","0.0016959932160271359"
"2021-04-07","9","4967","0.0018119589289309443"
"2021-04-08","5","1662","0.0030084235860409147"
"2021-04-09","1","53","0.018867924528301886"
"2021-04-10","1","49","0.02040816326530612"
"2021-04-11","0","136","0"
"2021-04-12","1","394","0.0025380710659898475"
"2021-04-13","5","2196","0.002276867030965392"
"2021-04-14","15","5079","0.0029533372711163615"
"2021-04-15","13","5237","0.0024823372159633377"
"2021-04-16","16","4742","0.003374103753690426"
"2021-04-17","4","1762","0.0022701475595913734"
"2021-04-18","3","391","0.0076726342710997444"
