date,count,total_count,ratio
"2021-01-01","1742","2095","0.8315035799522673"
"2021-01-02","2132","2452","0.8694942903752039"
"2021-01-03","2295","2599","0.8830319353597538"
"2021-01-04","3419","3896","0.8775667351129364"
"2021-01-05","3613","4122","0.8765162542455119"
"2021-01-06","3800","4439","0.8560486596080198"
"2021-01-07","3795","4390","0.8644646924829157"
"2021-01-08","3870","4431","0.8733920108327691"
"2021-01-09","2567","2956","0.868403247631935"
"2021-01-10","2341","2833","0.8263325097070243"
"2021-01-11","3342","3970","0.8418136020151133"
"2021-01-12","4182","4836","0.8647642679900744"
"2021-01-13","4332","4979","0.8700542277565776"
"2021-01-14","4184","4915","0.8512716174974567"
"2021-01-15","3923","4545","0.8631463146314632"
"2021-01-16","2664","3074","0.8666232921275211"
"2021-01-17","2531","2953","0.8570944801896376"
"2021-01-18","3848","4409","0.8727602630982082"
"2021-01-19","4162","4803","0.866541744742869"
"2021-01-20","4266","4937","0.8640875025319019"
"2021-01-21","4381","5007","0.8749750349510685"
"2021-01-22","3955","4493","0.8802581793901625"
"2021-01-23","2759","3150","0.8758730158730159"
"2021-01-24","2684","3156","0.8504435994930292"
"2021-01-25","3824","4378","0.8734582000913659"
"2021-01-26","4034","4531","0.8903111895828736"
"2021-01-27","3960","4470","0.8859060402684564"
"2021-01-28","3998","4543","0.8800352190182699"
"2021-01-29","3822","4249","0.899505766062603"
"2021-01-30","1927","2213","0.8707636692272933"
"2021-01-31","310","318","0.9748427672955975"
"2021-02-01","2325","2451","0.9485924112607099"
"2021-02-02","4156","4654","0.8929952728835411"
"2021-02-03","4284","4845","0.8842105263157894"
"2021-02-04","3909","4484","0.8717662801070473"
"2021-02-05","3797","4320","0.8789351851851852"
"2021-02-06","2631","2989","0.8802275008364001"
"2021-02-07","2546","2912","0.8743131868131868"
"2021-02-08","3896","4410","0.8834467120181406"
"2021-02-09","4167","4714","0.8839626644039033"
"2021-02-10","4318","4905","0.8803261977573904"
"2021-02-11","4339","4899","0.8856909573382323"
"2021-02-12","3876","4357","0.8896029378012393"
"2021-02-13","2591","2963","0.874451569355383"
"2021-02-14","2689","3106","0.8657437218287186"
"2021-02-15","3841","4359","0.8811654049093829"
"2021-02-16","3954","4477","0.8831807013625196"
"2021-02-17","4159","4739","0.8776113104030386"
"2021-02-18","4264","4778","0.8924236082042696"
"2021-02-19","3876","4403","0.8803088803088803"
"2021-02-20","2543","2972","0.8556527590847914"
"2021-02-21","2458","2900","0.8475862068965517"
"2021-02-22","4019","4601","0.8735057596174745"
"2021-02-23","3276","3669","0.892886345053148"
"2021-02-24","4311","4848","0.8892326732673267"
