date,count,total_count,ratio
"2021-01-01","256","2095","0.12219570405727924"
"2021-01-02","351","2452","0.14314845024469822"
"2021-01-03","359","2599","0.13813005001923817"
"2021-01-04","458","3896","0.1175564681724846"
"2021-01-05","498","4122","0.12081513828238719"
"2021-01-06","546","4439","0.12300067582788916"
"2021-01-07","549","4390","0.12505694760820046"
"2021-01-08","530","4431","0.11961182577296321"
"2021-01-09","424","2956","0.14343707713125844"
"2021-01-10","372","2833","0.13130956583127426"
"2021-01-11","523","3970","0.13173803526448363"
"2021-01-12","555","4836","0.11476426799007444"
"2021-01-13","642","4979","0.1289415545290219"
"2021-01-14","631","4915","0.128382502543235"
"2021-01-15","664","4545","0.1460946094609461"
"2021-01-16","424","3074","0.13793103448275862"
"2021-01-17","414","2953","0.1401964104300711"
"2021-01-18","623","4409","0.14130188251304152"
"2021-01-19","648","4803","0.13491567770143661"
"2021-01-20","644","4937","0.13044358922422525"
"2021-01-21","668","5007","0.1334132214899141"
"2021-01-22","649","4493","0.14444691742710883"
"2021-01-23","435","3150","0.1380952380952381"
"2021-01-24","449","3156","0.14226869455006338"
"2021-01-25","581","4378","0.1327089995431704"
"2021-01-26","739","4531","0.16309865371882587"
"2021-01-27","674","4470","0.15078299776286352"
"2021-01-28","694","4543","0.1527624917455426"
"2021-01-29","639","4249","0.15038832666509766"
"2021-01-30","271","2213","0.12245820153637596"
"2021-01-31","72","318","0.22641509433962265"
"2021-02-01","382","2451","0.1558547531619747"
"2021-02-02","706","4654","0.15169746454662655"
"2021-02-03","616","4845","0.12714138286893706"
"2021-02-04","653","4484","0.14562890276538804"
"2021-02-05","698","4320","0.16157407407407406"
"2021-02-06","427","2989","0.14285714285714285"
"2021-02-07","433","2912","0.14869505494505494"
"2021-02-08","633","4410","0.1435374149659864"
"2021-02-09","754","4714","0.15994908782350445"
"2021-02-10","687","4905","0.1400611620795107"
"2021-02-11","708","4899","0.14451928965094918"
"2021-02-12","649","4357","0.1489557034656874"
"2021-02-13","441","2963","0.14883563955450557"
"2021-02-14","509","3106","0.16387636831938185"
"2021-02-15","676","4359","0.15508144069740767"
"2021-02-16","597","4477","0.13334822425731516"
"2021-02-17","680","4739","0.14349018780333403"
"2021-02-18","744","4778","0.15571368773545416"
"2021-02-19","633","4403","0.14376561435384966"
"2021-02-20","460","2972","0.15477792732166892"
"2021-02-21","472","2900","0.16275862068965516"
"2021-02-22","615","4601","0.13366659421864813"
"2021-02-23","580","3669","0.15808122104115563"
"2021-02-24","666","4848","0.1373762376237624"
"2021-02-25","653","4870","0.13408624229979466"
"2021-02-26","702","4562","0.15387987724682156"
"2021-02-27","498","3208","0.1552369077306733"
"2021-02-28","574","3272","0.1754278728606357"
"2021-03-01","675","4685","0.144076840981857"
"2021-03-02","727","4830","0.1505175983436853"
"2021-03-03","738","4728","0.15609137055837563"
"2021-03-04","712","4881","0.1458717475927064"
"2021-03-05","626","4385","0.1427594070695553"
"2021-03-06","450","3074","0.14638906961613532"
"2021-03-07","454","3050","0.14885245901639343"
"2021-03-08","727","4366","0.16651397159871736"
"2021-03-09","717","4552","0.15751318101933215"
"2021-03-10","691","4645","0.14876210979547902"
"2021-03-11","675","4650","0.14516129032258066"
"2021-03-12","708","4569","0.15495732107682206"
"2021-03-13","476","3096","0.15374677002583978"
"2021-03-14","490","2995","0.1636060100166945"
"2021-03-15","688","4519","0.15224607213985394"
"2021-03-16","667","4780","0.1395397489539749"
"2021-03-17","761","4696","0.16205281090289608"
"2021-03-18","763","4728","0.16137901861252116"
"2021-03-19","627","4126","0.15196316044595248"
"2021-03-20","470","3044","0.15440210249671485"
"2021-03-21","480","3063","0.15670910871694418"
"2021-03-22","502","3634","0.13813979086406164"
"2021-03-23","601","3933","0.15280956013221458"
"2021-03-24","667","4709","0.14164366107453813"
"2021-03-25","720","4703","0.15309376993408463"
"2021-03-26","491","3724","0.13184747583243825"
"2021-03-27","517","3069","0.16845878136200718"
"2021-03-28","454","2964","0.15317139001349528"
"2021-03-29","640","4339","0.14749942383037568"
"2021-03-30","651","4573","0.14235731467308113"
"2021-03-31","714","4659","0.15325177076625884"
"2021-04-01","582","3568","0.16311659192825112"
"2021-04-02","431","3206","0.1344354335620711"
"2021-04-03","451","2980","0.15134228187919463"
"2021-04-04","452","2656","0.17018072289156627"
"2021-04-05","562","3681","0.15267590328715022"
