date,nueva era-count,invento del gobierno-count,contienen microchips -count,puede magnetizar-count,alteran el adn-count,enferma de covid-count,causan infertilidad-count,mi fe me protege-count,nueva era-total_count,invento del gobierno-total_count,contienen microchips -total_count,puede magnetizar-total_count,alteran el adn-total_count,enferma de covid-total_count,causan infertilidad-total_count,mi fe me protege-total_count,nueva era-ratio,invento del gobierno-ratio,contienen microchips -ratio,puede magnetizar-ratio,alteran el adn-ratio,enferma de covid-ratio,causan infertilidad-ratio,mi fe me protege-ratio
"2021-01-01","454","1455","5","308","1617","1742","8","256","2095","2095","2095","2095","2095","2095","2095","2095","0.21670644391408114","0.6945107398568019","0.002386634844868735","0.14701670644391407","0.7718377088305489","0.8315035799522673","0.0038186157517899762","0.12219570405727924"
"2021-01-02","561","1781","7","366","1986","2132","8","351","2452","2452","2452","2452","2452","2452","2452","2452","0.22879282218597063","0.7263458401305057","0.0028548123980424145","0.14926590538336051","0.8099510603588908","0.8694942903752039","0.0032626427406199023","0.14314845024469822"
"2021-01-03","566","1935","3","436","2126","2295","8","359","2599","2599","2599","2599","2599","2599","2599","2599","0.2177760677183532","0.7445171219699884","0.0011542901115813775","0.16775682954982685","0.8180069257406695","0.8830319353597538","0.0030781069642170067","0.13813005001923817"
"2021-01-04","866","2902","7","555","3147","3419","7","458","3896","3896","3896","3896","3896","3896","3896","3896","0.22227926078028748","0.7448665297741273","0.0017967145790554414","0.14245379876796715","0.8077515400410678","0.8775667351129364","0.0017967145790554414","0.1175564681724846"
"2021-01-05","960","3169","7","643","3392","3613","6","498","4122","4122","4122","4122","4122","4122","4122","4122","0.2328966521106259","0.7688015526443474","0.001698204754973314","0.155992236778263","0.8229015041242116","0.8765162542455119","0.001455604075691412","0.12081513828238719"
"2021-01-06","812","3218","5","621","3433","3800","8","546","4439","4439","4439","4439","4439","4439","4439","4439","0.18292408200045054","0.7249380491101599","0.0011263798152737104","0.13989637305699482","0.7733723811669295","0.8560486596080198","0.0018022077044379365","0.12300067582788916"
"2021-01-07","1002","3217","10","716","3424","3795","9","549","4390","4390","4390","4390","4390","4390","4390","4390","0.22824601366742597","0.7328018223234624","0.002277904328018223","0.1630979498861048","0.7799544419134397","0.8644646924829157","0.002050113895216401","0.12505694760820046"
"2021-01-08","958","3246","9","633","3571","3870","15","530","4431","4431","4431","4431","4431","4431","4431","4431","0.21620401715188445","0.7325660121868652","0.002031144211238998","0.14285714285714285","0.8059128864816069","0.8733920108327691","0.003385240352064997","0.11961182577296321"
"2021-01-09","623","2175","4","411","2401","2567","10","424","2956","2956","2956","2956","2956","2956","2956","2956","0.2107577807848444","0.7357916102841678","0.0013531799729364006","0.13903924221921515","0.8122462787550744","0.868403247631935","0.0033829499323410014","0.14343707713125844"
"2021-01-10","580","1972","5","364","2191","2341","4","372","2833","2833","2833","2833","2833","2833","2833","2833","0.20472996823155665","0.6960818919872926","0.0017649135192375574","0.12848570420049418","0.7733851041298976","0.8263325097070243","0.0014119308153900459","0.13130956583127426"
"2021-01-11","851","2873","17","535","3045","3342","7","523","3970","3970","3970","3970","3970","3970","3970","3970","0.21435768261964736","0.7236775818639799","0.0042821158690176326","0.13476070528967254","0.7670025188916877","0.8418136020151133","0.0017632241813602015","0.13173803526448363"
"2021-01-12","1001","3583","12","752","3873","4182","18","555","4836","4836","4836","4836","4836","4836","4836","4836","0.20698924731182797","0.7409015715467329","0.0024813895781637717","0.1555004135649297","0.8008684863523573","0.8647642679900744","0.0037220843672456576","0.11476426799007444"
"2021-01-13","1085","3639","10","783","3957","4332","6","642","4979","4979","4979","4979","4979","4979","4979","4979","0.2179152440249046","0.7308696525406708","0.002008435428800964","0.1572604940751155","0.7947378991765415","0.8700542277565776","0.0012050612572805785","0.1289415545290219"
"2021-01-14","1075","3558","11","763","3800","4184","11","631","4915","4915","4915","4915","4915","4915","4915","4915","0.21871820956256358","0.7239064089521872","0.0022380467955239063","0.15523906408952187","0.7731434384537131","0.8512716174974567","0.0022380467955239063","0.128382502543235"
"2021-01-15","1057","3330","10","764","3600","3923","11","664","4545","4545","4545","4545","4545","4545","4545","4545","0.23256325632563257","0.7326732673267327","0.0022002200220022","0.1680968096809681","0.7920792079207921","0.8631463146314632","0.0024202420242024204","0.1460946094609461"
"2021-01-16","717","2259","6","486","2498","2664","5","424","3074","3074","3074","3074","3074","3074","3074","3074","0.2332465842550423","0.7348731294729993","0.001951854261548471","0.15810019518542615","0.8126219908913468","0.8666232921275211","0.0016265452179570592","0.13793103448275862"
"2021-01-17","625","2131","7","443","2353","2531","9","414","2953","2953","2953","2953","2953","2953","2953","2953","0.2116491703352523","0.7216390111750762","0.0023704707077548256","0.1500169319336268","0.7968167964781578","0.8570944801896376","0.0030477480528276328","0.1401964104300711"
"2021-01-18","938","3267","11","759","3574","3848","14","623","4409","4409","4409","4409","4409","4409","4409","4409","0.2127466545701973","0.7409843501927875","0.0024948968019959175","0.1721478793377183","0.8106146518484917","0.8727602630982082","0.0031753232025402587","0.14130188251304152"
"2021-01-19","1083","3557","16","733","3836","4162","7","648","4803","4803","4803","4803","4803","4803","4803","4803","0.2254840724547158","0.7405788049135956","0.0033312513012700396","0.1526129502394337","0.798667499479492","0.866541744742869","0.0014574224443056423","0.13491567770143661"
