date,count,total_count,ratio
"2021-01-01","2","2095","0.0009546539379474941"
"2021-01-02","4","2452","0.0016313213703099511"
"2021-01-03","0","2599","0"
"2021-01-04","1","3896","0.0002566735112936345"
"2021-01-05","6","4122","0.001455604075691412"
"2021-01-06","5","4439","0.0011263798152737104"
"2021-01-07","6","4390","0.001366742596810934"
"2021-01-08","5","4431","0.0011284134506883321"
"2021-01-09","7","2956","0.002368064952638701"
"2021-01-10","0","2833","0"
"2021-01-11","6","3970","0.0015113350125944584"
"2021-01-12","2","4836","0.00041356492969396195"
"2021-01-13","6","4979","0.0012050612572805785"
"2021-01-14","17","4915","0.0034587995930824007"
"2021-01-15","10","4545","0.0022002200220022"
"2021-01-16","4","3074","0.0013012361743656475"
"2021-01-17","7","2953","0.0023704707077548256"
"2021-01-18","8","4409","0.0018144704014515763"
"2021-01-19","8","4803","0.0016656256506350198"
"2021-01-20","4","4937","0.0008102086287218959"
"2021-01-21","8","5007","0.001597763131615738"
"2021-01-22","16","4493","0.0035610950367237926"
"2021-01-23","5","3150","0.0015873015873015873"
"2021-01-24","7","3156","0.002217997465145754"
"2021-01-25","12","4378","0.002740977615349475"
"2021-01-26","12","4531","0.0026484219819024497"
"2021-01-27","3","4470","0.0006711409395973154"
"2021-01-28","14","4543","0.0030816640986132513"
"2021-01-29","9","4249","0.002118145445987291"
"2021-01-30","5","2213","0.0022593764121102574"
"2021-01-31","0","318","0"
"2021-02-01","2","2451","0.0008159934720522236"
"2021-02-02","6","4654","0.001289213579716373"
"2021-02-03","5","4845","0.0010319917440660474"
"2021-02-04","3","4484","0.0006690454950936663"
"2021-02-05","3","4320","0.0006944444444444445"
"2021-02-06","9","2989","0.003011040481766477"
"2021-02-07","0","2912","0"
"2021-02-08","7","4410","0.0015873015873015873"
"2021-02-09","14","4714","0.002969876962240136"
"2021-02-10","16","4905","0.0032619775739041795"
"2021-02-11","6","4899","0.001224739742804654"
"2021-02-12","3","4357","0.0006885471654808355"
"2021-02-13","3","2963","0.0010124873439082012"
"2021-02-14","4","3106","0.00128783000643915"
"2021-02-15","1","4359","0.00022941041523285156"
"2021-02-16","2","4477","0.00044672771945499217"
"2021-02-17","6","4739","0.0012660898923823592"
"2021-02-18","2","4778","0.0004185851820845542"
"2021-02-19","5","4403","0.0011355893708834886"
"2021-02-20","1","2972","0.00033647375504710633"
"2021-02-21","3","2900","0.0010344827586206897"
"2021-02-22","6","4601","0.0013040643338404696"
"2021-02-23","6","3669","0.001635322976287817"
"2021-02-24","2","4848","0.00041254125412541255"
"2021-02-25","6","4870","0.0012320328542094457"
"2021-02-26","12","4562","0.00263042525208242"
"2021-02-27","3","3208","0.0009351620947630922"
"2021-02-28","4","3272","0.0012224938875305623"
"2021-03-01","6","4685","0.0012806830309498398"
"2021-03-02","4","4830","0.0008281573498964803"
"2021-03-03","2","4728","0.00042301184433164127"
"2021-03-04","2","4881","0.0004097520999795124"
"2021-03-05","7","4385","0.0015963511972633979"
"2021-03-06","3","3074","0.0009759271307742355"
"2021-03-07","10","3050","0.003278688524590164"
"2021-03-08","8","4366","0.0018323408153916628"
"2021-03-09","11","4552","0.0024165202108963092"
"2021-03-10","7","4645","0.0015069967707212056"
"2021-03-11","0","4650","0"
"2021-03-12","10","4569","0.002188662727073758"
"2021-03-13","3","3096","0.0009689922480620155"
"2021-03-14","9","2995","0.003005008347245409"
"2021-03-15","11","4519","0.0024341668510732464"
"2021-03-16","5","4780","0.0010460251046025104"
"2021-03-17","2","4696","0.00042589437819420784"
"2021-03-18","8","4728","0.001692047377326565"
"2021-03-19","5","4126","0.0012118274357731458"
"2021-03-20","3","3044","0.0009855453350854138"
"2021-03-21","7","3063","0.002285341168788769"
"2021-03-22","2","3634","0.000550357732526142"
"2021-03-23","4","3933","0.0010170353419781336"
"2021-03-24","8","4709","0.0016988744956466342"
"2021-03-25","3","4703","0.0006378907080586859"
"2021-03-26","3","3724","0.0008055853920515575"
"2021-03-27","2","3069","0.0006516780710329097"
"2021-03-28","4","2964","0.001349527665317139"
"2021-03-29","20","4339","0.00460935699469924"
"2021-03-30","14","4573","0.003061447627378089"
"2021-03-31","6","4659","0.00128783000643915"
"2021-04-01","7","3568","0.001961883408071749"
"2021-04-02","3","3206","0.0009357454772301934"
"2021-04-03","2","2980","0.0006711409395973154"
"2021-04-04","8","2656","0.0030120481927710845"
"2021-04-05","11","3681","0.002988318391741375"
"2021-04-06","13","4717","0.002755988976044096"
"2021-04-07","9","4967","0.0018119589289309443"
"2021-04-08","2","1662","0.0012033694344163659"
"2021-04-09","0","53","0"
"2021-04-10","0","49","0"
"2021-04-11","0","136","0"
"2021-04-12","1","394","0.0025380710659898475"
"2021-04-13","1","2196","0.0004553734061930783"
"2021-04-14","2","5079","0.00039377830281551486"
"2021-04-15","10","5237","0.0019094901661256445"
"2021-04-16","4","4742","0.0008435259384226065"
"2021-04-17","2","1762","0.0011350737797956867"
"2021-04-18","0","391","0"
"2021-04-19","12","3134","0.0038289725590299937"
"2021-04-20","9","4703","0.0019136721241760578"
"2021-04-21","9","5440","0.0016544117647058823"
"2021-04-22","1","5305","0.00018850141376060322"
"2021-04-23","0","4773","0"
"2021-04-24","1","3363","0.0002973535533749628"
"2021-04-25","6","3413","0.0017579841781423966"
"2021-04-26","1","4970","0.00020120724346076458"
