date,count,total_count,ratio
"2021-01-01","4","2095","0.0019093078758949881"
"2021-01-02","2","2452","0.0008156606851549756"
"2021-01-03","2","2599","0.0007695267410542517"
"2021-01-04","1","3896","0.0002566735112936345"
"2021-01-05","2","4122","0.00048520135856380397"
"2021-01-06","7","4439","0.0015769317413831944"
"2021-01-07","1","4390","0.00022779043280182233"
"2021-01-08","1","4431","0.00022568269013766644"
"2021-01-09","1","2956","0.00033829499323410016"
"2021-01-10","0","2833","0"
"2021-01-11","1","3970","0.00025188916876574307"
"2021-01-12","1","4836","0.00020678246484698098"
"2021-01-13","1","4979","0.0002008435428800964"
"2021-01-14","3","4915","0.0006103763987792472"
"2021-01-15","1","4545","0.00022002200220022002"
"2021-01-16","0","3074","0"
"2021-01-17","2","2953","0.0006772773450728074"
"2021-01-18","3","4409","0.0006804264005443411"
"2021-01-19","1","4803","0.00020820320632937748"
"2021-01-20","1","4937","0.00020255215718047398"
"2021-01-21","2","5007","0.0003994407829039345"
"2021-01-22","2","4493","0.0004451368795904741"
"2021-01-23","2","3150","0.0006349206349206349"
"2021-01-24","1","3156","0.0003168567807351077"
"2021-01-25","3","4378","0.0006852444038373687"
"2021-01-26","1","4531","0.00022070183182520416"
"2021-01-27","1","4470","0.00022371364653243848"
"2021-01-28","3","4543","0.0006603565925599824"
"2021-01-29","2","4249","0.0004706989879971758"
"2021-01-30","1","2213","0.00045187528242205153"
"2021-01-31","0","318","0"
"2021-02-01","3","2451","0.0012239902080783353"
"2021-02-02","3","4654","0.0006446067898581865"
"2021-02-03","2","4845","0.000412796697626419"
"2021-02-04","2","4484","0.00044603033006244426"
"2021-02-05","1","4320","0.0002314814814814815"
"2021-02-06","1","2989","0.00033456005352960856"
"2021-02-07","0","2912","0"
"2021-02-08","1","4410","0.00022675736961451248"
"2021-02-09","1","4714","0.00021213406873143826"
"2021-02-10","6","4905","0.0012232415902140672"
"2021-02-11","4","4899","0.0008164931618697694"
"2021-02-12","1","4357","0.00022951572182694515"
"2021-02-13","1","2963","0.0003374957813027337"
"2021-02-14","0","3106","0"
"2021-02-15","2","4359","0.0004588208304657031"
"2021-02-16","2","4477","0.00044672771945499217"
"2021-02-17","2","4739","0.00042202996412745304"
"2021-02-18","1","4778","0.0002092925910422771"
"2021-02-19","5","4403","0.0011355893708834886"
"2021-02-20","2","2972","0.0006729475100942127"
"2021-02-21","1","2900","0.0003448275862068965"
"2021-02-22","0","4601","0"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","1","4848","0.00020627062706270627"
"2021-02-25","0","4870","0"
"2021-02-26","0","4562","0"
"2021-02-27","0","3208","0"
"2021-02-28","0","3272","0"
"2021-03-01","2","4685","0.00042689434364994664"
"2021-03-02","2","4830","0.00041407867494824016"
"2021-03-03","3","4728","0.0006345177664974619"
"2021-03-04","5","4881","0.001024380249948781"
"2021-03-05","1","4385","0.00022805017103762827"
"2021-03-06","1","3074","0.00032530904359141186"
"2021-03-07","0","3050","0"
"2021-03-08","2","4366","0.0004580852038479157"
"2021-03-09","2","4552","0.0004393673110720562"
"2021-03-10","1","4645","0.00021528525296017224"
"2021-03-11","4","4650","0.0008602150537634409"
"2021-03-12","1","4569","0.0002188662727073758"
"2021-03-13","0","3096","0"
"2021-03-14","1","2995","0.000333889816360601"
"2021-03-15","1","4519","0.0002212878955521133"
"2021-03-16","1","4780","0.00020920502092050208"
"2021-03-17","1","4696","0.00021294718909710392"
"2021-03-18","2","4728","0.00042301184433164127"
"2021-03-19","0","4126","0"
"2021-03-20","1","3044","0.000328515111695138"
"2021-03-21","1","3063","0.000326477309826967"
"2021-03-22","0","3634","0"
"2021-03-23","0","3933","0"
"2021-03-24","1","4709","0.00021235931195582927"
"2021-03-25","1","4703","0.00021263023601956197"
"2021-03-26","0","3724","0"
"2021-03-27","0","3069","0"
"2021-03-28","2","2964","0.0006747638326585695"
"2021-03-29","2","4339","0.0004609356994699239"
"2021-03-30","2","4573","0.0004373496610540127"
"2021-03-31","3","4659","0.000643915003219575"
"2021-04-01","1","3568","0.0002802690582959641"
"2021-04-02","0","3206","0"
"2021-04-03","1","2980","0.0003355704697986577"
"2021-04-04","0","2656","0"
"2021-04-05","1","3681","0.00027166530834012495"
"2021-04-06","0","4717","0"
"2021-04-07","1","4967","0.00020132876988121604"
"2021-04-08","2","1662","0.0012033694344163659"
"2021-04-09","0","53","0"
"2021-04-10","0","49","0"
"2021-04-11","1","136","0.007352941176470588"
"2021-04-12","0","394","0"
"2021-04-13","0","2196","0"
"2021-04-14","2","5079","0.00039377830281551486"
"2021-04-15","3","5237","0.0005728470498376934"
"2021-04-16","0","4742","0"
"2021-04-17","0","1762","0"
"2021-04-18","0","391","0"
"2021-04-19","2","3134","0.0006381620931716656"
"2021-04-20","4","4703","0.0008505209440782479"
"2021-04-21","0","5440","0"
"2021-04-22","1","5305","0.00018850141376060322"
"2021-04-23","0","4773","0"
"2021-04-24","1","3363","0.0002973535533749628"
"2021-04-25","0","3413","0"
"2021-04-26","2","4970","0.00040241448692152917"
"2021-04-27","2","5409","0.00036975411351451286"
"2021-04-28","2","5348","0.00037397157816005983"
"2021-04-29","2","5302","0.0003772161448509996"
"2021-04-30","2","5033","0.00039737730975561295"
