date,count,total_count,ratio
"2021-01-01","12","2095","0.005727923627684964"
"2021-01-02","11","2452","0.004486133768352365"
"2021-01-03","19","2599","0.007310504040015391"
"2021-01-04","16","3896","0.004106776180698152"
"2021-01-05","20","4122","0.0048520135856380394"
"2021-01-06","21","4439","0.004730795224149583"
"2021-01-07","24","4390","0.005466970387243736"
"2021-01-08","20","4431","0.0045136538027533285"
"2021-01-09","11","2956","0.0037212449255751017"
"2021-01-10","12","2833","0.004235792446170138"
"2021-01-11","14","3970","0.003526448362720403"
"2021-01-12","17","4836","0.003515301902398677"
"2021-01-13","29","4979","0.005824462743522796"
"2021-01-14","16","4915","0.0032553407934893183"
"2021-01-15","18","4545","0.0039603960396039604"
"2021-01-16","3","3074","0.0009759271307742355"
"2021-01-17","11","2953","0.0037250253979004403"
"2021-01-18","12","4409","0.0027217056021773644"
"2021-01-19","20","4803","0.00416406412658755"
"2021-01-20","16","4937","0.0032408345148875837"
"2021-01-21","12","5007","0.002396644697423607"
"2021-01-22","21","4493","0.004673937235699978"
"2021-01-23","12","3150","0.0038095238095238095"
"2021-01-24","16","3156","0.005069708491761723"
"2021-01-25","13","4378","0.0029693924166285975"
"2021-01-26","21","4531","0.004634738468329287"
"2021-01-27","16","4470","0.0035794183445190158"
"2021-01-28","31","4543","0.0068236847897864845"
"2021-01-29","28","4249","0.006589785831960461"
"2021-01-30","10","2213","0.004518752824220515"
"2021-01-31","2","318","0.006289308176100629"
"2021-02-01","8","2451","0.0032639738882088943"
"2021-02-02","22","4654","0.004727116458960034"
"2021-02-03","17","4845","0.0035087719298245615"
"2021-02-04","20","4484","0.0044603033006244425"
"2021-02-05","23","4320","0.005324074074074074"
"2021-02-06","11","2989","0.0036801605888256944"
"2021-02-07","17","2912","0.005837912087912088"
"2021-02-08","17","4410","0.003854875283446712"
"2021-02-09","11","4714","0.002333474756045821"
"2021-02-10","26","4905","0.005300713557594291"
"2021-02-11","21","4899","0.004286589099816289"
"2021-02-12","11","4357","0.0025246729400963965"
"2021-02-13","14","2963","0.004724940938238272"
"2021-02-14","21","3106","0.006761107533805538"
"2021-02-15","24","4359","0.0055058499655884375"
"2021-02-16","14","4477","0.003127094036184945"
"2021-02-17","30","4739","0.006330449461911795"
"2021-02-18","29","4778","0.006069485140226036"
"2021-02-19","12","4403","0.0027254144901203725"
"2021-02-20","15","2972","0.0050471063257065945"
"2021-02-21","18","2900","0.006206896551724138"
"2021-02-22","26","4601","0.005650945446642034"
"2021-02-23","31","3669","0.008449168710820387"
"2021-02-24","22","4848","0.004537953795379538"
"2021-02-25","15","4870","0.003080082135523614"
"2021-02-26","7","4562","0.0015344147303814116"
"2021-02-27","3","3208","0.0009351620947630922"
"2021-02-28","7","3272","0.002139364303178484"
"2021-03-01","23","4685","0.004909284951974386"
"2021-03-02","14","4830","0.002898550724637681"
"2021-03-03","23","4728","0.004864636209813875"
"2021-03-04","21","4881","0.0043023970497848806"
"2021-03-05","12","4385","0.0027366020524515395"
"2021-03-06","4","3074","0.0013012361743656475"
"2021-03-07","9","3050","0.0029508196721311475"
"2021-03-08","14","4366","0.00320659642693541"
"2021-03-09","16","4552","0.0035149384885764497"
"2021-03-10","16","4645","0.003444564047362756"
"2021-03-11","18","4650","0.003870967741935484"
"2021-03-12","15","4569","0.003282994090610637"
"2021-03-13","5","3096","0.001614987080103359"
"2021-03-14","11","2995","0.003672787979966611"
"2021-03-15","19","4519","0.004204470015490153"
"2021-03-16","30","4780","0.006276150627615063"
"2021-03-17","13","4696","0.002768313458262351"
"2021-03-18","23","4728","0.004864636209813875"
"2021-03-19","15","4126","0.003635482307319438"
"2021-03-20","13","3044","0.0042706964520367935"
"2021-03-21","9","3063","0.002938295788442703"
"2021-03-22","12","3634","0.003302146395156852"
"2021-03-23","15","3933","0.0038138825324180014"
"2021-03-24","17","4709","0.0036101083032490976"
"2021-03-25","16","4703","0.0034020837763129915"
"2021-03-26","14","3724","0.0037593984962406013"
