date,count,total_count,ratio
"2021-01-01","8","2095","0.0038186157517899762"
"2021-01-02","1","2452","0.0004078303425774878"
"2021-01-03","0","2599","0"
"2021-01-04","4","3896","0.001026694045174538"
"2021-01-05","4","4122","0.0009704027171276079"
"2021-01-06","13","4439","0.002928587519711647"
"2021-01-07","4","4390","0.0009111617312072893"
"2021-01-08","4","4431","0.0009027307605506658"
"2021-01-09","3","2956","0.0010148849797023004"
"2021-01-10","0","2833","0"
"2021-01-11","6","3970","0.0015113350125944584"
"2021-01-12","3","4836","0.0006203473945409429"
"2021-01-13","9","4979","0.0018075918859208676"
"2021-01-14","1","4915","0.0002034587995930824"
"2021-01-15","2","4545","0.00044004400440044003"
"2021-01-16","5","3074","0.0016265452179570592"
"2021-01-17","5","2953","0.0016931933626820183"
"2021-01-18","6","4409","0.0013608528010886822"
"2021-01-19","3","4803","0.0006246096189881324"
"2021-01-20","3","4937","0.0006076564715414219"
"2021-01-21","7","5007","0.0013980427401637707"
"2021-01-22","9","4493","0.0020031159581571333"
"2021-01-23","4","3150","0.0012698412698412698"
"2021-01-24","7","3156","0.002217997465145754"
"2021-01-25","10","4378","0.0022841480127912287"
"2021-01-26","4","4531","0.0008828073273008167"
"2021-01-27","4","4470","0.0008948545861297539"
"2021-01-28","4","4543","0.0008804754567466431"
"2021-01-29","3","4249","0.0007060484819957637"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","3","2451","0.0012239902080783353"
"2021-02-02","10","4654","0.0021486892995272885"
"2021-02-03","4","4845","0.000825593395252838"
"2021-02-04","11","4484","0.0024531668153434435"
"2021-02-05","6","4320","0.001388888888888889"
"2021-02-06","2","2989","0.0006691201070592171"
"2021-02-07","7","2912","0.002403846153846154"
"2021-02-08","6","4410","0.0013605442176870747"
"2021-02-09","4","4714","0.0008485362749257531"
"2021-02-10","5","4905","0.0010193679918450561"
"2021-02-11","11","4899","0.0022453561951418658"
"2021-02-12","5","4357","0.0011475786091347257"
"2021-02-13","1","2963","0.0003374957813027337"
"2021-02-14","3","3106","0.0009658725048293626"
"2021-02-15","2","4359","0.0004588208304657031"
"2021-02-16","2","4477","0.00044672771945499217"
"2021-02-17","9","4739","0.0018991348385735388"
"2021-02-18","6","4778","0.0012557555462536626"
"2021-02-19","5","4403","0.0011355893708834886"
"2021-02-20","4","2972","0.0013458950201884253"
"2021-02-21","4","2900","0.001379310344827586"
"2021-02-22","3","4601","0.0006520321669202348"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","6","4848","0.0012376237623762376"
"2021-02-25","2","4870","0.0004106776180698152"
"2021-02-26","1","4562","0.00021920210434020167"
"2021-02-27","4","3208","0.0012468827930174563"
"2021-02-28","6","3272","0.0018337408312958435"
"2021-03-01","4","4685","0.0008537886872998933"
"2021-03-02","3","4830","0.0006211180124223603"
"2021-03-03","3","4728","0.0006345177664974619"
"2021-03-04","12","4881","0.002458512599877074"
"2021-03-05","7","4385","0.0015963511972633979"
"2021-03-06","5","3074","0.0016265452179570592"
"2021-03-07","3","3050","0.0009836065573770492"
"2021-03-08","4","4366","0.0009161704076958314"
"2021-03-09","4","4552","0.0008787346221441124"
"2021-03-10","4","4645","0.000861141011840689"
"2021-03-11","7","4650","0.0015053763440860215"
"2021-03-12","7","4569","0.0015320639089516305"
"2021-03-13","1","3096","0.00032299741602067185"
"2021-03-14","3","2995","0.001001669449081803"
"2021-03-15","3","4519","0.0006638636866563399"
"2021-03-16","6","4780","0.0012552301255230125"
"2021-03-17","6","4696","0.0012776831345826234"
"2021-03-18","7","4728","0.0014805414551607445"
"2021-03-19","2","4126","0.0004847309743092584"
"2021-03-20","7","3044","0.0022996057818659658"
"2021-03-21","1","3063","0.000326477309826967"
"2021-03-22","3","3634","0.000825536598789213"
"2021-03-23","1","3933","0.0002542588354945334"
"2021-03-24","1","4709","0.00021235931195582927"
"2021-03-25","3","4703","0.0006378907080586859"
"2021-03-26","2","3724","0.0005370569280343716"
"2021-03-27","4","3069","0.0013033561420658195"
"2021-03-28","7","2964","0.0023616734143049934"
"2021-03-29","2","4339","0.0004609356994699239"
"2021-03-30","0","4573","0"
"2021-03-31","2","4659","0.00042927666881305"
"2021-04-01","4","3568","0.0011210762331838565"
"2021-04-02","1","3206","0.00031191515907673113"
"2021-04-03","2","2980","0.0006711409395973154"
"2021-04-04","0","2656","0"
"2021-04-05","2","3681","0.0005433306166802499"
"2021-04-06","6","4717","0.0012719949120203519"
"2021-04-07","6","4967","0.0012079726192872962"
"2021-04-08","2","1662","0.0012033694344163659"
"2021-04-09","0","53","0"
"2021-04-10","1","49","0.02040816326530612"
"2021-04-11","0","136","0"
"2021-04-12","0","394","0"
"2021-04-13","1","2196","0.0004553734061930783"
"2021-04-14","15","5079","0.0029533372711163615"
"2021-04-15","3","5237","0.0005728470498376934"
"2021-04-16","0","4742","0"
"2021-04-17","0","1762","0"
"2021-04-18","0","391","0"
"2021-04-19","2","3134","0.0006381620931716656"
"2021-04-20","5","4703","0.00106315118009781"
"2021-04-21","5","5440","0.0009191176470588235"
"2021-04-22","7","5305","0.0013195098963242225"
"2021-04-23","17","4773","0.0035617012361198407"
"2021-04-24","7","3363","0.0020814748736247396"
"2021-04-25","3","3413","0.0008789920890711983"
"2021-04-26","7","4970","0.0014084507042253522"
"2021-04-27","8","5409","0.0014790164540580515"
"2021-04-28","2","5348","0.00037397157816005983"
"2021-04-29","6","5302","0.001131648434552999"
"2021-04-30","5","5033","0.0009934432743890324"
"2021-05-01","2","3521","0.0005680204487361545"
"2021-05-02","5","3431","0.001457301078402798"
"2021-05-03","5","4767","0.0010488777008600798"
"2021-05-04","5","5246","0.0009531071292413268"
"2021-05-05","3","5226","0.000574052812858783"
"2021-05-06","5","5231","0.0009558401835213152"
"2021-05-07","6","4875","0.0012307692307692308"
"2021-05-08","3","3552","0.0008445945945945946"
"2021-05-09","5","3416","0.0014637002341920376"
"2021-05-10","5","5022","0.0009956192751891676"
"2021-05-11","5","5579","0.0008962179602079225"
"2021-05-12","6","5511","0.0010887316276537834"
"2021-05-13","7","5156","0.0013576415826221878"
"2021-05-14","2","4766","0.000419639110365086"
"2021-05-15","2","3751","0.0005331911490269261"
"2021-05-16","3","3362","0.000892325996430696"
"2021-05-17","1","4098","0.0002440214738897023"
"2021-05-18","6","5315","0.0011288805268109125"
"2021-05-19","4","4144","0.0009652509652509653"
"2021-05-20","5","5111","0.0009782821365681863"
"2021-05-21","6","4673","0.0012839717526214422"
"2021-05-22","8","3428","0.002333722287047841"
"2021-05-23","0","3359","0"
"2021-05-24","1","4640","0.00021551724137931034"
"2021-05-25","1","4967","0.00020132876988121604"
"2021-05-26","3","5396","0.0005559673832468495"
"2021-05-27","3","4937","0.0006076564715414219"
"2021-05-28","1","1448","0.0006906077348066298"
"2021-05-29","7","2693","0.0025993316004456"
"2021-05-30","2","3399","0.0005884083553986466"
"2021-05-31","3","4852","0.0006183017312448475"
"2021-06-01","3","5122","0.0005857087075361187"
"2021-06-02","4","5092","0.0007855459544383347"
"2021-06-03","5","5241","0.0009540164090822362"
"2021-06-04","5","5033","0.0009934432743890324"
"2021-06-05","6","3427","0.0017508024511234317"
"2021-06-06","8","3454","0.0023161551823972205"
"2021-06-07","10","3942","0.0025367833587011668"
"2021-06-08","7","5092","0.0013747054202670856"
"2021-06-09","6","5098","0.0011769321302471558"
"2021-06-10","7","5027","0.0013924806047344342"
"2021-06-11","3","4662","0.0006435006435006435"
"2021-06-12","4","3404","0.0011750881316098707"
"2021-06-13","2","3115","0.0006420545746388443"
"2021-06-14","6","3852","0.001557632398753894"
"2021-06-15","3","4963","0.0006044731009470078"
"2021-06-16","3","5154","0.0005820721769499418"
"2021-06-17","6","5055","0.0011869436201780415"
"2021-06-18","3","4735","0.0006335797254487857"
"2021-06-19","5","3495","0.001430615164520744"
"2021-06-20","0","3375","0"
"2021-06-21","15","4787","0.003133486526007938"
"2021-06-22","3","5169","0.0005803830528148578"
"2021-06-23","12","5252","0.002284843869002285"
"2021-06-24","8","5199","0.0015387574533564147"
"2021-06-25","3","4823","0.0006220194899440182"
"2021-06-26","1","3445","0.00029027576197387516"
"2021-06-27","5","3242","0.0015422578655151142"
"2021-06-28","2","4910","0.0004073319755600815"
"2021-06-29","3","5192","0.0005778120184899846"
"2021-06-30","8","5135","0.001557935735150925"
"2021-07-01","3","5332","0.0005626406601650412"
"2021-07-02","4","4705","0.0008501594048884166"
"2021-07-03","5","3457","0.0014463407578825572"
