date,count,total_count,ratio
"2021-01-01","1","2095","0.00047732696897374703"
"2021-01-02","4","2452","0.0016313213703099511"
"2021-01-03","2","2599","0.0007695267410542517"
"2021-01-04","4","3896","0.001026694045174538"
"2021-01-05","6","4122","0.001455604075691412"
"2021-01-06","8","4439","0.0018022077044379365"
"2021-01-07","7","4390","0.0015945330296127562"
"2021-01-08","11","4431","0.002482509591514331"
"2021-01-09","12","2956","0.0040595399188092015"
"2021-01-10","4","2833","0.0014119308153900459"
"2021-01-11","8","3970","0.0020151133501259445"
"2021-01-12","8","4836","0.0016542597187758478"
"2021-01-13","15","4979","0.003012653143201446"
"2021-01-14","4","4915","0.0008138351983723296"
"2021-01-15","4","4545","0.0008800880088008801"
"2021-01-16","2","3074","0.0006506180871828237"
"2021-01-17","6","2953","0.002031832035218422"
"2021-01-18","1","4409","0.00022680880018144704"
"2021-01-19","3","4803","0.0006246096189881324"
"2021-01-20","4","4937","0.0008102086287218959"
"2021-01-21","5","5007","0.0009986019572598363"
"2021-01-22","12","4493","0.0026708212775428445"
"2021-01-23","3","3150","0.0009523809523809524"
"2021-01-24","17","3156","0.005386565272496832"
"2021-01-25","7","4378","0.0015989036089538603"
"2021-01-26","10","4531","0.0022070183182520413"
"2021-01-27","4","4470","0.0008948545861297539"
"2021-01-28","12","4543","0.0026414263702399295"
"2021-01-29","15","4249","0.0035302424099788185"
"2021-01-30","5","2213","0.0022593764121102574"
"2021-01-31","0","318","0"
"2021-02-01","7","2451","0.0028559771521827824"
"2021-02-02","15","4654","0.0032230339492909325"
"2021-02-03","9","4845","0.0018575851393188853"
"2021-02-04","3","4484","0.0006690454950936663"
"2021-02-05","2","4320","0.000462962962962963"
"2021-02-06","4","2989","0.0013382402141184342"
"2021-02-07","4","2912","0.0013736263736263737"
"2021-02-08","4","4410","0.0009070294784580499"
"2021-02-09","4","4714","0.0008485362749257531"
"2021-02-10","15","4905","0.0030581039755351682"
"2021-02-11","7","4899","0.0014288630332720963"
"2021-02-12","0","4357","0"
"2021-02-13","2","2963","0.0006749915626054674"
"2021-02-14","2","3106","0.000643915003219575"
"2021-02-15","4","4359","0.0009176416609314062"
"2021-02-16","7","4477","0.0015635470180924726"
"2021-02-17","9","4739","0.0018991348385735388"
"2021-02-18","3","4778","0.0006278777731268313"
"2021-02-19","2","4403","0.0004542357483533954"
"2021-02-20","1","2972","0.00033647375504710633"
"2021-02-21","1","2900","0.0003448275862068965"
"2021-02-22","0","4601","0"
"2021-02-23","3","3669","0.0008176614881439084"
