date,count,total_count,ratio
"2021-01-01","11","7801","0.0014100756313293167"
"2021-01-02","10","7729","0.0012938284383490748"
"2021-01-03","9","8745","0.0010291595197255575"
"2021-01-04","5","15688","0.0003187149413564508"
"2021-01-05","11","16419","0.0006699555393142091"
"2021-01-06","12","17798","0.0006742330598943702"
"2021-01-07","7","18020","0.00038845726970033296"
"2021-01-08","11","17420","0.0006314580941446614"
"2021-01-09","7","9197","0.0007611177557899315"
"2021-01-10","9","9299","0.0009678460049467684"
"2021-01-11","14","17221","0.0008129609198072121"
"2021-01-12","8","18380","0.0004352557127312296"
"2021-01-13","9","19130","0.0004704652378463147"
"2021-01-14","11","18668","0.0005892436254553246"
"2021-01-15","12","18011","0.0006662595080783965"
"2021-01-16","3","9743","0.0003079133737041979"
"2021-01-17","3","9430","0.0003181336161187699"
"2021-01-18","9","13333","0.0006750168754218856"
"2021-01-19","3","17886","0.0001677289500167729"
"2021-01-20","9","18835","0.0004778338200159278"
"2021-01-21","28","18203","0.001538207987694336"
"2021-01-22","14","17132","0.000817184216670558"
"2021-01-23","6","9129","0.0006572461386789353"
"2021-01-24","7","9437","0.0007417611529087634"
"2021-01-25","9","16622","0.0005414510889183011"
"2021-01-26","12","18111","0.0006625807520291535"
"2021-01-27","13","17710","0.0007340485601355167"
"2021-01-28","7","18295","0.00038261820169445204"
"2021-01-29","10","16599","0.0006024459304777396"
"2021-01-30","6","7092","0.0008460236886632825"
"2021-01-31","3","2700","0.0011111111111111111"
"2021-02-01","2","13217","0.00015132026935007944"
"2021-02-02","10","18766","0.0005328786102525844"
"2021-02-03","12","18446","0.0006505475441830207"
"2021-02-04","15","18522","0.0008098477486232588"
"2021-02-05","14","16814","0.0008326394671107411"
"2021-02-06","16","9026","0.0017726567693330379"
"2021-02-07","11","9812","0.0011210762331838565"
"2021-02-08","10","16714","0.0005983008256551394"
"2021-02-09","15","17745","0.0008453085376162299"
"2021-02-10","18","18175","0.0009903713892709767"
"2021-02-11","14","17780","0.0007874015748031496"
"2021-02-12","7","16479","0.0004247830572243461"
"2021-02-13","11","9462","0.0011625449165081378"
"2021-02-14","8","9017","0.0008872130420317178"
"2021-02-15","11","13313","0.0008262600465710208"
"2021-02-16","16","16932","0.0009449562957713206"
"2021-02-17","15","18629","0.0008051961994739384"
"2021-02-18","22","18267","0.0012043575847156074"
"2021-02-19","8","16063","0.0004980389715495238"
"2021-02-20","9","8919","0.0010090817356205853"
"2021-02-21","10","8792","0.0011373976342129207"
"2021-02-22","12","17043","0.0007041013906002464"
"2021-02-23","7","16316","0.00042902672223584214"
"2021-02-24","11","17806","0.0006177692912501404"
"2021-02-25","15","18805","0.0007976601967561818"
"2021-02-26","6","17035","0.0003522160258291752"
"2021-02-27","10","9475","0.0010554089709762533"
"2021-02-28","12","9980","0.0012024048096192384"
"2021-03-01","12","16987","0.0007064225584270324"
"2021-03-02","14","17763","0.000788155153971739"
"2021-03-03","17","17868","0.0009514215357062906"
"2021-03-04","16","17957","0.0008910174305284847"
"2021-03-05","22","15770","0.0013950538998097654"
"2021-03-06","21","8943","0.0023482053002348204"
"2021-03-07","6","9292","0.0006457167455876022"
"2021-03-08","15","16192","0.0009263833992094861"
"2021-03-09","11","17011","0.0006466404091470226"
"2021-03-10","15","17254","0.0008693636258258954"
"2021-03-11","20","17719","0.0011287318697443423"
"2021-03-12","6","16250","0.0003692307692307692"
"2021-03-13","10","8604","0.0011622501162250117"
"2021-03-14","15","9265","0.0016189962223421479"
"2021-03-15","8","17035","0.00046962136777223366"
"2021-03-16","17","17362","0.0009791498675267825"
"2021-03-17","12","17370","0.000690846286701209"
"2021-03-18","20","17842","0.0011209505660800358"
"2021-03-19","16","16279","0.0009828613551200933"
"2021-03-20","11","9087","0.0012105205238252448"
"2021-03-21","11","9529","0.001154370867877007"
"2021-03-22","9","15722","0.0005724462536572955"
"2021-03-23","9","16221","0.000554836323284631"
"2021-03-24","13","17312","0.0007509242144177449"
"2021-03-25","16","17851","0.0008963083300655426"
"2021-03-26","13","14747","0.0008815352275038991"
"2021-03-27","19","8931","0.0021274213413951405"
"2021-03-28","19","8821","0.0021539507992291125"
"2021-03-29","15","16279","0.0009214325204250875"
"2021-03-30","8","15839","0.0005050823915651241"
"2021-03-31","17","17100","0.0009941520467836257"
"2021-04-01","15","16330","0.0009185548071034905"
"2021-04-02","10","13587","0.0007359976448075366"
"2021-04-03","6","9069","0.0006615944426066821"
"2021-04-04","6","8384","0.0007156488549618321"
"2021-04-05","7","14621","0.00047876342247452297"
"2021-04-06","12","17091","0.00070212392487274"
"2021-04-07","19","17598","0.001079668144107285"
"2021-04-08","4","6216","0.0006435006435006435"
"2021-04-09","2","1924","0.0010395010395010396"
"2021-04-10","0","915","0"
"2021-04-11","1","1278","0.000782472613458529"
"2021-04-12","2","3980","0.0005025125628140704"
"2021-04-13","9","10503","0.000856898029134533"
"2021-04-14","18","17993","0.0010003890401822932"
"2021-04-15","17","18532","0.0009173321821713792"
"2021-04-16","15","16360","0.0009168704156479218"
"2021-04-17","6","5252","0.0011424219345011425"
"2021-04-18","3","2808","0.0010683760683760685"
"2021-04-19","17","13968","0.0012170675830469645"
"2021-04-20","11","18111","0.0006073656893600574"
"2021-04-21","13","18166","0.0007156225916547396"
"2021-04-22","19","18609","0.0010210113385996024"
