date,count,total_count,ratio
"2021-01-01","942","2095","0.4496420047732697"
"2021-01-02","954","2452","0.3890701468189233"
"2021-01-03","1122","2599","0.43170450173143515"
"2021-01-04","1549","3896","0.39758726899383984"
"2021-01-05","1628","4122","0.39495390587093643"
"2021-01-06","1681","4439","0.3786888938950214"
"2021-01-07","1719","4390","0.3915717539863326"
"2021-01-08","1638","4431","0.3696682464454976"
"2021-01-09","1167","2956","0.39479025710419485"
"2021-01-10","1036","2833","0.36569008118602186"
"2021-01-11","1430","3970","0.3602015113350126"
"2021-01-12","1811","4836","0.37448304383788256"
"2021-01-13","1824","4979","0.36633862221329583"
"2021-01-14","1814","4915","0.3690742624618515"
"2021-01-15","1802","4545","0.39647964796479646"
"2021-01-16","1234","3074","0.4014313597918022"
"2021-01-17","1120","2953","0.37927531324077207"
"2021-01-18","1736","4409","0.39374007711499204"
"2021-01-19","1867","4803","0.38871538621694773"
"2021-01-20","1982","4937","0.4014583755316994"
"2021-01-21","1902","5007","0.37986818454164173"
"2021-01-22","1814","4493","0.40373914978855996"
"2021-01-23","1207","3150","0.38317460317460317"
"2021-01-24","1248","3156","0.39543726235741444"
"2021-01-25","1750","4378","0.39972590223846505"
"2021-01-26","1714","4531","0.37828293974839994"
"2021-01-27","1706","4470","0.38165548098434005"
"2021-01-28","1842","4543","0.4054589478318292"
"2021-01-29","1541","4249","0.36267357025182395"
"2021-01-30","833","2213","0.37641211025756893"
"2021-01-31","154","318","0.48427672955974843"
"2021-02-01","1016","2451","0.4145246838025296"
"2021-02-02","1830","4654","0.3932101418134938"
"2021-02-03","1868","4845","0.38555211558307534"
"2021-02-04","1851","4484","0.41280107047279213"
"2021-02-05","1670","4320","0.38657407407407407"
"2021-02-06","1121","2989","0.3750418200066912"
"2021-02-07","1166","2912","0.40041208791208793"
"2021-02-08","1666","4410","0.37777777777777777"
"2021-02-09","1769","4714","0.37526516758591427"
"2021-02-10","1949","4905","0.39734964322120286"
"2021-02-11","1907","4899","0.3892631149214125"
"2021-02-12","1676","4357","0.3846683497819601"
"2021-02-13","1131","2963","0.3817077286533918"
"2021-02-14","1241","3106","0.3995492594977463"
"2021-02-15","1692","4359","0.38816242257398487"
"2021-02-16","1685","4477","0.3763681036408309"
"2021-02-17","1786","4739","0.3768727579658156"
"2021-02-18","1887","4778","0.3949351192967769"
"2021-02-19","1717","4403","0.38996138996138996"
"2021-02-20","1068","2972","0.35935397039030953"
"2021-02-21","1102","2900","0.38"
"2021-02-22","1745","4601","0.37926537709193653"
"2021-02-23","1469","3669","0.40038157536113383"
"2021-02-24","1798","4848","0.37087458745874585"
"2021-02-25","1828","4870","0.3753593429158111"
"2021-02-26","1698","4562","0.37220517316966245"
"2021-02-27","1177","3208","0.3668952618453865"
"2021-02-28","1226","3272","0.3746943765281174"
"2021-03-01","1760","4685","0.37566702241195304"
"2021-03-02","1886","4830","0.3904761904761905"
"2021-03-03","1843","4728","0.38980541455160744"
"2021-03-04","1834","4881","0.3757426756812129"
"2021-03-05","1704","4385","0.38859749144811856"
"2021-03-06","1134","3074","0.36890045543266103"
"2021-03-07","1251","3050","0.4101639344262295"
"2021-03-08","1892","4366","0.43334860284012827"
"2021-03-09","1853","4552","0.4070738137082601"
"2021-03-10","1717","4645","0.3696447793326157"
"2021-03-11","1824","4650","0.39225806451612905"
"2021-03-12","1690","4569","0.3698840008754651"
"2021-03-13","1061","3096","0.34270025839793283"
"2021-03-14","1170","2995","0.39065108514190316"
"2021-03-15","1738","4519","0.3845983624695729"
"2021-03-16","1887","4780","0.39476987447698747"
"2021-03-17","1872","4696","0.3986371379897785"
"2021-03-18","1896","4728","0.4010152284263959"
"2021-03-19","1587","4126","0.3846340281143965"
"2021-03-20","1216","3044","0.39947437582128775"
"2021-03-21","1128","3063","0.3682664054848188"
"2021-03-22","1435","3634","0.3948816730875069"
"2021-03-23","1661","3933","0.42232392575642"
"2021-03-24","1884","4709","0.4000849437247823"
"2021-03-25","1962","4703","0.4171805230703806"
"2021-03-26","1369","3724","0.36761546723952737"
"2021-03-27","1201","3069","0.3913326816552623"
"2021-03-28","1206","2964","0.4068825910931174"
"2021-03-29","1628","4339","0.37520165936851807"
"2021-03-30","1811","4573","0.3960201180844085"
"2021-03-31","1939","4659","0.416183730414252"
"2021-04-01","1470","3568","0.41199551569506726"
"2021-04-02","1182","3206","0.3686837180286962"
"2021-04-03","1148","2980","0.38523489932885907"
"2021-04-04","1048","2656","0.39457831325301207"
"2021-04-05","1346","3681","0.3656615050258082"
"2021-04-06","1858","4717","0.3938944244223023"
"2021-04-07","2052","4967","0.4131266357962553"
"2021-04-08","644","1662","0.38748495788206977"
"2021-04-09","32","53","0.6037735849056604"
"2021-04-10","28","49","0.5714285714285714"
"2021-04-11","79","136","0.5808823529411765"
"2021-04-12","204","394","0.5177664974619289"
"2021-04-13","862","2196","0.3925318761384335"
