date,count,total_count,ratio
"2021-01-01","37","2095","0.01766109785202864"
"2021-01-02","34","2452","0.013866231647634585"
"2021-01-03","24","2599","0.00923432089265102"
"2021-01-04","36","3896","0.009240246406570842"
"2021-01-05","73","4122","0.017709849587578846"
"2021-01-06","63","4439","0.01419238567244875"
"2021-01-07","80","4390","0.018223234624145785"
"2021-01-08","74","4431","0.016700519070187318"
"2021-01-09","26","2956","0.008795669824086604"
"2021-01-10","25","2833","0.008824567596187787"
"2021-01-11","43","3970","0.010831234256926952"
"2021-01-12","54","4836","0.011166253101736972"
"2021-01-13","56","4979","0.011247238401285399"
"2021-01-14","67","4915","0.01363173957273652"
"2021-01-15","62","4545","0.013641364136413642"
"2021-01-16","47","3074","0.015289525048796356"
"2021-01-17","29","2953","0.009820521503555706"
"2021-01-18","50","4409","0.011340440009072352"
"2021-01-19","43","4803","0.008952737872163231"
"2021-01-20","50","4937","0.010127607859023698"
"2021-01-21","66","5007","0.013181545835829839"
"2021-01-22","56","4493","0.012463832628533273"
"2021-01-23","32","3150","0.010158730158730159"
"2021-01-24","31","3156","0.00982256020278834"
"2021-01-25","44","4378","0.010050251256281407"
"2021-01-26","40","4531","0.008828073273008165"
"2021-01-27","59","4470","0.013199105145413871"
"2021-01-28","59","4543","0.012987012987012988"
"2021-01-29","49","4249","0.011532125205930808"
"2021-01-30","22","2213","0.009941256213285133"
"2021-01-31","4","318","0.012578616352201259"
"2021-02-01","41","2451","0.016727866177070585"
"2021-02-02","61","4654","0.01310700472711646"
"2021-02-03","52","4845","0.010732714138286893"
"2021-02-04","48","4484","0.010704727921498661"
"2021-02-05","37","4320","0.008564814814814815"
"2021-02-06","30","2989","0.010036801605888258"
"2021-02-07","23","2912","0.007898351648351648"
"2021-02-08","29","4410","0.006575963718820862"
"2021-02-09","42","4714","0.008909630886720407"
"2021-02-10","41","4905","0.00835881753312946"
"2021-02-11","34","4899","0.00694019187589304"
"2021-02-12","42","4357","0.009639660316731696"
"2021-02-13","39","2963","0.013162335470806615"
"2021-02-14","23","3106","0.007405022537025113"
"2021-02-15","40","4359","0.009176416609314062"
"2021-02-16","34","4477","0.007594371230734867"
"2021-02-17","35","4739","0.007385524372230428"
"2021-02-18","31","4778","0.00648807032231059"
"2021-02-19","24","4403","0.005450828980240745"
"2021-02-20","25","2972","0.008411843876177659"
"2021-02-21","21","2900","0.007241379310344828"
"2021-02-22","64","4601","0.013910019560965008"
"2021-02-23","52","3669","0.014172799127827746"
"2021-02-24","62","4848","0.01278877887788779"
"2021-02-25","57","4870","0.011704312114989733"
"2021-02-26","72","4562","0.01578255151249452"
"2021-02-27","35","3208","0.010910224438902744"
"2021-02-28","31","3272","0.009474327628361858"
"2021-03-01","52","4685","0.011099252934898612"
"2021-03-02","68","4830","0.014078674948240166"
"2021-03-03","56","4728","0.011844331641285956"
"2021-03-04","60","4881","0.012292562999385371"
"2021-03-05","44","4385","0.010034207525655644"
"2021-03-06","31","3074","0.010084580351333767"
"2021-03-07","42","3050","0.01377049180327869"
"2021-03-08","43","4366","0.009848831882730188"
"2021-03-09","54","4552","0.011862917398945518"
"2021-03-10","35","4645","0.007534983853606028"
"2021-03-11","32","4650","0.006881720430107527"
"2021-03-12","44","4569","0.009630115999124535"
"2021-03-13","29","3096","0.009366925064599484"
"2021-03-14","36","2995","0.012020033388981636"
"2021-03-15","50","4519","0.011064394777605666"
"2021-03-16","51","4780","0.010669456066945606"
"2021-03-17","48","4696","0.010221465076660987"
"2021-03-18","41","4728","0.008671742808798646"
"2021-03-19","47","4126","0.011391177896267571"
"2021-03-20","38","3044","0.012483574244415242"
"2021-03-21","32","3063","0.010447273914462945"
"2021-03-22","46","3634","0.012658227848101266"
"2021-03-23","46","3933","0.011695906432748537"
"2021-03-24","46","4709","0.009768528349968147"
"2021-03-25","67","4703","0.014246225813310653"
"2021-03-26","38","3724","0.01020408163265306"
"2021-03-27","36","3069","0.011730205278592375"
"2021-03-28","24","2964","0.008097165991902834"
"2021-03-29","61","4339","0.01405853883383268"
"2021-03-30","42","4573","0.009184342882134267"
"2021-03-31","53","4659","0.011375831723545825"
"2021-04-01","40","3568","0.011210762331838564"
"2021-04-02","37","3206","0.011540860885839051"
"2021-04-03","37","2980","0.012416107382550336"
"2021-04-04","48","2656","0.018072289156626505"
"2021-04-05","70","3681","0.019016571583808747"
"2021-04-06","67","4717","0.014203943184227264"
"2021-04-07","59","4967","0.011878397422991745"
"2021-04-08","15","1662","0.009025270758122744"
"2021-04-09","1","53","0.018867924528301886"
"2021-04-10","1","49","0.02040816326530612"
"2021-04-11","2","136","0.014705882352941176"
"2021-04-12","1","394","0.0025380710659898475"
"2021-04-13","28","2196","0.012750455373406194"
"2021-04-14","58","5079","0.011419570781649931"
"2021-04-15","56","5237","0.010693144930303608"
"2021-04-16","52","4742","0.010965837199493884"
"2021-04-17","20","1762","0.011350737797956867"
"2021-04-18","9","391","0.023017902813299233"
"2021-04-19","53","3134","0.01691129546904914"
"2021-04-20","37","4703","0.007867318732723793"
"2021-04-21","38","5440","0.006985294117647059"
"2021-04-22","41","5305","0.007728557964184732"
"2021-04-23","72","4773","0.01508485229415462"
"2021-04-24","36","3363","0.010704727921498661"
"2021-04-25","35","3413","0.010254907705830648"
"2021-04-26","81","4970","0.016297786720321932"
"2021-04-27","52","5409","0.009613606951377335"
"2021-04-28","47","5348","0.008788332086761406"
"2021-04-29","66","5302","0.012448132780082987"
"2021-04-30","60","5033","0.01192131929266839"
"2021-05-01","28","3521","0.007952286282306162"
"2021-05-02","34","3431","0.009909647333139027"
"2021-05-03","56","4767","0.011747430249632892"
"2021-05-04","52","5246","0.009912314144109797"
"2021-05-05","33","5226","0.006314580941446613"
"2021-05-06","27","5231","0.005161536991015102"
"2021-05-07","48","4875","0.009846153846153846"
"2021-05-08","28","3552","0.007882882882882882"
"2021-05-09","23","3416","0.006733021077283372"
"2021-05-10","57","5022","0.011350059737156512"
"2021-05-11","42","5579","0.0075282308657465494"
"2021-05-12","39","5511","0.007076755579749592"
"2021-05-13","27","5156","0.005236617532971295"
"2021-05-14","49","4766","0.010281158203944608"
"2021-05-15","35","3751","0.009330845107971207"
"2021-05-16","21","3362","0.006246281975014872"
"2021-05-17","42","4098","0.010248901903367497"
"2021-05-18","31","5315","0.005832549388523048"
"2021-05-19","47","4144","0.011341698841698842"
"2021-05-20","44","5111","0.00860888280180004"
