date,count,total_count,ratio
"2021-01-01","44","2095","0.02100238663484487"
"2021-01-02","71","2452","0.02895595432300163"
"2021-01-03","75","2599","0.028857252789534438"
"2021-01-04","88","3896","0.022587268993839837"
"2021-01-05","111","4122","0.026928675400291122"
"2021-01-06","90","4439","0.020274836674926786"
"2021-01-07","109","4390","0.024829157175398634"
"2021-01-08","86","4431","0.019408711351839313"
"2021-01-09","94","2956","0.031799729364005415"
"2021-01-10","64","2833","0.022590893046240734"
"2021-01-11","120","3970","0.030226700251889168"
"2021-01-12","123","4836","0.02543424317617866"
"2021-01-13","108","4979","0.02169110263105041"
"2021-01-14","120","4915","0.024415055951169887"
"2021-01-15","129","4545","0.02838283828382838"
"2021-01-16","71","3074","0.02309694209499024"
"2021-01-17","73","2953","0.024720623095157466"
"2021-01-18","106","4409","0.024041732819233386"
"2021-01-19","127","4803","0.02644180720383094"
"2021-01-20","84","4937","0.017014381203159814"
"2021-01-21","106","5007","0.021170361493908527"
"2021-01-22","110","4493","0.024482528377476075"
"2021-01-23","71","3150","0.02253968253968254"
"2021-01-24","84","3156","0.026615969581749048"
"2021-01-25","85","4378","0.019415258108725447"
"2021-01-26","100","4531","0.022070183182520416"
"2021-01-27","136","4470","0.030425055928411632"
"2021-01-28","96","4543","0.021131410961919436"
"2021-01-29","102","4249","0.024005648387855967"
"2021-01-30","50","2213","0.022593764121102575"
"2021-01-31","19","318","0.059748427672955975"
"2021-02-01","73","2451","0.029783761729906162"
"2021-02-02","131","4654","0.028147829823807476"
"2021-02-03","138","4845","0.02848297213622291"
"2021-02-04","110","4484","0.024531668153434435"
"2021-02-05","106","4320","0.024537037037037038"
"2021-02-06","78","2989","0.02609568417530947"
"2021-02-07","60","2912","0.020604395604395604"
"2021-02-08","84","4410","0.01904761904761905"
"2021-02-09","99","4714","0.02100127280441239"
"2021-02-10","84","4905","0.01712538226299694"
"2021-02-11","142","4899","0.028985507246376812"
"2021-02-12","122","4357","0.028000918062887306"
"2021-02-13","88","2963","0.029699628754640568"
"2021-02-14","86","3106","0.027688345138441726"
"2021-02-15","113","4359","0.025923376921312226"
"2021-02-16","123","4477","0.027473754746482018"
"2021-02-17","108","4739","0.022789618062882464"
"2021-02-18","101","4778","0.021138551695269986"
"2021-02-19","82","4403","0.018623665682489212"
"2021-02-20","69","2972","0.023216689098250337"
"2021-02-21","83","2900","0.028620689655172414"
"2021-02-22","111","4601","0.024125190176048684"
"2021-02-23","108","3669","0.029435813573180702"
"2021-02-24","108","4848","0.022277227722772276"
"2021-02-25","124","4870","0.02546201232032854"
"2021-02-26","109","4562","0.02389302937308198"
"2021-02-27","82","3208","0.025561097256857856"
"2021-02-28","90","3272","0.02750611246943765"
"2021-03-01","107","4685","0.022838847385272146"
"2021-03-02","110","4830","0.022774327122153208"
"2021-03-03","128","4728","0.02707275803722504"
"2021-03-04","134","4881","0.02745339069862733"
"2021-03-05","155","4385","0.03534777651083238"
"2021-03-06","93","3074","0.0302537410540013"
"2021-03-07","111","3050","0.03639344262295082"
"2021-03-08","165","4366","0.03779202931745305"
"2021-03-09","146","4552","0.0320738137082601"
"2021-03-10","126","4645","0.0271259418729817"
"2021-03-11","126","4650","0.027096774193548386"
"2021-03-12","122","4569","0.026701685270299848"
"2021-03-13","79","3096","0.025516795865633074"
"2021-03-14","92","2995","0.030717863105175294"
"2021-03-15","119","4519","0.026333259570701484"
"2021-03-16","136","4780","0.028451882845188285"
"2021-03-17","119","4696","0.025340715502555365"
"2021-03-18","107","4728","0.02263113367174281"
"2021-03-19","145","4126","0.03514299563742123"
"2021-03-20","95","3044","0.03120893561103811"
"2021-03-21","85","3063","0.0277505713352922"
"2021-03-22","73","3634","0.020088057237204183"
"2021-03-23","143","3933","0.03635901347571828"
"2021-03-24","155","4709","0.03291569335315354"
"2021-03-25","144","4703","0.030618753986816925"
"2021-03-26","106","3724","0.028464017185821696"
"2021-03-27","104","3069","0.03388725969371131"
"2021-03-28","96","2964","0.032388663967611336"
"2021-03-29","146","4339","0.03364830606130445"
"2021-03-30","125","4573","0.027334353815875793"
"2021-03-31","143","4659","0.030693281820133075"
"2021-04-01","125","3568","0.03503363228699551"
"2021-04-02","93","3206","0.029008109794135994"
"2021-04-03","79","2980","0.026510067114093958"
"2021-04-04","81","2656","0.03049698795180723"
"2021-04-05","116","3681","0.03151317576745449"
