date,count,total_count,ratio
"2021-01-01","65","2095","0.031026252983293555"
"2021-01-02","146","2452","0.05954323001631321"
"2021-01-03","90","2599","0.03462870334744132"
"2021-01-04","83","3896","0.021303901437371663"
"2021-01-05","142","4122","0.03444929645803008"
"2021-01-06","127","4439","0.028610047307952243"
"2021-01-07","90","4390","0.02050113895216401"
"2021-01-08","122","4431","0.027533288196795305"
"2021-01-09","135","2956","0.04566982408660352"
"2021-01-10","88","2833","0.03106247793858101"
"2021-01-11","104","3970","0.02619647355163728"
"2021-01-12","137","4836","0.028329197684036394"
"2021-01-13","198","4979","0.03976702149025909"
"2021-01-14","167","4915","0.03397761953204476"
"2021-01-15","139","4545","0.030583058305830583"
"2021-01-16","214","3074","0.06961613532856213"
"2021-01-17","150","2953","0.05079580088046055"
"2021-01-18","108","4409","0.02449535041959628"
"2021-01-19","164","4803","0.0341453258380179"
"2021-01-20","108","4937","0.02187563297549119"
"2021-01-21","160","5007","0.03195526263231476"
"2021-01-22","171","4493","0.038059203204985535"
"2021-01-23","169","3150","0.05365079365079365"
"2021-01-24","137","3156","0.04340937896070976"
"2021-01-25","124","4378","0.02832343535861124"
"2021-01-26","116","4531","0.02560141249172368"
"2021-01-27","123","4470","0.027516778523489934"
"2021-01-28","131","4543","0.028835571208452565"
"2021-01-29","204","4249","0.048011296775711934"
"2021-01-30","178","2213","0.08043380027112516"
"2021-01-31","3","318","0.009433962264150943"
"2021-02-01","67","2451","0.02733578131374949"
"2021-02-02","199","4654","0.04275891706059304"
"2021-02-03","186","4845","0.038390092879256967"
"2021-02-04","138","4484","0.030776092774308653"
"2021-02-05","179","4320","0.041435185185185186"
"2021-02-06","169","2989","0.05654064904650385"
"2021-02-07","145","2912","0.04979395604395604"
"2021-02-08","155","4410","0.035147392290249435"
"2021-02-09","131","4714","0.027789563003818414"
"2021-02-10","154","4905","0.031396534148827725"
"2021-02-11","130","4899","0.026536027760767505"
"2021-02-12","168","4357","0.038558641266926784"
"2021-02-13","181","2963","0.061086736415794804"
"2021-02-14","122","3106","0.039278815196394076"
"2021-02-15","107","4359","0.024546914429915117"
"2021-02-16","119","4477","0.026580299307572035"
"2021-02-17","191","4739","0.04030386157417177"
"2021-02-18","146","4778","0.030556718292172456"
"2021-02-19","162","4403","0.03679309561662503"
"2021-02-20","179","2972","0.06022880215343203"
"2021-02-21","118","2900","0.04068965517241379"
"2021-02-22","113","4601","0.02455987828732884"
"2021-02-23","116","3669","0.03161624420823113"
"2021-02-24","154","4848","0.03176567656765677"
"2021-02-25","127","4870","0.026078028747433264"
"2021-02-26","180","4562","0.0394563787812363"
"2021-02-27","180","3208","0.05610972568578554"
"2021-02-28","130","3272","0.03973105134474328"
