date;count;total_count;ratio
1/01/2021;52;2095;0.024821002386634844
2/01/2021;53;2452;0.02161500815660685
3/01/2021;44;2599;0.016929588303193535
4/01/2021;58;3896;0.014887063655030801
5/01/2021;78;4122;0.018922852983988356
6/01/2021;96;4439;0.021626492453255236
7/01/2021;122;4390;0.027790432801822324
8/01/2021;92;4431;0.020762807492665313
9/01/2021;61;2956;0.020635994587280108
10/01/2021;66;2833;0.023296858453935757
11/01/2021;80;3970;0.020151133501259445
12/01/2021;102;4836;0.02109181141439206
13/01/2021;94;4979;0.018879293030729064
14/01/2021;102;4915;0.020752797558494403
15/01/2021;94;4545;0.020682068206820683
16/01/2021;71;3074;0.02309694209499024
17/01/2021;52;2953;0.01760921097189299
18/01/2021;69;4409;0.015649807212519847
19/01/2021;95;4803;0.01977930460129086
20/01/2021;104;4937;0.021065424346769293
21/01/2021;85;5007;0.016976233273417216
22/01/2021;84;4493;0.018695748942799913
23/01/2021;55;3150;0.01746031746031746
24/01/2021;78;3156;0.024714828897338403
25/01/2021;92;4378;0.021014161717679305
26/01/2021;65;4531;0.014345619068638269
27/01/2021;70;4470;0.015659955257270694
28/01/2021;68;4543;0.014968082764692935
29/01/2021;75;4249;0.017651212049894092
30/01/2021;38;2213;0.01717126073203796
31/01/2021;8;318;0.025157232704402517
1/02/2021;40;2451;0.016319869441044473
2/02/2021;82;4654;0.017619252256123763
3/02/2021;83;4845;0.017131062951496388
4/02/2021;94;4484;0.02096342551293488
5/02/2021;75;4320;0.017361111111111112
6/02/2021;57;2989;0.01906992305118769
7/02/2021;64;2912;0.02197802197802198
8/02/2021;54;4410;0.012244897959183673
9/02/2021;87;4714;0.01845566397963513
10/02/2021;65;4905;0.013251783893985729
11/02/2021;69;4899;0.014084507042253521
12/02/2021;69;4357;0.015836584806059217
13/02/2021;37;2963;0.012487343908201148
14/02/2021;48;3106;0.015453960077269801
15/02/2021;61;4359;0.013994035329203946
16/02/2021;69;4477;0.01541210632119723
17/02/2021;68;4739;0.014349018780333404
18/02/2021;62;4778;0.01297614064462118
19/02/2021;65;4403;0.01476266182148535
20/02/2021;45;2972;0.015141318977119785
21/02/2021;48;2900;0.016551724137931035
22/02/2021;83;4601;0.018039556618126493
23/02/2021;61;3669;0.016625783592259472
24/02/2021;98;4848;0.020214521452145213
25/02/2021;74;4870;0.015195071868583163
26/02/2021;81;4562;0.017755370451556333
27/02/2021;40;3208;0.012468827930174564
28/02/2021;39;3272;0.011919315403422982
1/03/2021;74;4685;0.015795090715048025
2/03/2021;92;4830;0.01904761904761905
3/03/2021;115;4728;0.024323181049069373
4/03/2021;67;4881;0.013726695349313665
5/03/2021;97;4385;0.02212086659064994
6/03/2021;60;3074;0.01951854261548471
7/03/2021;58;3050;0.01901639344262295
8/03/2021;80;4366;0.01832340815391663
9/03/2021;90;4552;0.01977152899824253
10/03/2021;76;4645;0.01636167922497309
11/03/2021;88;4650;0.0189247311827957
12/03/2021;76;4569;0.016633836725760562
13/03/2021;60;3096;0.01937984496124031
14/03/2021;68;2995;0.02270450751252087
15/03/2021;102;4519;0.022571365346315556
16/03/2021;114;4780;0.02384937238493724
17/03/2021;84;4696;0.01788756388415673
18/03/2021;108;4728;0.02284263959390863
19/03/2021;79;4126;0.019146873485215706
20/03/2021;55;3044;0.01806833114323259
21/03/2021;56;3063;0.018282729350310153
22/03/2021;65;3634;0.017886626307099616
23/03/2021;113;3933;0.028731248410882277
24/03/2021;103;4709;0.021873009131450415
25/03/2021;103;4703;0.021900914310014886
26/03/2021;83;3724;0.02228786251342642
