date,count,total_count,ratio
"2021-01-01","98","2095","0.04677804295942721"
"2021-01-02","100","2452","0.040783034257748776"
"2021-01-03","110","2599","0.04232397075798384"
"2021-01-04","104","3896","0.026694045174537988"
"2021-01-05","95","4122","0.023047064531780688"
"2021-01-06","99","4439","0.022302320342419465"
"2021-01-07","111","4390","0.02528473804100228"
"2021-01-08","120","4431","0.027081922816519974"
"2021-01-09","74","2956","0.02503382949932341"
"2021-01-10","92","2833","0.032474408753971055"
"2021-01-11","114","3970","0.02871536523929471"
"2021-01-12","110","4836","0.022746071133167907"
"2021-01-13","86","4979","0.017272544687688293"
"2021-01-14","93","4915","0.018921668362156665"
"2021-01-15","73","4545","0.01606160616061606"
"2021-01-16","58","3074","0.018867924528301886"
"2021-01-17","57","2953","0.01930240433457501"
"2021-01-18","99","4409","0.022454071217963258"
"2021-01-19","76","4803","0.015823443681032688"
"2021-01-20","73","4937","0.0147863074741746"
"2021-01-21","82","5007","0.016377072099061314"
"2021-01-22","61","4493","0.013576674827509459"
"2021-01-23","42","3150","0.013333333333333334"
"2021-01-24","46","3156","0.014575411913814956"
"2021-01-25","54","4378","0.012334399269072635"
"2021-01-26","65","4531","0.014345619068638269"
"2021-01-27","53","4470","0.01185682326621924"
"2021-01-28","47","4543","0.010345586616773057"
"2021-01-29","53","4249","0.01247352318192516"
"2021-01-30","26","2213","0.01174875734297334"
"2021-01-31","8","318","0.025157232704402517"
"2021-02-01","32","2451","0.013055895552835577"
"2021-02-02","70","4654","0.015040825096691019"
"2021-02-03","76","4845","0.01568627450980392"
"2021-02-04","74","4484","0.01650312221231044"
"2021-02-05","46","4320","0.010648148148148148"
"2021-02-06","43","2989","0.014386082301773169"
"2021-02-07","24","2912","0.008241758241758242"
"2021-02-08","42","4410","0.009523809523809525"
"2021-02-09","40","4714","0.00848536274925753"
"2021-02-10","43","4905","0.008766564729867482"
"2021-02-11","45","4899","0.009185548071034905"
"2021-02-12","51","4357","0.011705301813174203"
"2021-02-13","43","2963","0.01451231859601755"
"2021-02-14","42","3106","0.013522215067611075"
"2021-02-15","71","4359","0.016288139481532463"
"2021-02-16","38","4477","0.008487826669644852"
"2021-02-17","39","4739","0.008229584300485334"
"2021-02-18","36","4778","0.007534533277521975"
"2021-02-19","23","4403","0.005223711106064047"
"2021-02-20","23","2972","0.007738896366083445"
"2021-02-21","26","2900","0.00896551724137931"
"2021-02-22","37","4601","0.008041730058682896"
"2021-02-23","49","3669","0.013355137639683837"
"2021-02-24","39","4848","0.008044554455445545"
"2021-02-25","41","4870","0.008418891170431212"
"2021-02-26","29","4562","0.006356861025865849"
"2021-02-27","21","3208","0.006546134663341646"
"2021-02-28","49","3272","0.014975550122249388"
"2021-03-01","36","4685","0.00768409818569904"
"2021-03-02","31","4830","0.006418219461697723"
"2021-03-03","22","4728","0.004653130287648054"
"2021-03-04","47","4881","0.009629174349518542"
"2021-03-05","30","4385","0.0068415051311288486"
"2021-03-06","33","3074","0.01073519843851659"
"2021-03-07","32","3050","0.010491803278688525"
"2021-03-08","38","4366","0.008703618873110398"
"2021-03-09","41","4552","0.009007029876977152"
"2021-03-10","37","4645","0.007965554359526372"
"2021-03-11","40","4650","0.008602150537634409"
"2021-03-12","24","4569","0.005252790544977019"
"2021-03-13","23","3096","0.007428940568475452"
"2021-03-14","27","2995","0.009015025041736227"
"2021-03-15","30","4519","0.006638636866563399"
"2021-03-16","40","4780","0.008368200836820083"
"2021-03-17","27","4696","0.005749574105621806"
"2021-03-18","25","4728","0.005287648054145516"
"2021-03-19","41","4126","0.009936984973339797"
"2021-03-20","42","3044","0.013797634691195795"
"2021-03-21","39","3063","0.012732615083251714"
"2021-03-22","34","3634","0.009356081452944413"
"2021-03-23","68","3933","0.017289600813628275"
"2021-03-24","58","4709","0.012316840093438097"
"2021-03-25","53","4703","0.011269402509036784"
"2021-03-26","49","3724","0.013157894736842105"
"2021-03-27","30","3069","0.009775171065493646"
"2021-03-28","29","2964","0.009784075573549258"
"2021-03-29","65","4339","0.014980410232772528"
"2021-03-30","56","4573","0.012245790509512355"
"2021-03-31","44","4659","0.0094440867138871"
"2021-04-01","48","3568","0.013452914798206279"
"2021-04-02","36","3206","0.011228945726762321"
"2021-04-03","31","2980","0.01040268456375839"
"2021-04-04","62","2656","0.023343373493975902"
"2021-04-05","70","3681","0.019016571583808747"
"2021-04-06","54","4717","0.011447954208183167"
"2021-04-07","46","4967","0.009261123414535936"
"2021-04-08","22","1662","0.013237063778580024"
"2021-04-09","3","53","0.05660377358490566"
"2021-04-10","1","49","0.02040816326530612"
"2021-04-11","2","136","0.014705882352941176"
"2021-04-12","9","394","0.02284263959390863"
"2021-04-13","15","2196","0.006830601092896175"
"2021-04-14","48","5079","0.009450679267572357"
"2021-04-15","38","5237","0.007256062631277449"
"2021-04-16","82","4742","0.017292281737663433"
"2021-04-17","20","1762","0.011350737797956867"
"2021-04-18","12","391","0.030690537084398978"
"2021-04-19","54","3134","0.01723037651563497"
"2021-04-20","37","4703","0.007867318732723793"
"2021-04-21","26","5440","0.004779411764705883"
"2021-04-22","59","5305","0.011121583411875588"
"2021-04-23","54","4773","0.011313639220615965"
"2021-04-24","50","3363","0.014867677668748141"
"2021-04-25","55","3413","0.016114854966305305"
"2021-04-26","78","4970","0.015694164989939637"
"2021-04-27","43","5409","0.007949713440562027"
"2021-04-28","35","5348","0.006544502617801047"
"2021-04-29","32","5302","0.006035458317615994"
"2021-04-30","34","5033","0.00675541426584542"
"2021-05-01","22","3521","0.0062482249360976995"
"2021-05-02","25","3431","0.00728650539201399"
"2021-05-03","43","4767","0.009020348227396686"
"2021-05-04","22","5246","0.0041936713686618375"
"2021-05-05","18","5226","0.003444316877152698"
"2021-05-06","23","5231","0.00439686484419805"
"2021-05-07","23","4875","0.004717948717948718"
"2021-05-08","14","3552","0.003941441441441441"
"2021-05-09","28","3416","0.00819672131147541"
"2021-05-10","38","5022","0.007566706491437674"
"2021-05-11","44","5579","0.00788671804982972"
"2021-05-12","29","5511","0.005262202866993286"
"2021-05-13","22","5156","0.004266873545384018"
"2021-05-14","43","4766","0.00902224087284935"
"2021-05-15","25","3751","0.006664889362836577"
"2021-05-16","16","3362","0.004759071980963712"
"2021-05-17","19","4098","0.004636408003904344"
"2021-05-18","27","5315","0.005079962370649106"
"2021-05-19","14","4144","0.0033783783783783786"
"2021-05-20","34","5111","0.006652318528663667"
"2021-05-21","52","4673","0.011127755189385833"
"2021-05-22","23","3428","0.006709451575262544"
"2021-05-23","25","3359","0.007442691277165823"
"2021-05-24","37","4640","0.007974137931034483"
"2021-05-25","14","4967","0.0028186027783370245"
"2021-05-26","31","5396","0.005744996293550779"
"2021-05-27","24","4937","0.0048612517723313755"
"2021-05-28","6","1448","0.004143646408839779"
"2021-05-29","8","2693","0.0029706646862235424"
"2021-05-30","27","3399","0.00794351279788173"
"2021-05-31","35","4852","0.007213520197856554"
"2021-06-01","37","5122","0.007223740726278798"
"2021-06-02","34","5092","0.006677140612725845"
"2021-06-03","53","5241","0.010112573936271704"
