date,count,total_count,ratio
"2021-01-01","49","2095","0.023389021479713605"
"2021-01-02","51","2452","0.020799347471451877"
"2021-01-03","54","2599","0.020777222008464793"
"2021-01-04","115","3896","0.029517453798767967"
"2021-01-05","101","4122","0.024502668607472102"
"2021-01-06","79","4439","0.01779680108132462"
"2021-01-07","66","4390","0.015034168564920273"
"2021-01-08","113","4431","0.025502143985556308"
"2021-01-09","33","2956","0.011163734776725304"
"2021-01-10","25","2833","0.008824567596187787"
"2021-01-11","40","3970","0.010075566750629723"
"2021-01-12","99","4836","0.020471464019851116"
"2021-01-13","115","4979","0.023097007431211087"
"2021-01-14","83","4915","0.01688708036622584"
"2021-01-15","52","4545","0.01144114411441144"
"2021-01-16","38","3074","0.01236174365647365"
"2021-01-17","75","2953","0.025397900440230273"
"2021-01-18","67","4409","0.015196189612156952"
"2021-01-19","70","4803","0.014574224443056423"
"2021-01-20","60","4937","0.012153129430828438"
"2021-01-21","120","5007","0.02396644697423607"
"2021-01-22","96","4493","0.021366570220342756"
"2021-01-23","58","3150","0.018412698412698412"
"2021-01-24","57","3156","0.01806083650190114"
"2021-01-25","93","4378","0.021242576518958427"
"2021-01-26","97","4531","0.021408077687044804"
"2021-01-27","112","4470","0.02505592841163311"
"2021-01-28","136","4543","0.02993616552938587"
"2021-01-29","199","4249","0.046834549305718995"
"2021-01-30","78","2213","0.03524627202892002"
"2021-01-31","10","318","0.031446540880503145"
"2021-02-01","53","2451","0.021623827009383926"
"2021-02-02","110","4654","0.023635582294800173"
"2021-02-03","154","4845","0.031785345717234265"
"2021-02-04","99","4484","0.02207850133809099"
"2021-02-05","95","4320","0.02199074074074074"
"2021-02-06","57","2989","0.01906992305118769"
"2021-02-07","56","2912","0.019230769230769232"
"2021-02-08","110","4410","0.024943310657596373"
"2021-02-09","94","4714","0.019940602460755196"
"2021-02-10","138","4905","0.028134556574923548"
"2021-02-11","93","4899","0.018983466013472138"
"2021-02-12","80","4357","0.018361257746155612"
"2021-02-13","67","2963","0.022612217347283158"
"2021-02-14","43","3106","0.013844172569220863"
"2021-02-15","158","4359","0.03624684560679055"
"2021-02-16","109","4477","0.024346660710297074"
"2021-02-17","136","4739","0.028698037560666807"
"2021-02-18","52","4778","0.010883214734198409"
"2021-02-19","67","4403","0.015216897569838746"
"2021-02-20","52","2972","0.017496635262449527"
"2021-02-21","34","2900","0.011724137931034483"
"2021-02-22","59","4601","0.012823299282764617"
"2021-02-23","71","3669","0.019351321886072498"
"2021-02-24","124","4848","0.02557755775577558"
"2021-02-25","75","4870","0.015400410677618069"
"2021-02-26","87","4562","0.019070583077597545"
"2021-02-27","31","3208","0.009663341645885287"
"2021-02-28","27","3272","0.008251833740831296"
"2021-03-01","68","4685","0.014514407684098186"
"2021-03-02","81","4830","0.016770186335403725"
"2021-03-03","73","4728","0.015439932318104907"
"2021-03-04","68","4881","0.013931571399303422"
"2021-03-05","67","4385","0.015279361459521095"
"2021-03-06","58","3074","0.018867924528301886"
"2021-03-07","30","3050","0.009836065573770493"
"2021-03-08","64","4366","0.014658726523133303"
