date,count,total_count,ratio
"2021-01-01","669","2095","0.31933174224343674"
"2021-01-02","733","2452","0.29893964110929855"
"2021-01-03","774","2599","0.2978068487879954"
"2021-01-04","1200","3896","0.3080082135523614"
"2021-01-05","1322","4122","0.3207180980106744"
"2021-01-06","1223","4439","0.2755125028159495"
"2021-01-07","1302","4390","0.29658314350797266"
"2021-01-08","1378","4431","0.31099074700970436"
"2021-01-09","745","2956","0.2520297699594046"
"2021-01-10","747","2833","0.2636780797740911"
"2021-01-11","1214","3970","0.3057934508816121"
"2021-01-12","1473","4836","0.304590570719603"
"2021-01-13","1536","4979","0.3084956818638281"
"2021-01-14","1558","4915","0.3169888097660224"
"2021-01-15","1385","4545","0.3047304730473047"
"2021-01-16","830","3074","0.27000650618087185"
"2021-01-17","786","2953","0.2661699966136133"
"2021-01-18","1407","4409","0.319119981855296"
"2021-01-19","1417","4803","0.2950239433687279"
"2021-01-20","1382","4937","0.27992708122341503"
"2021-01-21","1550","5007","0.30956660675054926"
"2021-01-22","1485","4493","0.330514133095927"
"2021-01-23","848","3150","0.2692063492063492"
"2021-01-24","922","3156","0.2921419518377693"
"2021-01-25","1392","4378","0.31795340338053907"
"2021-01-26","1640","4531","0.3619510041933348"
"2021-01-27","1458","4470","0.3261744966442953"
"2021-01-28","1342","4543","0.29539951573849876"
"2021-01-29","1319","4249","0.31042598258413745"
"2021-01-30","605","2213","0.27338454586534117"
"2021-01-31","96","318","0.3018867924528302"
"2021-02-01","713","2451","0.2909016727866177"
"2021-02-02","1289","4654","0.2769660507090675"
"2021-02-03","1364","4845","0.28152734778121774"
"2021-02-04","1190","4484","0.26538804638715435"
"2021-02-05","1219","4320","0.28217592592592594"
"2021-02-06","742","2989","0.24824355971896955"
"2021-02-07","674","2912","0.23145604395604397"
"2021-02-08","1140","4410","0.2585034013605442"
"2021-02-09","1182","4714","0.25074246924056004"
"2021-02-10","1197","4905","0.24403669724770644"
"2021-02-11","1175","4899","0.23984486629924473"
"2021-02-12","1025","4357","0.23525361487261878"
"2021-02-13","689","2963","0.23253459331758353"
"2021-02-14","702","3106","0.22601416613007083"
"2021-02-15","1300","4359","0.29823353980270706"
"2021-02-16","1314","4477","0.29350011168192985"
"2021-02-17","1401","4739","0.29563198987128086"
"2021-02-18","1354","4778","0.2833821682712432"
"2021-02-19","1109","4403","0.25187372246195777"
"2021-02-20","701","2972","0.23586810228802155"
"2021-02-21","651","2900","0.22448275862068964"
"2021-02-22","1099","4601","0.238861117148446"
"2021-02-23","974","3669","0.2654674298173889"
"2021-02-24","1207","4848","0.24896864686468648"
"2021-02-25","1201","4870","0.24661190965092403"
"2021-02-26","1113","4562","0.24397194213064446"
"2021-02-27","663","3208","0.20667082294264338"
"2021-02-28","722","3272","0.2206601466992665"
"2021-03-01","1171","4685","0.24994663820704377"
"2021-03-02","1121","4830","0.23209109730848862"
"2021-03-03","1128","4728","0.23857868020304568"
"2021-03-04","1153","4881","0.2362220856381889"
"2021-03-05","1051","4385","0.23968072976054733"
"2021-03-06","704","3074","0.22901756668835394"
"2021-03-07","626","3050","0.20524590163934425"
"2021-03-08","996","4366","0.22812643151626202"
"2021-03-09","1001","4552","0.21990333919156416"
"2021-03-10","1082","4645","0.23293864370290635"
"2021-03-11","1112","4650","0.23913978494623656"
"2021-03-12","1032","4569","0.22586999343401182"
"2021-03-13","651","3096","0.21027131782945738"
"2021-03-14","639","2995","0.21335559265442405"
"2021-03-15","1081","4519","0.2392122150918345"
"2021-03-16","1145","4780","0.2395397489539749"
"2021-03-17","1112","4696","0.23679727427597955"
"2021-03-18","1141","4728","0.24132825719120135"
"2021-03-19","1060","4126","0.2569074163839069"
"2021-03-20","690","3044","0.2266754270696452"
"2021-03-21","669","3063","0.21841332027424093"
"2021-03-22","892","3634","0.24545954870665934"
"2021-03-23","1115","3933","0.2834986015764048"
"2021-03-24","1126","4709","0.23911658526226376"
"2021-03-25","1218","4703","0.2589836274718265"
"2021-03-26","938","3724","0.2518796992481203"
"2021-03-27","682","3069","0.2222222222222222"
"2021-03-28","636","2964","0.2145748987854251"
"2021-03-29","1060","4339","0.2442959207190597"
"2021-03-30","1153","4573","0.25213207959763834"
"2021-03-31","1215","4659","0.2607855763039279"
"2021-04-01","961","3568","0.26933856502242154"
"2021-04-02","788","3206","0.24578914535246413"
"2021-04-03","736","2980","0.24697986577181208"
"2021-04-04","630","2656","0.2371987951807229"
"2021-04-05","1017","3681","0.2762836185819071"
"2021-04-06","1309","4717","0.2775068899724401"
"2021-04-07","1401","4967","0.28206160660358365"
"2021-04-08","381","1662","0.2292418772563177"
"2021-04-09","15","53","0.2830188679245283"
"2021-04-10","8","49","0.16326530612244897"
"2021-04-11","38","136","0.27941176470588236"
"2021-04-12","118","394","0.29949238578680204"
"2021-04-13","629","2196","0.28642987249544627"
"2021-04-14","1367","5079","0.2691474699744044"
"2021-04-15","1426","5237","0.2722932976895169"
"2021-04-16","1185","4742","0.24989455925769719"
"2021-04-17","351","1762","0.19920544835414303"
"2021-04-18","111","391","0.28388746803069054"
"2021-04-19","885","3134","0.282386726228462"
"2021-04-20","1302","4703","0.2768445672974697"
"2021-04-21","1467","5440","0.2696691176470588"
"2021-04-22","1211","5305","0.2282752120640905"
"2021-04-23","1280","4773","0.26817515189608215"
"2021-04-24","810","3363","0.2408563782337199"
"2021-04-25","881","3413","0.2581306768239086"
"2021-04-26","1397","4970","0.2810865191146881"
"2021-04-27","1351","5409","0.24976890367905344"
"2021-04-28","1283","5348","0.2399027673896784"
"2021-04-29","1305","5302","0.24613353451527725"
"2021-04-30","1183","5033","0.23504867872044508"
"2021-05-01","720","3521","0.20448736154501562"
"2021-05-02","632","3431","0.18420285631011368"
"2021-05-03","988","4767","0.20725823368995175"
"2021-05-04","984","5246","0.1875714830346931"
"2021-05-05","1081","5226","0.20685036356678146"
"2021-05-06","1155","5231","0.22079908239342383"
"2021-05-07","1031","4875","0.2114871794871795"
"2021-05-08","638","3552","0.17961711711711711"
"2021-05-09","603","3416","0.17652224824355972"
"2021-05-10","1036","5022","0.20629231381919555"
"2021-05-11","1206","5579","0.21616777200215093"
"2021-05-12","1212","5511","0.21992378878606422"
"2021-05-13","1108","5156","0.21489526764934058"
"2021-05-14","984","4766","0.20646244229962232"
"2021-05-15","650","3751","0.173287123433751"
"2021-05-16","617","3362","0.18352171326591316"
"2021-05-17","847","4098","0.20668618838457783"
"2021-05-18","1068","5315","0.20094073377234242"
"2021-05-19","823","4144","0.1986003861003861"
"2021-05-20","953","5111","0.1864605752298963"
"2021-05-21","936","4673","0.20029959340894501"
"2021-05-22","621","3428","0.18115519253208867"
"2021-05-23","542","3359","0.16135754688895504"
"2021-05-24","952","4640","0.20517241379310344"
"2021-05-25","1003","4967","0.20193275619085968"
"2021-05-26","984","5396","0.18235730170496664"
"2021-05-27","962","4937","0.19485517520761597"
"2021-05-28","281","1448","0.19406077348066297"
"2021-05-29","541","2693","0.20089119940586705"
"2021-05-30","581","3399","0.17093262724330685"
"2021-05-31","1027","4852","0.21166529266281944"
"2021-06-01","1145","5122","0.22354549004295196"
"2021-06-02","1090","5092","0.21406127258444618"
"2021-06-03","1107","5241","0.2112192329708071"
"2021-06-04","1133","5033","0.22511424597655474"
"2021-06-05","664","3427","0.19375547125765977"
"2021-06-06","588","3454","0.1702374059061957"
"2021-06-07","866","3942","0.21968543886352104"
"2021-06-08","933","5092","0.18322859387274157"
"2021-06-09","999","5098","0.19595919968615144"
"2021-06-10","1061","5027","0.21106027451760492"
"2021-06-11","980","4662","0.21021021021021022"
"2021-06-12","727","3404","0.213572267920094"
"2021-06-13","727","3115","0.23338683788121992"
"2021-06-14","755","3852","0.19600207684319834"
"2021-06-15","1093","4963","0.22022969977835985"
"2021-06-16","1002","5154","0.19441210710128057"
"2021-06-17","1077","5055","0.21305637982195846"
"2021-06-18","948","4735","0.20021119324181627"
"2021-06-19","746","3495","0.213447782546495"
"2021-06-20","572","3375","0.16948148148148148"
"2021-06-21","1017","4787","0.21245038646333822"
"2021-06-22","1193","5169","0.23079899400270845"
"2021-06-23","1106","5252","0.2105864432597106"
"2021-06-24","1070","5199","0.20580880938642046"
"2021-06-25","989","4823","0.2050590918515447"
"2021-06-26","667","3445","0.19361393323657475"
