date,count,total_count,ratio
"2021-01-01","10","2095","0.00477326968973747"
"2021-01-02","10","2452","0.004078303425774877"
"2021-01-03","12","2599","0.00461716044632551"
"2021-01-04","5","3896","0.0012833675564681724"
"2021-01-05","19","4122","0.004609412906356138"
"2021-01-06","19","4439","0.004280243298040099"
"2021-01-07","7","4390","0.0015945330296127562"
"2021-01-08","14","4431","0.00315955766192733"
"2021-01-09","3","2956","0.0010148849797023004"
"2021-01-10","2","2833","0.0007059654076950229"
"2021-01-11","6","3970","0.0015113350125944584"
"2021-01-12","20","4836","0.0041356492969396195"
"2021-01-13","32","4979","0.006426993372163085"
"2021-01-14","27","4915","0.005493387589013225"
"2021-01-15","14","4545","0.0030803080308030805"
"2021-01-16","7","3074","0.002277163305139883"
"2021-01-17","2","2953","0.0006772773450728074"
"2021-01-18","6","4409","0.0013608528010886822"
"2021-01-19","11","4803","0.002290235269623152"
"2021-01-20","9","4937","0.0018229694146242657"
"2021-01-21","14","5007","0.0027960854803275414"
"2021-01-22","1","4493","0.00022256843979523704"
"2021-01-23","2","3150","0.0006349206349206349"
"2021-01-24","9","3156","0.0028517110266159697"
"2021-01-25","9","4378","0.002055733211512106"
"2021-01-26","14","4531","0.003089825645552858"
"2021-01-27","16","4470","0.0035794183445190158"
"2021-01-28","37","4543","0.00814439797490645"
"2021-01-29","31","4249","0.007295834313956225"
"2021-01-30","19","2213","0.00858563036601898"
"2021-01-31","4","318","0.012578616352201259"
"2021-02-01","12","2451","0.004895960832313341"
"2021-02-02","8","4654","0.0017189514396218307"
"2021-02-03","24","4845","0.004953560371517028"
"2021-02-04","17","4484","0.003791257805530776"
"2021-02-05","14","4320","0.0032407407407407406"
"2021-02-06","9","2989","0.003011040481766477"
"2021-02-07","1","2912","0.00034340659340659343"
"2021-02-08","5","4410","0.0011337868480725624"
"2021-02-09","4","4714","0.0008485362749257531"
"2021-02-10","8","4905","0.0016309887869520897"
"2021-02-11","11","4899","0.0022453561951418658"
"2021-02-12","11","4357","0.0025246729400963965"
"2021-02-13","5","2963","0.0016874789065136687"
"2021-02-14","1","3106","0.0003219575016097875"
"2021-02-15","30","4359","0.006882312456985547"
"2021-02-16","25","4477","0.005584096493187403"
"2021-02-17","13","4739","0.002743194766828445"
"2021-02-18","7","4778","0.0014650481372959396"
"2021-02-19","6","4403","0.0013627072450601862"
"2021-02-20","3","2972","0.001009421265141319"
"2021-02-21","3","2900","0.0010344827586206897"
"2021-02-22","8","4601","0.001738752445120626"
"2021-02-23","15","3669","0.004088307440719542"
