date,count,total_count,ratio
"2021-01-01","33","2095","0.015751789976133652"
"2021-01-02","24","2452","0.009787928221859706"
"2021-01-03","28","2599","0.010773374374759523"
"2021-01-04","66","3896","0.016940451745379878"
"2021-01-05","89","4122","0.021591460456089277"
"2021-01-06","99","4439","0.022302320342419465"
"2021-01-07","66","4390","0.015034168564920273"
"2021-01-08","105","4431","0.023696682464454975"
"2021-01-09","30","2956","0.010148849797023005"
"2021-01-10","32","2833","0.011295446523120367"
"2021-01-11","57","3970","0.014357682619647354"
"2021-01-12","66","4836","0.013647642679900745"
"2021-01-13","51","4979","0.010243020686884917"
"2021-01-14","47","4915","0.009562563580874872"
"2021-01-15","52","4545","0.01144114411441144"
"2021-01-16","26","3074","0.008458035133376708"
"2021-01-17","36","2953","0.012190992211310531"
"2021-01-18","48","4409","0.010886822408709458"
"2021-01-19","41","4803","0.008536331459504476"
"2021-01-20","44","4937","0.008912294915940856"
"2021-01-21","51","5007","0.01018573996405033"
"2021-01-22","64","4493","0.01424438014689517"
"2021-01-23","36","3150","0.011428571428571429"
"2021-01-24","35","3156","0.011089987325728771"
"2021-01-25","85","4378","0.019415258108725447"
"2021-01-26","95","4531","0.020966674023394395"
"2021-01-27","65","4470","0.0145413870246085"
"2021-01-28","91","4543","0.020030816640986132"
"2021-01-29","150","4249","0.035302424099788184"
"2021-01-30","54","2213","0.024401265250790782"
"2021-01-31","12","318","0.03773584905660377"
"2021-02-01","38","2451","0.015503875968992248"
"2021-02-02","76","4654","0.01633003867640739"
"2021-02-03","66","4845","0.013622291021671827"
"2021-02-04","54","4484","0.012042818911685994"
"2021-02-05","74","4320","0.01712962962962963"
"2021-02-06","39","2989","0.013047842087654735"
"2021-02-07","20","2912","0.006868131868131868"
"2021-02-08","51","4410","0.011564625850340135"
"2021-02-09","60","4714","0.012728044123886296"
"2021-02-10","68","4905","0.013863404689092763"
"2021-02-11","73","4899","0.01490100020412329"
"2021-02-12","38","4357","0.008721597429423916"
"2021-02-13","34","2963","0.011474856564292946"
"2021-02-14","23","3106","0.007405022537025113"
"2021-02-15","65","4359","0.014911676990135353"
"2021-02-16","51","4477","0.0113915568461023"
"2021-02-17","94","4739","0.019835408313990294"
"2021-02-18","57","4778","0.011929677689409795"
"2021-02-19","48","4403","0.01090165796048149"
"2021-02-20","26","2972","0.008748317631224764"
"2021-02-21","18","2900","0.006206896551724138"
"2021-02-22","42","4601","0.009128450336883287"
"2021-02-23","47","3669","0.012810029980921232"
"2021-02-24","80","4848","0.0165016501650165"
"2021-02-25","75","4870","0.015400410677618069"
"2021-02-26","68","4562","0.014905743095133712"
"2021-02-27","37","3208","0.011533665835411471"
"2021-02-28","51","3272","0.01558679706601467"
"2021-03-01","65","4685","0.013874066168623266"
"2021-03-02","64","4830","0.013250517598343685"
"2021-03-03","44","4728","0.009306260575296108"
"2021-03-04","46","4881","0.009424298299528785"
"2021-03-05","46","4385","0.0104903078677309"
"2021-03-06","35","3074","0.011385816525699415"
"2021-03-07","25","3050","0.00819672131147541"
"2021-03-08","57","4366","0.013055428309665598"
"2021-03-09","42","4552","0.00922671353251318"
"2021-03-10","63","4645","0.01356297093649085"
"2021-03-11","88","4650","0.0189247311827957"
"2021-03-12","55","4569","0.012037644998905668"
"2021-03-13","20","3096","0.006459948320413436"
"2021-03-14","33","2995","0.011018363939899833"
"2021-03-15","41","4519","0.009072803717636645"
"2021-03-16","79","4780","0.016527196652719664"
"2021-03-17","63","4696","0.013415672913117547"
"2021-03-18","37","4728","0.007825719120135364"
"2021-03-19","33","4126","0.007998061076102764"
"2021-03-20","17","3044","0.005584756898817346"
"2021-03-21","19","3063","0.006203068886712374"
"2021-03-22","38","3634","0.010456796917996699"
"2021-03-23","31","3933","0.007882023900330536"
"2021-03-24","35","4709","0.007432575918454024"
"2021-03-25","60","4703","0.01275781416117372"
"2021-03-26","28","3724","0.007518796992481203"
"2021-03-27","15","3069","0.004887585532746823"
"2021-03-28","23","2964","0.00775978407557355"
"2021-03-29","65","4339","0.014980410232772528"
"2021-03-30","26","4573","0.005685545593702165"
"2021-03-31","43","4659","0.009229448379480575"
"2021-04-01","28","3568","0.007847533632286996"
"2021-04-02","25","3206","0.007797878976918278"
"2021-04-03","28","2980","0.009395973154362415"
"2021-04-04","21","2656","0.007906626506024096"
"2021-04-05","30","3681","0.008149959250203748"
"2021-04-06","39","4717","0.008267966928132288"
"2021-04-07","59","4967","0.011878397422991745"
"2021-04-08","17","1662","0.01022864019253911"
"2021-04-09","1","53","0.018867924528301886"
"2021-04-10","0","49","0"
"2021-04-11","1","136","0.007352941176470588"
"2021-04-12","6","394","0.015228426395939087"
"2021-04-13","27","2196","0.012295081967213115"
"2021-04-14","62","5079","0.01220712738728096"
"2021-04-15","49","5237","0.009356501814015658"
"2021-04-16","70","4742","0.014761703922395614"
"2021-04-17","12","1762","0.00681044267877412"
"2021-04-18","7","391","0.017902813299232736"
"2021-04-19","30","3134","0.009572431397574984"
"2021-04-20","31","4703","0.006591537316606421"
"2021-04-21","40","5440","0.007352941176470588"
"2021-04-22","44","5305","0.008294062205466541"
"2021-04-23","50","4773","0.010475591870940708"
"2021-04-24","37","3363","0.011002081474873625"
"2021-04-25","37","3413","0.010840902431878113"
"2021-04-26","56","4970","0.011267605633802818"
"2021-04-27","63","5409","0.011647254575707155"
"2021-04-28","54","5348","0.010097232610321616"
"2021-04-29","71","5302","0.013391173142210487"
"2021-04-30","52","5033","0.010331810053645937"
"2021-05-01","28","3521","0.007952286282306162"
"2021-05-02","18","3431","0.0052462838822500725"
"2021-05-03","74","4767","0.01552338997272918"
"2021-05-04","33","5246","0.006290507052992757"
"2021-05-05","59","5226","0.011289705319556066"
"2021-05-06","78","5231","0.014911106862932517"
"2021-05-07","44","4875","0.009025641025641025"
"2021-05-08","22","3552","0.006193693693693694"
"2021-05-09","22","3416","0.006440281030444965"
"2021-05-10","41","5022","0.008164078056551175"
"2021-05-11","27","5579","0.004839576985122782"
"2021-05-12","47","5511","0.008528397749954637"
"2021-05-13","41","5156","0.00795190069821567"
"2021-05-14","35","4766","0.007343684431389006"
"2021-05-15","26","3751","0.00693148493735004"
"2021-05-16","18","3362","0.005353955978584176"
"2021-05-17","44","4098","0.010736944851146901"
"2021-05-18","32","5315","0.006020696142991533"
"2021-05-19","39","4144","0.009411196911196911"
"2021-05-20","42","5111","0.008217569947172765"
"2021-05-21","61","4673","0.013053712818317997"
"2021-05-22","25","3428","0.007292882147024504"
"2021-05-23","21","3359","0.006251860672819291"
"2021-05-24","35","4640","0.007543103448275862"
"2021-05-25","54","4967","0.010871753573585665"
"2021-05-26","42","5396","0.007783543365455893"
"2021-05-27","40","4937","0.008102086287218958"
"2021-05-28","10","1448","0.006906077348066298"
"2021-05-29","17","2693","0.0063126624582250275"
"2021-05-30","21","3399","0.00617828773168579"
"2021-05-31","33","4852","0.0068013190436933225"
"2021-06-01","70","5122","0.013666536509176102"
"2021-06-02","44","5092","0.00864100549882168"
"2021-06-03","47","5241","0.00896775424537302"
"2021-06-04","46","5033","0.009139678124379097"
"2021-06-05","33","3427","0.009629413481178874"
"2021-06-06","20","3454","0.005790387955993051"
"2021-06-07","49","3942","0.012430238457635717"
"2021-06-08","37","5092","0.007266300078554596"
"2021-06-09","32","5098","0.006276971361318164"
"2021-06-10","43","5027","0.008553809429082952"
"2021-06-11","48","4662","0.010296010296010296"
"2021-06-12","14","3404","0.004112808460634548"
"2021-06-13","33","3115","0.01059390048154093"
"2021-06-14","36","3852","0.009345794392523364"
"2021-06-15","31","4963","0.006246222043119081"
"2021-06-16","48","5154","0.009313154831199068"
"2021-06-17","34","5055","0.006726013847675569"
"2021-06-18","26","4735","0.005491024287222809"
"2021-06-19","24","3495","0.0068669527896995704"
"2021-06-20","21","3375","0.006222222222222222"
"2021-06-21","49","4787","0.010236055984959264"
"2021-06-22","21","5169","0.004062681369704005"
"2021-06-23","58","5252","0.011043412033511044"
"2021-06-24","33","5199","0.006347374495095211"
"2021-06-25","48","4823","0.009952311839104291"
"2021-06-26","30","3445","0.008708272859216255"
"2021-06-27","27","3242","0.008328192473781616"
"2021-06-28","43","4910","0.008757637474541752"
"2021-06-29","48","5192","0.009244992295839754"
"2021-06-30","61","5135","0.011879259980525803"
"2021-07-01","61","5332","0.011440360090022505"
"2021-07-02","70","4705","0.01487778958554729"
"2021-07-03","47","3457","0.013595603124096037"
"2021-07-04","28","3161","0.008857956342929452"
"2021-07-05","43","3941","0.01091093631058107"
"2021-07-06","54","5128","0.010530421216848674"
"2021-07-07","34","5336","0.006371814092953523"
"2021-07-08","55","5290","0.010396975425330813"
"2021-07-09","47","4775","0.009842931937172774"
"2021-07-10","26","3475","0.007482014388489209"
"2021-07-11","31","3437","0.00901949374454466"
"2021-07-12","44","5609","0.007844535567837404"
"2021-07-13","51","5296","0.009629909365558912"
"2021-07-14","42","5130","0.008187134502923977"
"2021-07-15","53","5201","0.010190348009998077"
"2021-07-16","64","4751","0.013470848242475268"
"2021-07-17","59","3220","0.01832298136645963"
"2021-07-18","29","2963","0.009787377657779277"
"2021-07-19","63","4634","0.013595166163141994"
"2021-07-20","45","4421","0.010178692603483374"
"2021-07-21","45","5050","0.00891089108910891"
"2021-07-22","53","5022","0.010553564317005177"
"2021-07-23","116","4784","0.024247491638795988"
"2021-07-24","50","3528","0.01417233560090703"
"2021-07-25","64","3641","0.017577588574567427"
"2021-07-26","73","4946","0.014759401536595228"
"2021-07-27","120","4877","0.024605290137379537"
"2021-07-28","119","4919","0.024191908924578166"
"2021-07-29","85","5083","0.016722408026755852"
"2021-07-30","89","4678","0.019025224454895254"
"2021-07-31","74","3338","0.022168963451168363"
"2021-08-01","65","3115","0.02086677367576244"
"2021-08-02","122","4741","0.025732967728327356"
"2021-08-03","91","4865","0.01870503597122302"
"2021-08-04","79","5050","0.015643564356435644"
"2021-08-05","106","4836","0.021918941273779982"
"2021-08-06","74","4476","0.01653261840929401"
"2021-08-07","29","2725","0.010642201834862385"
"2021-08-08","56","2711","0.020656584286241238"
"2021-08-09","53","3991","0.01327987972939113"
"2021-08-10","80","4493","0.01780547518361896"
"2021-08-11","83","4514","0.01838723969871511"
"2021-08-12","65","4682","0.013882956001708672"
"2021-08-13","61","3238","0.018838789376158124"
"2021-08-14","59","2913","0.020254033642293168"
"2021-08-15","57","2982","0.019114688128772636"
"2021-08-16","57","3466","0.01644547028274668"
"2021-08-17","75","4197","0.017869907076483203"
"2021-08-18","110","4122","0.026686074721009218"
"2021-08-19","49","2230","0.02197309417040359"
"2021-08-20","43","1761","0.02441794434980125"
"2021-08-21","34","1261","0.02696272799365583"
"2021-08-22","30","1243","0.02413515687851971"
"2021-08-23","44","2043","0.021536955457660302"
"2021-08-24","54","1915","0.028198433420365536"
"2021-08-25","63","2113","0.029815428300993846"
"2021-08-26","89","2894","0.030753282653766412"
"2021-08-27","93","2383","0.039026437263953"
"2021-08-28","75","2103","0.03566333808844508"
"2021-08-29","44","2167","0.02030456852791878"
"2021-08-30","75","2356","0.03183361629881155"
"2021-08-31","65","1891","0.03437334743521946"
"2021-09-01","59","2296","0.02569686411149826"
"2021-09-02","87","5033","0.017285912974369162"
"2021-09-03","76","4608","0.016493055555555556"
"2021-09-04","51","2996","0.017022696929238985"
"2021-09-05","40","2992","0.013368983957219251"
"2021-09-06","68","4678","0.01453612654980761"
"2021-09-07","96","5090","0.018860510805500982"
"2021-09-08","72","5156","0.013964313421256789"
"2021-09-09","75","5319","0.01410039481105471"
"2021-09-10","56","4562","0.012275317843051293"
"2021-09-11","32","3175","0.010078740157480314"
"2021-09-12","40","3174","0.01260239445494644"
"2021-09-13","85","4615","0.018418201516793065"
"2021-09-14","84","5090","0.016502946954813358"
"2021-09-15","69","5243","0.01316040434865535"
"2021-09-16","106","4789","0.02213405721444978"
"2021-09-17","102","4741","0.021514448428601562"
"2021-09-18","52","3276","0.015873015873015872"
"2021-09-19","42","3206","0.013100436681222707"
"2021-09-20","136","4854","0.028018129377832716"
"2021-09-21","109","5275","0.02066350710900474"
"2021-09-22","87","5292","0.016439909297052153"
"2021-09-23","85","5031","0.016895249453388987"
"2021-09-24","85","4861","0.017486113968319277"
"2021-09-25","104","3338","0.03115638106650689"
"2021-09-26","50","3054","0.016371971185330715"
"2021-09-27","101","4705","0.02146652497343252"
"2021-09-28","89","5226","0.017030233448143896"
"2021-09-29","106","5233","0.02025606726543092"
"2021-09-30","96","5005","0.01918081918081918"
"2021-10-01","108","4785","0.0225705329153605"
"2021-10-02","43","3293","0.013058001822046765"
"2021-10-03","46","3330","0.013813813813813814"
"2021-10-04","89","5002","0.017792882846861254"
"2021-10-05","78","5111","0.015261201330463705"
"2021-10-06","69","5231","0.013190594532594151"
"2021-10-07","68","5281","0.012876349176292368"
"2021-10-08","81","4410","0.018367346938775512"
"2021-10-09","59","3117","0.01892845684953481"
"2021-10-10","27","3076","0.008777633289986996"
"2021-10-11","64","4410","0.014512471655328799"
"2021-10-12","65","4881","0.013316943249334154"
"2021-10-13","76","5005","0.015184815184815185"
"2021-10-14","79","5100","0.015490196078431372"
"2021-10-15","86","4592","0.018728222996515678"
"2021-10-16","44","3312","0.013285024154589372"
"2021-10-17","34","3263","0.010419859025436715"
"2021-10-18","38","3852","0.009865005192107996"
"2021-10-19","61","4850","0.012577319587628866"
"2021-10-20","94","4857","0.019353510397364628"
"2021-10-21","85","5126","0.016582130316035896"
"2021-10-22","79","4733","0.01669131628987957"
"2021-10-23","49","3221","0.015212666873641726"
"2021-10-24","47","3217","0.014609884986011812"
"2021-10-25","120","4875","0.024615384615384615"
"2021-10-26","95","5077","0.018711837699428798"
"2021-10-27","80","5367","0.014905906465436929"
"2021-10-28","51","5214","0.009781357882623706"
"2021-10-29","50","4594","0.0108837614279495"
"2021-10-30","75","3462","0.021663778162911613"
"2021-10-31","58","3106","0.018673535093367676"
"2021-11-01","45","3854","0.01167618059159315"
"2021-11-02","58","4886","0.011870650839132215"
"2021-11-03","57","5271","0.010813887307911212"
"2021-11-04","66","4796","0.013761467889908258"
"2021-11-05","49","4596","0.010661444734551785"
"2021-11-06","51","3389","0.015048686928297432"
"2021-11-07","52","3371","0.0154256897063186"
"2021-11-08","57","4945","0.011526794742163803"
"2021-11-09","52","4974","0.010454362685967028"
"2021-11-10","68","5094","0.013349038084020416"
"2021-11-11","63","5207","0.012099097368926445"
"2021-11-12","56","4791","0.01168858275934043"
"2021-11-13","23","2987","0.0077000334784064275"
"2021-11-14","13","2351","0.00552956188855806"
"2021-11-15","46","4076","0.011285574092247301"
"2021-11-16","57","4868","0.01170912078882498"
"2021-11-17","56","5120","0.0109375"
"2021-11-18","43","5286","0.008134695421869087"
"2021-11-19","68","4965","0.013695871097683786"
"2021-11-20","39","3503","0.011133314302026834"
"2021-11-21","35","2200","0.015909090909090907"
"2021-11-22","4","363","0.011019283746556474"
"2021-11-23","36","1901","0.01893740136770121"
"2021-11-24","71","5222","0.01359632324779778"
"2021-11-25","48","4979","0.009640490058244628"
"2021-11-26","49","4937","0.009925055701843224"
"2021-11-27","42","3312","0.012681159420289856"
"2021-11-28","54","3462","0.01559792027729636"
"2021-11-29","96","4926","0.0194884287454324"
"2021-11-30","149","5210","0.028598848368522074"
"2021-12-01","59","5315","0.01110065851364064"
"2021-12-02","51","5000","0.0102"
"2021-12-03","58","4098","0.014153245485602733"
"2021-12-04","40","3433","0.011651616661811826"
"2021-12-05","52","3117","0.01668270773179339"
"2021-12-06","78","4491","0.01736806947227789"
"2021-12-07","44","4172","0.010546500479386385"
"2021-12-08","43","4186","0.010272336359292882"
"2021-12-09","48","5193","0.00924321201617562"
"2021-12-10","46","4583","0.010037093606807768"
"2021-12-11","35","3243","0.010792476102374344"
"2021-12-12","55","3279","0.016773406526379993"
"2021-12-13","36","4709","0.007644935230409854"
"2021-12-14","39","4791","0.008140262993112084"
"2021-12-15","85","4910","0.017311608961303463"
"2021-12-16","75","4856","0.01544481054365733"
"2021-12-17","79","4381","0.0180324126911664"
"2021-12-18","44","3032","0.014511873350923483"
"2021-12-19","37","3217","0.011501398818775257"
"2021-12-20","89","4352","0.020450367647058824"
"2021-12-21","67","4554","0.014712340799297322"
"2021-12-22","63","4469","0.014097113448198702"
"2021-12-23","69","4448","0.015512589928057555"
"2021-12-24","32","3012","0.010624169986719787"
"2021-12-25","2","644","0.003105590062111801"
"2021-12-26","0","23","0"
"2021-12-27","0","57","0"
"2021-12-28","1","47","0.02127659574468085"
"2021-12-29","0","42","0"
"2021-12-30","0","40","0"
"2021-12-31","0","32","0"
"2022-01-01","0","7","0"
"2022-01-02","0","17","0"
"2022-01-03","0","33","0"
"2022-01-04","0","35","0"
"2022-01-05","0","31","0"
"2022-01-06","0","31","0"
"2022-01-07","0","4","0"
"2022-01-08","0","3","0"
"2022-01-09","0","2","0"
"2022-01-10","0","54","0"
"2022-01-11","0","43","0"
"2022-01-12","0","40","0"
"2022-01-13","0","49","0"
"2022-01-14","0","42","0"
"2022-01-15","0","11","0"
"2022-01-16","1","40","0.025"
"2022-01-17","2","79","0.02531645569620253"
"2022-01-18","3","156","0.019230769230769232"
"2022-01-19","4","314","0.012738853503184714"
"2022-01-20","17","1437","0.011830201809324982"
"2022-01-21","18","1459","0.01233721727210418"
"2022-01-22","25","1050","0.023809523809523808"
"2022-01-23","15","1097","0.013673655423883319"
"2022-01-24","26","1799","0.014452473596442469"
"2022-01-25","22","1717","0.0128130460104834"
"2022-01-26","51","3574","0.014269725797425853"
"2022-01-27","40","3785","0.010568031704095112"
"2022-01-28","38","3752","0.010127931769722815"
"2022-01-29","39","2771","0.014074341392998917"
"2022-01-30","27","2793","0.00966702470461869"
"2022-01-31","31","2950","0.010508474576271187"
"2022-02-01","23","2267","0.010145566828407587"
"2022-02-02","32","2348","0.013628620102214651"
"2022-02-03","22","3008","0.007313829787234043"
"2022-02-04","37","3658","0.010114816839803172"
"2022-02-05","29","2550","0.011372549019607842"
"2022-02-06","21","2352","0.008928571428571428"
"2022-02-07","21","3335","0.006296851574212893"
"2022-02-08","76","4034","0.018839861179970253"
"2022-02-09","33","2964","0.011133603238866396"
"2022-02-10","39","3819","0.01021209740769835"
"2022-02-11","35","2655","0.013182674199623353"
"2022-02-12","4","465","0.008602150537634409"
"2022-02-13","0","209","0"
"2022-02-14","7","1086","0.006445672191528545"
"2022-02-15","12","1518","0.007905138339920948"
"2022-02-16","42","2033","0.020659124446630595"
"2022-02-17","26","2670","0.009737827715355805"
"2022-02-18","49","2828","0.017326732673267328"
"2022-02-19","39","2617","0.014902560183416125"
"2022-02-20","31","2162","0.014338575393154487"
"2022-02-21","18","2880","0.00625"
"2022-02-22","14","2638","0.00530705079605762"
"2022-02-23","52","4298","0.01209865053513262"
"2022-02-24","20","3198","0.006253908692933083"
"2022-02-25","31","2940","0.01054421768707483"
"2022-02-26","22","2455","0.008961303462321792"
"2022-02-27","10","2130","0.004694835680751174"
"2022-02-28","18","2428","0.007413509060955519"
