date,count,total_count,ratio
"2021-01-01","68","2095","0.032458233890214794"
"2021-01-02","70","2452","0.028548123980424143"
"2021-01-03","78","2599","0.030011542901115813"
"2021-01-04","133","3896","0.03413757700205339"
"2021-01-05","211","4122","0.05118874332848132"
"2021-01-06","176","4439","0.0396485694976346"
"2021-01-07","123","4390","0.028018223234624145"
"2021-01-08","206","4431","0.04649063416835929"
"2021-01-09","46","2956","0.015561569688768605"
"2021-01-10","54","2833","0.01906106600776562"
"2021-01-11","115","3970","0.028967254408060455"
"2021-01-12","151","4836","0.031224152191894127"
"2021-01-13","175","4979","0.03514762000401687"
"2021-01-14","129","4915","0.02624618514750763"
"2021-01-15","113","4545","0.024862486248624863"
"2021-01-16","61","3074","0.019843851659076123"
"2021-01-17","60","2953","0.02031832035218422"
"2021-01-18","117","4409","0.026536629621229303"
"2021-01-19","116","4803","0.024151571934207788"
"2021-01-20","146","4937","0.0295726149483492"
"2021-01-21","145","5007","0.02895945676053525"
"2021-01-22","155","4493","0.03449810816826174"
"2021-01-23","93","3150","0.029523809523809525"
"2021-01-24","82","3156","0.025982256020278833"
"2021-01-25","109","4378","0.024897213339424396"
"2021-01-26","137","4531","0.030236150960052968"
"2021-01-27","156","4470","0.0348993288590604"
"2021-01-28","183","4543","0.04028175214615893"
"2021-01-29","198","4249","0.04659919981172041"
"2021-01-30","75","2213","0.03389064618165386"
"2021-01-31","9","318","0.02830188679245283"
"2021-02-01","49","2451","0.019991840065279477"
"2021-02-02","124","4654","0.026643747314138374"
"2021-02-03","155","4845","0.03199174406604747"
"2021-02-04","104","4484","0.0231935771632471"
"2021-02-05","144","4320","0.03333333333333333"
"2021-02-06","67","2989","0.022415523586483774"
"2021-02-07","37","2912","0.012706043956043956"
"2021-02-08","92","4410","0.020861678004535148"
"2021-02-09","97","4714","0.020577004666949512"
"2021-02-10","103","4905","0.020998980632008155"
"2021-02-11","119","4899","0.024290671565625636"
"2021-02-12","100","4357","0.022951572182694516"
"2021-02-13","61","2963","0.020587242659466758"
"2021-02-14","77","3106","0.024790727623953637"
"2021-02-15","316","4359","0.0724936912135811"
"2021-02-16","249","4477","0.05561760107214653"
"2021-02-17","262","4739","0.05528592530069635"
"2021-02-18","205","4778","0.042904981163666804"
"2021-02-19","174","4403","0.039518510106745404"
"2021-02-20","101","2972","0.03398384925975774"
"2021-02-21","59","2900","0.020344827586206895"
"2021-02-22","135","4601","0.029341447511410563"
"2021-02-23","139","3669","0.03788498228400109"
"2021-02-24","213","4848","0.04393564356435643"
"2021-02-25","175","4870","0.03593429158110883"
"2021-02-26","146","4562","0.032003507233669445"
"2021-02-27","70","3208","0.021820448877805487"
"2021-02-28","56","3272","0.017114914425427872"
"2021-03-01","145","4685","0.030949839914621132"
"2021-03-02","132","4830","0.02732919254658385"
"2021-03-03","146","4728","0.030879864636209814"
"2021-03-04","85","4881","0.017414464249129277"
"2021-03-05","72","4385","0.016419612314709234"
"2021-03-06","78","3074","0.025374105400130124"
"2021-03-07","43","3050","0.014098360655737704"
"2021-03-08","97","4366","0.02221713238662391"
"2021-03-09","101","4552","0.02218804920913884"
"2021-03-10","134","4645","0.02884822389666308"
"2021-03-11","160","4650","0.034408602150537634"
"2021-03-12","115","4569","0.025169621361348215"
"2021-03-13","45","3096","0.014534883720930232"
"2021-03-14","45","2995","0.015025041736227046"
"2021-03-15","66","4519","0.014605001106439478"
"2021-03-16","89","4780","0.018619246861924687"
"2021-03-17","110","4696","0.023424190800681432"
"2021-03-18","81","4728","0.01713197969543147"
"2021-03-19","71","4126","0.017207949587978673"
"2021-03-20","40","3044","0.013140604467805518"
"2021-03-21","36","3063","0.011753183153770812"
"2021-03-22","52","3634","0.014309301045679693"
"2021-03-23","66","3933","0.016781083142639208"
"2021-03-24","73","4709","0.015502229772775536"
"2021-03-25","100","4703","0.0212630236019562"
"2021-03-26","61","3724","0.016380236305048337"
"2021-03-27","30","3069","0.009775171065493646"
"2021-03-28","21","2964","0.00708502024291498"
"2021-03-29","65","4339","0.014980410232772528"
"2021-03-30","55","4573","0.012027115678985349"
"2021-03-31","119","4659","0.025541961794376476"
"2021-04-01","85","3568","0.02382286995515695"
"2021-04-02","59","3206","0.018402994385527137"
"2021-04-03","71","2980","0.0238255033557047"
"2021-04-04","21","2656","0.007906626506024096"
"2021-04-05","41","3681","0.011138277641945124"
"2021-04-06","91","4717","0.01929192283230867"
"2021-04-07","81","4967","0.016307630360378498"
"2021-04-08","32","1662","0.019253910950661854"
"2021-04-09","2","53","0.03773584905660377"
"2021-04-10","0","49","0"
"2021-04-11","1","136","0.007352941176470588"
"2021-04-12","18","394","0.04568527918781726"
"2021-04-13","45","2196","0.020491803278688523"
"2021-04-14","119","5079","0.023429809017523135"
"2021-04-15","95","5237","0.018140156578193622"
"2021-04-16","125","4742","0.026360185575706453"
"2021-04-17","14","1762","0.007945516458569807"
"2021-04-18","8","391","0.020460358056265986"
"2021-04-19","67","3134","0.021378430121250798"
"2021-04-20","73","4703","0.015522007229428024"
"2021-04-21","146","5440","0.026838235294117645"
"2021-04-22","89","5305","0.016776625824693685"
"2021-04-23","148","4773","0.031007751937984496"
"2021-04-24","66","3363","0.019625334522747548"
"2021-04-25","65","3413","0.01904482859654263"
"2021-04-26","101","4970","0.020321931589537223"
"2021-04-27","124","5409","0.022924755037899796"
"2021-04-28","132","5348","0.02468212415856395"
"2021-04-29","152","5302","0.028668427008675973"
"2021-04-30","117","5033","0.023246572620703357"
"2021-05-01","38","3521","0.010792388525986936"
"2021-05-02","22","3431","0.006412124744972311"
"2021-05-03","76","4767","0.01594294105307321"
"2021-05-04","69","5246","0.013152878383530308"
"2021-05-05","102","5226","0.01951779563719862"
"2021-05-06","134","5231","0.02561651691837125"
"2021-05-07","94","4875","0.019282051282051283"
"2021-05-08","51","3552","0.014358108108108109"
"2021-05-09","35","3416","0.010245901639344262"
"2021-05-10","119","5022","0.02369573874950219"
"2021-05-11","96","5579","0.017207384835992115"
"2021-05-12","116","5511","0.021048811467973143"
"2021-05-13","124","5156","0.02404965089216447"
"2021-05-14","84","4766","0.017624842635333614"
"2021-05-15","42","3751","0.011197014129565449"
"2021-05-16","42","3362","0.012492563950029744"
"2021-05-17","89","4098","0.021717911176183505"
"2021-05-18","65","5315","0.012229539040451553"
"2021-05-19","73","4144","0.017615830115830115"
"2021-05-20","65","5111","0.012717667775386422"
"2021-05-21","72","4673","0.015407661031457309"
"2021-05-22","42","3428","0.012252042007001166"
"2021-05-23","47","3359","0.013992259601071748"
"2021-05-24","91","4640","0.019612068965517242"
"2021-05-25","92","4967","0.018522246829071873"
"2021-05-26","102","5396","0.018902891030392884"
"2021-05-27","66","4937","0.013368442373911282"
"2021-05-28","15","1448","0.010359116022099447"
"2021-05-29","40","2693","0.014853323431117713"
"2021-05-30","31","3399","0.009120329508679022"
"2021-05-31","76","4852","0.015663643858202802"
"2021-06-01","103","5122","0.020109332292073408"
"2021-06-02","103","5092","0.020227808326787118"
"2021-06-03","115","5241","0.021942377408891434"
"2021-06-04","76","5033","0.015100337770713292"
"2021-06-05","40","3427","0.011672016340822877"
"2021-06-06","24","3454","0.006948465547191662"
"2021-06-07","55","3942","0.013952308472856417"
"2021-06-08","60","5092","0.01178318931657502"
"2021-06-09","116","5098","0.022754021184778345"
"2021-06-10","127","5027","0.025263576685896162"
"2021-06-11","95","4662","0.02037752037752038"
"2021-06-12","40","3404","0.011750881316098707"
"2021-06-13","68","3115","0.021829855537720707"
"2021-06-14","61","3852","0.015835929387331256"
"2021-06-15","87","4963","0.017529719927463227"
"2021-06-16","118","5154","0.022894838960031045"
"2021-06-17","101","5055","0.019980217606330366"
"2021-06-18","69","4735","0.01457233368532207"
"2021-06-19","39","3495","0.011158798283261802"
"2021-06-20","22","3375","0.006518518518518518"
"2021-06-21","63","4787","0.01316064340923334"
"2021-06-22","129","5169","0.024956471271038887"
"2021-06-23","128","5252","0.024371667936024372"
"2021-06-24","150","5199","0.028851702250432775"
"2021-06-25","111","4823","0.023014721127928676"
"2021-06-26","49","3445","0.014223512336719884"
"2021-06-27","37","3242","0.011412708204811845"
"2021-06-28","85","4910","0.017311608961303463"
"2021-06-29","110","5192","0.0211864406779661"
"2021-06-30","98","5135","0.01908471275559883"
"2021-07-01","88","5332","0.016504126031507877"
"2021-07-02","76","4705","0.016153028692879916"
"2021-07-03","44","3457","0.012727798669366503"
"2021-07-04","52","3161","0.016450490351154697"
"2021-07-05","52","3941","0.013194620654656179"
"2021-07-06","69","5128","0.01345553822152886"
"2021-07-07","58","5336","0.010869565217391304"
"2021-07-08","140","5290","0.026465028355387523"
"2021-07-09","105","4775","0.02198952879581152"
"2021-07-10","56","3475","0.016115107913669064"
"2021-07-11","65","3437","0.018911841722432352"
"2021-07-12","107","5609","0.019076484221786413"
"2021-07-13","102","5296","0.019259818731117824"
"2021-07-14","84","5130","0.016374269005847954"
"2021-07-15","104","5201","0.019996154585656605"
"2021-07-16","111","4751","0.023363502420543043"
"2021-07-17","61","3220","0.018944099378881987"
"2021-07-18","29","2963","0.009787377657779277"
"2021-07-19","56","4634","0.012084592145015106"
"2021-07-20","47","4421","0.01063107894141597"
"2021-07-21","110","5050","0.02178217821782178"
"2021-07-22","79","5022","0.01573078454798885"
"2021-07-23","140","4784","0.029264214046822744"
"2021-07-24","55","3528","0.015589569160997732"
"2021-07-25","53","3641","0.014556440538313651"
"2021-07-26","70","4946","0.014152850788515973"
"2021-07-27","101","4877","0.020709452532294444"
"2021-07-28","135","4919","0.02744460256149624"
"2021-07-29","95","5083","0.01868975014755066"
"2021-07-30","81","4678","0.01731509191962377"
"2021-07-31","70","3338","0.020970641102456562"
"2021-08-01","67","3115","0.021508828250401284"
"2021-08-02","105","4741","0.02214722632356043"
"2021-08-03","107","4865","0.02199383350462487"
"2021-08-04","89","5050","0.017623762376237622"
"2021-08-05","96","4836","0.019851116625310174"
"2021-08-06","63","4476","0.014075067024128687"
"2021-08-07","28","2725","0.010275229357798165"
"2021-08-08","47","2711","0.01733677609738104"
"2021-08-09","85","3991","0.021297920320721624"
"2021-08-10","72","4493","0.016024927665257066"
"2021-08-11","139","4514","0.030793088170137352"
"2021-08-12","81","4682","0.017300299017513884"
"2021-08-13","48","3238","0.014823965410747375"
"2021-08-14","42","2913","0.014418125643666324"
"2021-08-15","29","2982","0.009725016767270288"
"2021-08-16","60","3466","0.017311021350259664"
"2021-08-17","67","4197","0.01596378365499166"
"2021-08-18","105","4122","0.025473071324599708"
"2021-08-19","44","2230","0.019730941704035873"
"2021-08-20","39","1761","0.022146507666098807"
"2021-08-21","21","1261","0.016653449643140365"
"2021-08-22","8","1243","0.006436041834271922"
"2021-08-23","44","2043","0.021536955457660302"
"2021-08-24","41","1915","0.021409921671018278"
"2021-08-25","57","2113","0.026975863700899196"
"2021-08-26","73","2894","0.025224602626123013"
"2021-08-27","49","2383","0.020562316407889216"
