date,count,total_count,ratio
"2021-01-01","9","2095","0.0042959427207637235"
"2021-01-02","9","2452","0.00367047308319739"
"2021-01-03","14","2599","0.005386687187379761"
"2021-01-04","27","3896","0.006930184804928132"
"2021-01-05","27","4122","0.006550218340611353"
"2021-01-06","23","4439","0.0051813471502590676"
"2021-01-07","30","4390","0.00683371298405467"
"2021-01-08","42","4431","0.009478672985781991"
"2021-01-09","10","2956","0.0033829499323410014"
"2021-01-10","4","2833","0.0014119308153900459"
"2021-01-11","37","3970","0.009319899244332493"
"2021-01-12","64","4836","0.013234077750206782"
"2021-01-13","71","4979","0.014259891544486845"
"2021-01-14","49","4915","0.009969481180061038"
"2021-01-15","23","4545","0.00506050605060506"
"2021-01-16","6","3074","0.001951854261548471"
"2021-01-17","46","2953","0.015577378936674569"
"2021-01-18","41","4409","0.009299160807439328"
"2021-01-19","27","4803","0.005621486570893191"
"2021-01-20","28","4937","0.005671460401053271"
"2021-01-21","30","5007","0.005991611743559017"
"2021-01-22","34","4493","0.007567326953038059"
"2021-01-23","24","3150","0.007619047619047619"
"2021-01-24","9","3156","0.0028517110266159697"
"2021-01-25","27","4378","0.0061671996345363175"
"2021-01-26","27","4531","0.005958949459280512"
"2021-01-27","22","4470","0.004921700223713647"
"2021-01-28","29","4543","0.006383447061413163"
"2021-01-29","64","4249","0.015062367615909626"
"2021-01-30","40","2213","0.01807501129688206"
"2021-01-31","8","318","0.025157232704402517"
"2021-02-01","27","2451","0.011015911872705019"
"2021-02-02","35","4654","0.007520412548345509"
"2021-02-03","70","4845","0.014447884416924664"
"2021-02-04","45","4484","0.010035682426404995"
"2021-02-05","49","4320","0.011342592592592593"
"2021-02-06","58","2989","0.019404483104717297"
"2021-02-07","19","2912","0.006524725274725275"
"2021-02-08","26","4410","0.0058956916099773245"
"2021-02-09","30","4714","0.006364022061943148"
"2021-02-10","29","4905","0.005912334352701326"
"2021-02-11","47","4899","0.00959379465196979"
"2021-02-12","33","4357","0.00757401882028919"
"2021-02-13","22","2963","0.007424907188660142"
"2021-02-14","11","3106","0.0035415325177076628"
"2021-02-15","96","4359","0.02202339986235375"
"2021-02-16","111","4477","0.024793388429752067"
"2021-02-17","72","4739","0.01519307870858831"
"2021-02-18","46","4778","0.009627459187944746"
"2021-02-19","58","4403","0.013172836702248466"
"2021-02-20","86","2972","0.028936742934051143"
"2021-02-21","40","2900","0.013793103448275862"
"2021-02-22","61","4601","0.013257987394044773"
"2021-02-23","130","3669","0.035431997819569364"
"2021-02-24","127","4848","0.026196369636963698"
"2021-02-25","121","4870","0.02484599589322382"
"2021-02-26","100","4562","0.021920210434020166"
"2021-02-27","63","3208","0.01963840399002494"
"2021-02-28","38","3272","0.011613691931540342"
"2021-03-01","84","4685","0.01792956243329776"
"2021-03-02","72","4830","0.014906832298136646"
"2021-03-03","81","4728","0.01713197969543147"
"2021-03-04","41","4881","0.008399918049580004"
"2021-03-05","59","4385","0.013454960091220068"
"2021-03-06","96","3074","0.031229668184775537"
"2021-03-07","45","3050","0.014754098360655738"
"2021-03-08","55","4366","0.012597343105817681"
"2021-03-09","87","4552","0.019112478031634447"
"2021-03-10","74","4645","0.015931108719052744"
"2021-03-11","69","4650","0.014838709677419355"
"2021-03-12","73","4569","0.01597723790763843"
"2021-03-13","36","3096","0.011627906976744186"
"2021-03-14","34","2995","0.011352253756260434"
"2021-03-15","35","4519","0.007745076344323965"
"2021-03-16","65","4780","0.013598326359832637"
"2021-03-17","82","4696","0.01746166950596252"
"2021-03-18","39","4728","0.008248730964467006"
"2021-03-19","56","4126","0.013572467280659235"
"2021-03-20","54","3044","0.017739816031537452"
"2021-03-21","29","3063","0.009467841984982043"
"2021-03-22","38","3634","0.010456796917996699"
"2021-03-23","32","3933","0.00813628273582507"
"2021-03-24","37","4709","0.007857294542365683"
"2021-03-25","67","4703","0.014246225813310653"
"2021-03-26","56","3724","0.015037593984962405"
"2021-03-27","13","3069","0.004235907461713913"
"2021-03-28","16","2964","0.005398110661268556"
"2021-03-29","29","4339","0.006683567642313897"
"2021-03-30","36","4573","0.007872293898972229"
"2021-03-31","41","4659","0.008800171710667526"
"2021-04-01","14","3568","0.003923766816143498"
"2021-04-02","28","3206","0.008733624454148471"
"2021-04-03","35","2980","0.01174496644295302"
"2021-04-04","16","2656","0.006024096385542169"
"2021-04-05","28","3681","0.007606628633523499"
"2021-04-06","63","4717","0.013355946576213695"
"2021-04-07","58","4967","0.01167706865311053"
"2021-04-08","13","1662","0.007821901323706379"
"2021-04-09","2","53","0.03773584905660377"
"2021-04-10","1","49","0.02040816326530612"
"2021-04-11","1","136","0.007352941176470588"
"2021-04-12","13","394","0.03299492385786802"
"2021-04-13","44","2196","0.020036429872495445"
"2021-04-14","50","5079","0.009844457570387872"
"2021-04-15","51","5237","0.009738399847240786"
"2021-04-16","91","4742","0.019190215099114297"
"2021-04-17","12","1762","0.00681044267877412"
"2021-04-18","4","391","0.010230179028132993"
"2021-04-19","36","3134","0.01148691767708998"
"2021-04-20","66","4703","0.014033595577291091"
"2021-04-21","73","5440","0.013419117647058823"
"2021-04-22","60","5305","0.011310084825636193"
"2021-04-23","87","4773","0.018227529855436832"
"2021-04-24","55","3363","0.016354445435622957"
"2021-04-25","52","3413","0.015235862877234104"
"2021-04-26","72","4970","0.01448692152917505"
"2021-04-27","68","5409","0.012571639859493437"
"2021-04-28","67","5348","0.012528047868362004"
"2021-04-29","106","5302","0.01999245567710298"
"2021-04-30","72","5033","0.014305583151202067"
"2021-05-01","41","3521","0.011644419199091167"
"2021-05-02","17","3431","0.004954823666569514"
"2021-05-03","25","4767","0.005244388504300398"
"2021-05-04","25","5246","0.004765535646206634"
"2021-05-05","25","5226","0.004783773440489858"
"2021-05-06","35","5231","0.006690881284649207"
"2021-05-07","36","4875","0.0073846153846153844"
"2021-05-08","14","3552","0.003941441441441441"
"2021-05-09","16","3416","0.00468384074941452"
"2021-05-10","36","5022","0.007168458781362007"
"2021-05-11","37","5579","0.006632012905538627"
"2021-05-12","55","5511","0.00998003992015968"
"2021-05-13","45","5156","0.008727695888285493"
"2021-05-14","38","4766","0.007973143096936634"
"2021-05-15","31","3751","0.008264462809917356"
