date,count,total_count,ratio
"2021-01-01","0","2095","0"
"2021-01-02","0","2452","0"
"2021-01-03","1","2599","0.00038476337052712584"
"2021-01-04","0","3896","0"
"2021-01-05","0","4122","0"
"2021-01-06","1","4439","0.00022527596305474206"
"2021-01-07","0","4390","0"
"2021-01-08","1","4431","0.00022568269013766644"
"2021-01-09","0","2956","0"
"2021-01-10","0","2833","0"
"2021-01-11","0","3970","0"
"2021-01-12","0","4836","0"
"2021-01-13","0","4979","0"
"2021-01-14","0","4915","0"
"2021-01-15","0","4545","0"
"2021-01-16","1","3074","0.00032530904359141186"
"2021-01-17","0","2953","0"
"2021-01-18","0","4409","0"
"2021-01-19","0","4803","0"
"2021-01-20","2","4937","0.00040510431436094796"
"2021-01-21","8","5007","0.001597763131615738"
"2021-01-22","1","4493","0.00022256843979523704"
"2021-01-23","0","3150","0"
"2021-01-24","4","3156","0.0012674271229404308"
"2021-01-25","0","4378","0"
"2021-01-26","5","4531","0.0011035091591260207"
"2021-01-27","3","4470","0.0006711409395973154"
"2021-01-28","4","4543","0.0008804754567466431"
"2021-01-29","0","4249","0"
"2021-01-30","0","2213","0"
"2021-01-31","0","318","0"
"2021-02-01","0","2451","0"
"2021-02-02","3","4654","0.0006446067898581865"
"2021-02-03","0","4845","0"
"2021-02-04","0","4484","0"
"2021-02-05","2","4320","0.000462962962962963"
"2021-02-06","0","2989","0"
"2021-02-07","1","2912","0.00034340659340659343"
"2021-02-08","0","4410","0"
"2021-02-09","1","4714","0.00021213406873143826"
"2021-02-10","0","4905","0"
"2021-02-11","1","4899","0.00020412329046744235"
"2021-02-12","0","4357","0"
"2021-02-13","1","2963","0.0003374957813027337"
"2021-02-14","0","3106","0"
"2021-02-15","0","4359","0"
"2021-02-16","0","4477","0"
"2021-02-17","3","4739","0.0006330449461911796"
"2021-02-18","1","4778","0.0002092925910422771"
"2021-02-19","0","4403","0"
"2021-02-20","0","2972","0"
"2021-02-21","0","2900","0"
"2021-02-22","0","4601","0"
"2021-02-23","1","3669","0.0002725538293813028"
"2021-02-24","0","4848","0"
"2021-02-25","0","4870","0"
"2021-02-26","1","4562","0.00021920210434020167"
"2021-02-27","1","3208","0.0003117206982543641"
"2021-02-28","0","3272","0"
"2021-03-01","0","4685","0"
"2021-03-02","0","4830","0"
"2021-03-03","0","4728","0"
"2021-03-04","0","4881","0"
"2021-03-05","1","4385","0.00022805017103762827"
"2021-03-06","0","3074","0"
"2021-03-07","0","3050","0"
"2021-03-08","3","4366","0.0006871278057718735"
