date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-01-01","96","669","0","0","68","33","49","10","9","2","0","3","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","0.04582338902147971","0.31933174224343674","0","0","0.032458233890214794","0.015751789976133652","0.023389021479713605","0.00477326968973747","0.0042959427207637235","0.0009546539379474941","0","0.001431980906921241"
"2021-01-02","123","733","0","0","70","24","51","10","9","3","1","2","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","0.050163132137031","0.29893964110929855","0","0","0.028548123980424143","0.009787928221859706","0.020799347471451877","0.004078303425774877","0.00367047308319739","0.0012234910277324632","0.0004078303425774878","0.0008156606851549756"
"2021-01-03","152","774","0","1","78","28","54","12","14","8","0","3","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","0.05848403232012313","0.2978068487879954","0","0.00038476337052712584","0.030011542901115813","0.010773374374759523","0.020777222008464793","0.00461716044632551","0.005386687187379761","0.0030781069642170067","0","0.0011542901115813775"
"2021-01-04","234","1200","0","0","133","66","115","5","27","9","0","8","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","0.060061601642710474","0.3080082135523614","0","0","0.03413757700205339","0.016940451745379878","0.029517453798767967","0.0012833675564681724","0.006930184804928132","0.0023100616016427105","0","0.002053388090349076"
"2021-01-05","295","1322","0","0","211","89","101","19","27","12","0","8","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","0.07156720038816108","0.3207180980106744","0","0","0.05118874332848132","0.021591460456089277","0.024502668607472102","0.004609412906356138","0.006550218340611353","0.002911208151382824","0","0.0019408054342552159"
"2021-01-06","246","1223","0","1","176","99","79","19","23","19","0","2","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","0.05541788691146655","0.2755125028159495","0","0.00022527596305474206","0.0396485694976346","0.022302320342419465","0.01779680108132462","0.004280243298040099","0.0051813471502590676","0.004280243298040099","0","0.0004505519261094841"
"2021-01-07","215","1302","0","0","123","66","66","7","30","12","0","6","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","0.0489749430523918","0.29658314350797266","0","0","0.028018223234624145","0.015034168564920273","0.015034168564920273","0.0015945330296127562","0.00683371298405467","0.002733485193621868","0","0.001366742596810934"
"2021-01-08","301","1378","0","1","206","105","113","14","42","25","0","4","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","0.0679304897314376","0.31099074700970436","0","0.00022568269013766644","0.04649063416835929","0.023696682464454975","0.025502143985556308","0.00315955766192733","0.009478672985781991","0.005642067253441661","0","0.0009027307605506658"
"2021-01-09","111","745","0","0","46","30","33","3","10","5","0","1","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","0.037550744248985114","0.2520297699594046","0","0","0.015561569688768605","0.010148849797023005","0.011163734776725304","0.0010148849797023004","0.0033829499323410014","0.0016914749661705007","0","0.00033829499323410016"
"2021-01-10","106","747","0","0","54","32","25","2","4","4","0","4","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","0.03741616660783621","0.2636780797740911","0","0","0.01906106600776562","0.011295446523120367","0.008824567596187787","0.0007059654076950229","0.0014119308153900459","0.0014119308153900459","0","0.0014119308153900459"
"2021-01-11","212","1214","0","0","115","57","40","6","37","8","0","5","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","0.05340050377833753","0.3057934508816121","0","0","0.028967254408060455","0.014357682619647354","0.010075566750629723","0.0015113350125944584","0.009319899244332493","0.0020151133501259445","0","0.0012594458438287153"
"2021-01-12","321","1473","0","0","151","66","99","20","64","13","0","13","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","0.0663771712158809","0.304590570719603","0","0","0.031224152191894127","0.013647642679900745","0.020471464019851116","0.0041356492969396195","0.013234077750206782","0.002688172043010753","0","0.002688172043010753"
