Categoría: Todas las categorías

Semana,accidente cerebro vascular: (Colombia)
2020-01-05,0
2020-01-12,28
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,8
2020-02-16,8
2020-02-23,0
2020-03-01,16
2020-03-08,24
2020-03-15,0
2020-03-22,0
2020-03-29,7
2020-04-05,0
2020-04-12,7
2020-04-19,13
2020-04-26,13
2020-05-03,13
2020-05-10,26
2020-05-17,13
2020-05-24,0
2020-05-31,13
2020-06-07,0
2020-06-14,7
2020-06-21,23
2020-06-28,15
2020-07-05,0
2020-07-12,7
2020-07-19,0
2020-07-26,15
2020-08-02,15
2020-08-09,7
2020-08-16,0
2020-08-23,7
2020-08-30,7
2020-09-06,0
2020-09-13,7
2020-09-20,29
2020-09-27,8
2020-10-04,43
2020-10-11,9
2020-10-18,8
2020-10-25,25
2020-11-01,8
2020-11-08,8
2020-11-15,0
2020-11-22,9
2020-11-29,0
2020-12-06,10
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,10
2021-01-10,0
2021-01-17,18
2021-01-24,0
2021-01-31,100
2021-02-07,16
2021-02-14,15
2021-02-21,7
2021-02-28,8
2021-03-07,8
2021-03-14,0
2021-03-21,24
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,22
2021-04-25,15
2021-05-02,8
2021-05-09,0
2021-05-16,25
2021-05-23,8
2021-05-30,8
2021-06-06,33
2021-06-13,16
2021-06-20,8
2021-06-27,0
2021-07-04,17
2021-07-11,0
2021-07-18,0
2021-07-25,16
2021-08-01,0
2021-08-08,8
2021-08-15,17
2021-08-22,8
2021-08-29,26
2021-09-05,9
2021-09-12,0
2021-09-19,10
2021-09-26,9
2021-10-03,0
2021-10-10,10
2021-10-17,10
2021-10-24,0
2021-10-31,10
2021-11-07,9
2021-11-14,18
2021-11-21,19
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,13
2022-01-02,0
2022-01-09,10
2022-01-16,9
2022-01-23,0
2022-01-30,17
2022-02-06,8
2022-02-13,0
2022-02-20,0
2022-02-27,12
2022-03-06,24
2022-03-13,0
2022-03-20,30
2022-03-27,5
2022-04-03,0
2022-04-10,0
2022-04-17,28
2022-04-24,11
2022-05-01,0
2022-05-08,12
2022-05-15,13
2022-05-22,13
2022-05-29,7
