Categoría: Todas las categorías

Semana,artritis: (Colombia)
2020-01-05,65
2020-01-12,81
2020-01-19,82
2020-01-26,74
2020-02-02,80
2020-02-09,73
2020-02-16,76
2020-02-23,88
2020-03-01,77
2020-03-08,84
2020-03-15,68
2020-03-22,61
2020-03-29,64
2020-04-05,66
2020-04-12,63
2020-04-19,81
2020-04-26,77
2020-05-03,79
2020-05-10,71
2020-05-17,76
2020-05-24,77
2020-05-31,77
2020-06-07,70
2020-06-14,59
2020-06-21,87
2020-06-28,63
2020-07-05,67
2020-07-12,60
2020-07-19,79
2020-07-26,68
2020-08-02,73
2020-08-09,68
2020-08-16,82
2020-08-23,72
2020-08-30,73
2020-09-06,79
2020-09-13,69
2020-09-20,87
2020-09-27,75
2020-10-04,73
2020-10-11,100
2020-10-18,80
2020-10-25,69
2020-11-01,82
2020-11-08,74
2020-11-15,63
2020-11-22,68
2020-11-29,67
2020-12-06,67
2020-12-13,83
2020-12-20,61
2020-12-27,58
2021-01-03,84
2021-01-10,83
2021-01-17,61
2021-01-24,59
2021-01-31,64
2021-02-07,70
2021-02-14,77
2021-02-21,73
2021-02-28,74
2021-03-07,71
2021-03-14,74
2021-03-21,73
2021-03-28,82
2021-04-04,70
2021-04-11,70
2021-04-18,64
2021-04-25,64
2021-05-02,69
2021-05-09,72
2021-05-16,73
2021-05-23,77
2021-05-30,81
2021-06-06,63
2021-06-13,70
2021-06-20,68
2021-06-27,77
2021-07-04,85
2021-07-11,74
2021-07-18,78
2021-07-25,73
2021-08-01,71
2021-08-08,86
2021-08-15,81
2021-08-22,85
2021-08-29,81
2021-09-05,89
2021-09-12,71
2021-09-19,86
2021-09-26,67
2021-10-03,77
2021-10-10,94
2021-10-17,77
2021-10-24,83
2021-10-31,75
2021-11-07,64
2021-11-14,68
2021-11-21,85
2021-11-28,64
2021-12-05,62
2021-12-12,62
2021-12-19,59
2021-12-26,51
2022-01-02,64
2022-01-09,67
2022-01-16,70
2022-01-23,67
2022-01-30,72
2022-02-06,73
2022-02-13,89
2022-02-20,89
2022-02-27,87
2022-03-06,63
2022-03-13,95
2022-03-20,83
2022-03-27,97
2022-04-03,89
2022-04-10,78
2022-04-17,92
2022-04-24,88
2022-05-01,94
2022-05-08,82
2022-05-15,95
2022-05-22,85
2022-05-29,79
