Categoría: Todas las categorías

Semana,cancer: (Colombia)
2020-01-05,87
2020-01-12,84
2020-01-19,80
2020-01-26,79
2020-02-02,100
2020-02-09,83
2020-02-16,84
2020-02-23,75
2020-03-01,74
2020-03-08,78
2020-03-15,64
2020-03-22,54
2020-03-29,55
2020-04-05,92
2020-04-12,62
2020-04-19,57
2020-04-26,56
2020-05-03,55
2020-05-10,53
2020-05-17,56
2020-05-24,57
2020-05-31,48
2020-06-07,55
2020-06-14,53
2020-06-21,55
2020-06-28,53
2020-07-05,48
2020-07-12,52
2020-07-19,54
2020-07-26,52
2020-08-02,45
2020-08-09,51
2020-08-16,52
2020-08-23,62
2020-08-30,57
2020-09-06,50
2020-09-13,68
2020-09-20,52
2020-09-27,57
2020-10-04,56
2020-10-11,63
2020-10-18,100
2020-10-25,62
2020-11-01,61
2020-11-08,49
2020-11-15,51
2020-11-22,60
2020-11-29,57
2020-12-06,51
2020-12-13,53
2020-12-20,55
2020-12-27,59
2021-01-03,59
2021-01-10,55
2021-01-17,57
2021-01-24,56
2021-01-31,70
2021-02-07,59
2021-02-14,60
2021-02-21,58
2021-02-28,58
2021-03-07,61
2021-03-14,60
2021-03-21,57
2021-03-28,59
2021-04-04,61
2021-04-11,63
2021-04-18,59
2021-04-25,56
2021-05-02,47
2021-05-09,60
2021-05-16,57
2021-05-23,60
2021-05-30,59
2021-06-06,53
2021-06-13,58
2021-06-20,60
2021-06-27,53
2021-07-04,53
2021-07-11,54
2021-07-18,53
2021-07-25,62
2021-08-01,60
2021-08-08,58
2021-08-15,61
2021-08-22,57
2021-08-29,55
2021-09-05,55
2021-09-12,57
2021-09-19,58
2021-09-26,60
2021-10-03,66
2021-10-10,75
2021-10-17,87
2021-10-24,56
2021-10-31,60
2021-11-07,60
2021-11-14,59
2021-11-21,58
2021-11-28,56
2021-12-05,56
2021-12-12,50
2021-12-19,54
2021-12-26,60
2022-01-02,63
2022-01-09,55
2022-01-16,54
2022-01-23,55
2022-01-30,71
2022-02-06,59
2022-02-13,63
2022-02-20,61
2022-02-27,60
2022-03-06,60
2022-03-13,57
2022-03-20,68
2022-03-27,65
2022-04-03,65
2022-04-10,65
2022-04-17,65
2022-04-24,67
2022-05-01,71
2022-05-08,65
2022-05-15,69
2022-05-22,62
2022-05-29,59
