Categoría: Todas las categorías

Semana,comorbilidades: (Colombia)
2020-01-05,0
2020-01-12,0
2020-01-19,<1
2020-01-26,0
2020-02-02,1
2020-02-09,1
2020-02-16,<1
2020-02-23,<1
2020-03-01,<1
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,5
2020-04-05,9
2020-04-12,21
2020-04-19,17
2020-04-26,14
2020-05-03,12
2020-05-10,16
2020-05-17,12
2020-05-24,13
2020-05-31,7
2020-06-07,6
2020-06-14,7
2020-06-21,7
2020-06-28,5
2020-07-05,6
2020-07-12,6
2020-07-19,8
2020-07-26,11
2020-08-02,8
2020-08-09,6
2020-08-16,5
2020-08-23,10
2020-08-30,8
2020-09-06,6
2020-09-13,6
2020-09-20,7
2020-09-27,4
2020-10-04,5
2020-10-11,1
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,5
2020-11-15,2
2020-11-22,4
2020-11-29,5
2020-12-06,10
2020-12-13,16
2020-12-20,16
2020-12-27,8
2021-01-03,22
2021-01-10,15
2021-01-17,13
2021-01-24,15
2021-01-31,16
2021-02-07,9
2021-02-14,13
2021-02-21,10
2021-02-28,8
2021-03-07,7
2021-03-14,7
2021-03-21,6
2021-03-28,5
2021-04-04,8
2021-04-11,9
2021-04-18,10
2021-04-25,10
2021-05-02,8
2021-05-09,10
2021-05-16,10
2021-05-23,55
2021-05-30,67
2021-06-06,100
2021-06-13,67
2021-06-20,32
2021-06-27,29
2021-07-04,60
2021-07-11,46
2021-07-18,19
2021-07-25,21
2021-08-01,9
2021-08-08,13
2021-08-15,11
2021-08-22,10
2021-08-29,10
2021-09-05,8
2021-09-12,7
2021-09-19,8
2021-09-26,10
2021-10-03,5
2021-10-10,2
2021-10-17,1
2021-10-24,3
2021-10-31,3
2021-11-07,1
2021-11-14,1
2021-11-21,5
2021-11-28,2
2021-12-05,3
2021-12-12,<1
2021-12-19,2
2021-12-26,1
2022-01-02,5
2022-01-09,6
2022-01-16,5
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,3
2022-02-27,2
2022-03-06,2
2022-03-13,1
2022-03-20,2
2022-03-27,2
2022-04-03,1
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,3
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,1
