Categoría: Todas las categorías

Semana,EPOC: (Colombia)
2020-01-05,33
2020-01-12,31
2020-01-19,32
2020-01-26,31
2020-02-02,42
2020-02-09,40
2020-02-16,40
2020-02-23,42
2020-03-01,44
2020-03-08,41
2020-03-15,49
2020-03-22,43
2020-03-29,44
2020-04-05,100
2020-04-12,87
2020-04-19,78
2020-04-26,73
2020-05-03,62
2020-05-10,67
2020-05-17,69
2020-05-24,59
2020-05-31,41
2020-06-07,33
2020-06-14,29
2020-06-21,27
2020-06-28,24
2020-07-05,27
2020-07-12,31
2020-07-19,27
2020-07-26,42
2020-08-02,24
2020-08-09,37
2020-08-16,33
2020-08-23,34
2020-08-30,45
2020-09-06,36
2020-09-13,39
2020-09-20,30
2020-09-27,40
2020-10-04,52
2020-10-11,39
2020-10-18,37
2020-10-25,44
2020-11-01,34
2020-11-08,44
2020-11-15,43
2020-11-22,36
2020-11-29,39
2020-12-06,38
2020-12-13,42
2020-12-20,38
2020-12-27,24
2021-01-03,32
2021-01-10,31
2021-01-17,34
2021-01-24,58
2021-01-31,39
2021-02-07,36
2021-02-14,34
2021-02-21,30
2021-02-28,39
2021-03-07,35
2021-03-14,47
2021-03-21,34
2021-03-28,32
2021-04-04,37
2021-04-11,31
2021-04-18,38
2021-04-25,37
2021-05-02,30
2021-05-09,29
2021-05-16,31
2021-05-23,33
2021-05-30,48
2021-06-06,40
2021-06-13,40
2021-06-20,35
2021-06-27,39
2021-07-04,35
2021-07-11,34
2021-07-18,28
2021-07-25,28
2021-08-01,27
2021-08-08,25
2021-08-15,30
2021-08-22,39
2021-08-29,35
2021-09-05,34
2021-09-12,29
2021-09-19,36
2021-09-26,34
2021-10-03,34
2021-10-10,44
2021-10-17,33
2021-10-24,24
2021-10-31,29
2021-11-07,39
2021-11-14,40
2021-11-21,37
2021-11-28,33
2021-12-05,30
2021-12-12,28
2021-12-19,26
2021-12-26,33
2022-01-02,45
2022-01-09,32
2022-01-16,37
2022-01-23,35
2022-01-30,29
2022-02-06,38
2022-02-13,40
2022-02-20,44
2022-02-27,39
2022-03-06,43
2022-03-13,37
2022-03-20,38
2022-03-27,49
2022-04-03,46
2022-04-10,35
2022-04-17,45
2022-04-24,41
2022-05-01,43
2022-05-08,34
2022-05-15,45
2022-05-22,36
2022-05-29,41
