Categoría: Todas las categorías

Semana,enfermedades cardiovasculares: (Colombia)
2020-01-05,6
2020-01-12,5
2020-01-19,15
2020-01-26,19
2020-02-02,22
2020-02-09,39
2020-02-16,50
2020-02-23,49
2020-03-01,56
2020-03-08,76
2020-03-15,79
2020-03-22,55
2020-03-29,37
2020-04-05,29
2020-04-12,49
2020-04-19,50
2020-04-26,77
2020-05-03,88
2020-05-10,57
2020-05-17,74
2020-05-24,80
2020-05-31,57
2020-06-07,72
2020-06-14,37
2020-06-21,51
2020-06-28,27
2020-07-05,31
2020-07-12,38
2020-07-19,48
2020-07-26,57
2020-08-02,38
2020-08-09,44
2020-08-16,42
2020-08-23,29
2020-08-30,51
2020-09-06,64
2020-09-13,49
2020-09-20,45
2020-09-27,52
2020-10-04,53
2020-10-11,45
2020-10-18,34
2020-10-25,42
2020-11-01,51
2020-11-08,50
2020-11-15,48
2020-11-22,22
2020-11-29,47
2020-12-06,20
2020-12-13,5
2020-12-20,11
2020-12-27,0
2021-01-03,25
2021-01-10,14
2021-01-17,28
2021-01-24,18
2021-01-31,17
2021-02-07,32
2021-02-14,51
2021-02-21,23
2021-02-28,51
2021-03-07,46
2021-03-14,58
2021-03-21,45
2021-03-28,44
2021-04-04,50
2021-04-11,49
2021-04-18,52
2021-04-25,30
2021-05-02,27
2021-05-09,54
2021-05-16,46
2021-05-23,51
2021-05-30,24
2021-06-06,37
2021-06-13,54
2021-06-20,30
2021-06-27,13
2021-07-04,18
2021-07-11,45
2021-07-18,27
2021-07-25,20
2021-08-01,58
2021-08-08,55
2021-08-15,42
2021-08-22,64
2021-08-29,44
2021-09-05,28
2021-09-12,38
2021-09-19,68
2021-09-26,57
2021-10-03,66
2021-10-10,30
2021-10-17,20
2021-10-24,36
2021-10-31,58
2021-11-07,100
2021-11-14,56
2021-11-21,38
2021-11-28,24
2021-12-05,22
2021-12-12,31
2021-12-19,0
2021-12-26,13
2022-01-02,6
2022-01-09,21
2022-01-16,9
2022-01-23,8
2022-01-30,9
2022-02-06,21
2022-02-13,53
2022-02-20,45
2022-02-27,33
2022-03-06,36
2022-03-13,56
2022-03-20,34
2022-03-27,45
2022-04-03,38
2022-04-10,15
2022-04-17,49
2022-04-24,41
2022-05-01,47
2022-05-08,37
2022-05-15,40
2022-05-22,50
2022-05-29,58
