Categoría: Todas las categorías

Semana,enfermedades de base: (Colombia)
2020-01-05,0
2020-01-12,10
2020-01-19,0
2020-01-26,9
2020-02-02,0
2020-02-09,9
2020-02-16,8
2020-02-23,0
2020-03-01,8
2020-03-08,8
2020-03-15,39
2020-03-22,7
2020-03-29,15
2020-04-05,17
2020-04-12,45
2020-04-19,100
2020-04-26,100
2020-05-03,71
2020-05-10,27
2020-05-17,40
2020-05-24,49
2020-05-31,54
2020-06-07,34
2020-06-14,51
2020-06-21,62
2020-06-28,15
2020-07-05,31
2020-07-12,23
2020-07-19,55
2020-07-26,53
2020-08-02,15
2020-08-09,29
2020-08-16,53
2020-08-23,29
2020-08-30,37
2020-09-06,52
2020-09-13,45
2020-09-20,60
2020-09-27,48
2020-10-04,27
2020-10-11,53
2020-10-18,26
2020-10-25,42
2020-11-01,43
2020-11-08,41
2020-11-15,26
2020-11-22,9
2020-11-29,37
2020-12-06,30
2020-12-13,29
2020-12-20,34
2020-12-27,22
2021-01-03,20
2021-01-10,19
2021-01-17,46
2021-01-24,71
2021-01-31,17
2021-02-07,16
2021-02-14,31
2021-02-21,15
2021-02-28,47
2021-03-07,15
2021-03-14,51
2021-03-21,41
2021-03-28,20
2021-04-04,8
2021-04-11,45
2021-04-18,15
2021-04-25,30
2021-05-02,31
2021-05-09,70
2021-05-16,17
2021-05-23,63
2021-05-30,40
2021-06-06,91
2021-06-13,33
2021-06-20,17
2021-06-27,43
2021-07-04,26
2021-07-11,16
2021-07-18,0
2021-07-25,65
2021-08-01,58
2021-08-08,25
2021-08-15,17
2021-08-22,34
2021-08-29,35
2021-09-05,9
2021-09-12,19
2021-09-19,19
2021-09-26,48
2021-10-03,28
2021-10-10,20
2021-10-17,10
2021-10-24,36
2021-10-31,39
2021-11-07,36
2021-11-14,28
2021-11-21,38
2021-11-28,0
2021-12-05,11
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,11
2022-01-09,21
2022-01-16,28
2022-01-23,0
2022-01-30,9
2022-02-06,8
2022-02-13,6
2022-02-20,36
2022-02-27,36
2022-03-06,6
2022-03-13,30
2022-03-20,12
2022-03-27,28
2022-04-03,35
2022-04-10,15
2022-04-17,29
2022-04-24,6
2022-05-01,18
2022-05-08,6
2022-05-15,13
2022-05-22,26
2022-05-29,34
