Categoría: Todas las categorías

Semana,fibrosis: (Colombia)
2020-01-05,37
2020-01-12,50
2020-01-19,53
2020-01-26,41
2020-02-02,36
2020-02-09,47
2020-02-16,39
2020-02-23,51
2020-03-01,58
2020-03-08,81
2020-03-15,98
2020-03-22,61
2020-03-29,38
2020-04-05,57
2020-04-12,44
2020-04-19,35
2020-04-26,32
2020-05-03,56
2020-05-10,37
2020-05-17,35
2020-05-24,39
2020-05-31,36
2020-06-07,28
2020-06-14,31
2020-06-21,34
2020-06-28,35
2020-07-05,36
2020-07-12,36
2020-07-19,45
2020-07-26,35
2020-08-02,43
2020-08-09,41
2020-08-16,35
2020-08-23,39
2020-08-30,31
2020-09-06,38
2020-09-13,40
2020-09-20,41
2020-09-27,36
2020-10-04,39
2020-10-11,44
2020-10-18,43
2020-10-25,48
2020-11-01,38
2020-11-08,40
2020-11-15,40
2020-11-22,44
2020-11-29,38
2020-12-06,44
2020-12-13,34
2020-12-20,42
2020-12-27,36
2021-01-03,56
2021-01-10,53
2021-01-17,58
2021-01-24,46
2021-01-31,54
2021-02-07,51
2021-02-14,45
2021-02-21,40
2021-02-28,48
2021-03-07,47
2021-03-14,36
2021-03-21,44
2021-03-28,47
2021-04-04,44
2021-04-11,50
2021-04-18,45
2021-04-25,45
2021-05-02,43
2021-05-09,50
2021-05-16,48
2021-05-23,61
2021-05-30,58
2021-06-06,70
2021-06-13,52
2021-06-20,49
2021-06-27,62
2021-07-04,52
2021-07-11,55
2021-07-18,55
2021-07-25,51
2021-08-01,42
2021-08-08,43
2021-08-15,39
2021-08-22,38
2021-08-29,38
2021-09-05,82
2021-09-12,76
2021-09-19,42
2021-09-26,51
2021-10-03,51
2021-10-10,31
2021-10-17,37
2021-10-24,46
2021-10-31,38
2021-11-07,35
2021-11-14,48
2021-11-21,100
2021-11-28,57
2021-12-05,47
2021-12-12,44
2021-12-19,30
2021-12-26,41
2022-01-02,52
2022-01-09,66
2022-01-16,44
2022-01-23,51
2022-01-30,57
2022-02-06,59
2022-02-13,44
2022-02-20,56
2022-02-27,51
2022-03-06,50
2022-03-13,47
2022-03-20,52
2022-03-27,55
2022-04-03,56
2022-04-10,42
2022-04-17,66
2022-04-24,53
2022-05-01,55
2022-05-08,55
2022-05-15,53
2022-05-22,41
2022-05-29,55
