Categoría: Todas las categorías

Semana,Insuficiencia cardiaca: (Colombia)
2020-01-05,33
2020-01-12,25
2020-01-19,35
2020-01-26,64
2020-02-02,59
2020-02-09,51
2020-02-16,71
2020-02-23,65
2020-03-01,94
2020-03-08,92
2020-03-15,68
2020-03-22,65
2020-03-29,83
2020-04-05,33
2020-04-12,67
2020-04-19,61
2020-04-26,81
2020-05-03,90
2020-05-10,38
2020-05-17,86
2020-05-24,67
2020-05-31,69
2020-06-07,56
2020-06-14,36
2020-06-21,36
2020-06-28,50
2020-07-05,43
2020-07-12,60
2020-07-19,55
2020-07-26,58
2020-08-02,53
2020-08-09,55
2020-08-16,65
2020-08-23,55
2020-08-30,65
2020-09-06,69
2020-09-13,71
2020-09-20,66
2020-09-27,91
2020-10-04,81
2020-10-11,56
2020-10-18,76
2020-10-25,74
2020-11-01,64
2020-11-08,73
2020-11-15,52
2020-11-22,63
2020-11-29,46
2020-12-06,37
2020-12-13,48
2020-12-20,48
2020-12-27,18
2021-01-03,20
2021-01-10,41
2021-01-17,46
2021-01-24,32
2021-01-31,53
2021-02-07,69
2021-02-14,62
2021-02-21,63
2021-02-28,56
2021-03-07,69
2021-03-14,53
2021-03-21,64
2021-03-28,45
2021-04-04,68
2021-04-11,74
2021-04-18,63
2021-04-25,81
2021-05-02,58
2021-05-09,56
2021-05-16,47
2021-05-23,57
2021-05-30,60
2021-06-06,63
2021-06-13,60
2021-06-20,81
2021-06-27,57
2021-07-04,44
2021-07-11,67
2021-07-18,38
2021-07-25,48
2021-08-01,82
2021-08-08,61
2021-08-15,53
2021-08-22,61
2021-08-29,72
2021-09-05,74
2021-09-12,62
2021-09-19,64
2021-09-26,79
2021-10-03,53
2021-10-10,63
2021-10-17,78
2021-10-24,72
2021-10-31,42
2021-11-07,45
2021-11-14,68
2021-11-21,57
2021-11-28,61
2021-12-05,57
2021-12-12,47
2021-12-19,44
2021-12-26,13
2022-01-02,55
2022-01-09,52
2022-01-16,34
2022-01-23,48
2022-01-30,45
2022-02-06,78
2022-02-13,78
2022-02-20,87
2022-02-27,72
2022-03-06,61
2022-03-13,78
2022-03-20,81
2022-03-27,94
2022-04-03,85
2022-04-10,42
2022-04-17,100
2022-04-24,95
2022-05-01,75
2022-05-08,57
2022-05-15,66
2022-05-22,72
2022-05-29,34
