Categoría: Todas las categorías

Semana,insuficiencia renal: (Colombia)
2020-01-05,51
2020-01-12,49
2020-01-19,60
2020-01-26,59
2020-02-02,53
2020-02-09,53
2020-02-16,56
2020-02-23,70
2020-03-01,60
2020-03-08,90
2020-03-15,59
2020-03-22,51
2020-03-29,64
2020-04-05,69
2020-04-12,87
2020-04-19,58
2020-04-26,72
2020-05-03,83
2020-05-10,69
2020-05-17,74
2020-05-24,63
2020-05-31,69
2020-06-07,78
2020-06-14,75
2020-06-21,67
2020-06-28,53
2020-07-05,67
2020-07-12,73
2020-07-19,61
2020-07-26,49
2020-08-02,47
2020-08-09,45
2020-08-16,66
2020-08-23,78
2020-08-30,79
2020-09-06,59
2020-09-13,85
2020-09-20,89
2020-09-27,52
2020-10-04,84
2020-10-11,74
2020-10-18,66
2020-10-25,71
2020-11-01,69
2020-11-08,48
2020-11-15,71
2020-11-22,69
2020-11-29,75
2020-12-06,55
2020-12-13,66
2020-12-20,54
2020-12-27,52
2021-01-03,58
2021-01-10,54
2021-01-17,57
2021-01-24,85
2021-01-31,64
2021-02-07,61
2021-02-14,55
2021-02-21,69
2021-02-28,86
2021-03-07,67
2021-03-14,69
2021-03-21,66
2021-03-28,80
2021-04-04,63
2021-04-11,85
2021-04-18,65
2021-04-25,46
2021-05-02,78
2021-05-09,72
2021-05-16,61
2021-05-23,100
2021-05-30,67
2021-06-06,70
2021-06-13,52
2021-06-20,67
2021-06-27,74
2021-07-04,73
2021-07-11,65
2021-07-18,71
2021-07-25,64
2021-08-01,70
2021-08-08,87
2021-08-15,66
2021-08-22,68
2021-08-29,74
2021-09-05,77
2021-09-12,51
2021-09-19,58
2021-09-26,81
2021-10-03,69
2021-10-10,51
2021-10-17,64
2021-10-24,80
2021-10-31,79
2021-11-07,70
2021-11-14,70
2021-11-21,64
2021-11-28,81
2021-12-05,63
2021-12-12,71
2021-12-19,49
2021-12-26,39
2022-01-02,64
2022-01-09,54
2022-01-16,57
2022-01-23,56
2022-01-30,78
2022-02-06,65
2022-02-13,79
2022-02-20,70
2022-02-27,83
2022-03-06,75
2022-03-13,61
2022-03-20,65
2022-03-27,78
2022-04-03,84
2022-04-10,62
2022-04-17,93
2022-04-24,99
2022-05-01,76
2022-05-08,78
2022-05-15,100
2022-05-22,73
2022-05-29,78
