Categoría: Todas las categorías

Semana,sindrome down: (Colombia)
2020-01-05,23
2020-01-12,35
2020-01-19,36
2020-01-26,47
2020-02-02,44
2020-02-09,50
2020-02-16,56
2020-02-23,58
2020-03-01,55
2020-03-08,69
2020-03-15,71
2020-03-22,46
2020-03-29,37
2020-04-05,29
2020-04-12,42
2020-04-19,46
2020-04-26,46
2020-05-03,43
2020-05-10,49
2020-05-17,42
2020-05-24,45
2020-05-31,40
2020-06-07,44
2020-06-14,33
2020-06-21,32
2020-06-28,36
2020-07-05,37
2020-07-12,34
2020-07-19,27
2020-07-26,47
2020-08-02,38
2020-08-09,40
2020-08-16,37
2020-08-23,37
2020-08-30,43
2020-09-06,32
2020-09-13,40
2020-09-20,32
2020-09-27,39
2020-10-04,34
2020-10-11,35
2020-10-18,44
2020-10-25,31
2020-11-01,24
2020-11-08,35
2020-11-15,39
2020-11-22,36
2020-11-29,35
2020-12-06,33
2020-12-13,31
2020-12-20,25
2020-12-27,23
2021-01-03,22
2021-01-10,28
2021-01-17,31
2021-01-24,36
2021-01-31,31
2021-02-07,39
2021-02-14,31
2021-02-21,42
2021-02-28,44
2021-03-07,42
2021-03-14,45
2021-03-21,91
2021-03-28,41
2021-04-04,42
2021-04-11,37
2021-04-18,33
2021-04-25,34
2021-05-02,42
2021-05-09,38
2021-05-16,28
2021-05-23,35
2021-05-30,36
2021-06-06,24
2021-06-13,29
2021-06-20,35
2021-06-27,33
2021-07-04,62
2021-07-11,36
2021-07-18,45
2021-07-25,33
2021-08-01,31
2021-08-08,40
2021-08-15,34
2021-08-22,41
2021-08-29,41
2021-09-05,37
2021-09-12,34
2021-09-19,35
2021-09-26,41
2021-10-03,33
2021-10-10,28
2021-10-17,43
2021-10-24,39
2021-10-31,31
2021-11-07,41
2021-11-14,36
2021-11-21,25
2021-11-28,40
2021-12-05,34
2021-12-12,22
2021-12-19,28
2021-12-26,25
2022-01-02,30
2022-01-09,28
2022-01-16,39
2022-01-23,33
2022-01-30,30
2022-02-06,41
2022-02-13,62
2022-02-20,57
2022-02-27,67
2022-03-06,59
2022-03-13,80
2022-03-20,100
2022-03-27,60
2022-04-03,63
2022-04-10,35
2022-04-17,54
2022-04-24,48
2022-05-01,51
2022-05-08,44
2022-05-15,49
2022-05-22,55
2022-05-29,58
