Categoría: Todas las categorías

Semana,tuberculosis: (Colombia)
2020-01-05,49
2020-01-12,58
2020-01-19,50
2020-01-26,57
2020-02-02,61
2020-02-09,59
2020-02-16,58
2020-02-23,68
2020-03-01,76
2020-03-08,84
2020-03-15,95
2020-03-22,80
2020-03-29,64
2020-04-05,67
2020-04-12,71
2020-04-19,62
2020-04-26,48
2020-05-03,57
2020-05-10,60
2020-05-17,48
2020-05-24,47
2020-05-31,51
2020-06-07,45
2020-06-14,35
2020-06-21,36
2020-06-28,39
2020-07-05,41
2020-07-12,40
2020-07-19,41
2020-07-26,38
2020-08-02,47
2020-08-09,41
2020-08-16,51
2020-08-23,45
2020-08-30,41
2020-09-06,47
2020-09-13,45
2020-09-20,39
2020-09-27,43
2020-10-04,44
2020-10-11,44
2020-10-18,52
2020-10-25,47
2020-11-01,41
2020-11-08,42
2020-11-15,31
2020-11-22,39
2020-11-29,28
2020-12-06,47
2020-12-13,35
2020-12-20,32
2020-12-27,29
2021-01-03,32
2021-01-10,35
2021-01-17,81
2021-01-24,71
2021-01-31,40
2021-02-07,45
2021-02-14,52
2021-02-21,48
2021-02-28,45
2021-03-07,49
2021-03-14,43
2021-03-21,56
2021-03-28,41
2021-04-04,50
2021-04-11,44
2021-04-18,56
2021-04-25,48
2021-05-02,41
2021-05-09,37
2021-05-16,41
2021-05-23,40
2021-05-30,39
2021-06-06,49
2021-06-13,41
2021-06-20,45
2021-06-27,38
2021-07-04,42
2021-07-11,45
2021-07-18,33
2021-07-25,41
2021-08-01,44
2021-08-08,49
2021-08-15,39
2021-08-22,45
2021-08-29,38
2021-09-05,50
2021-09-12,53
2021-09-19,43
2021-09-26,50
2021-10-03,45
2021-10-10,55
2021-10-17,38
2021-10-24,52
2021-10-31,53
2021-11-07,47
2021-11-14,44
2021-11-21,47
2021-11-28,41
2021-12-05,36
2021-12-12,45
2021-12-19,32
2021-12-26,35
2022-01-02,38
2022-01-09,50
2022-01-16,38
2022-01-23,48
2022-01-30,55
2022-02-06,58
2022-02-13,69
2022-02-20,61
2022-02-27,64
2022-03-06,59
2022-03-13,75
2022-03-20,100
2022-03-27,73
2022-04-03,75
2022-04-10,63
2022-04-17,73
2022-04-24,73
2022-05-01,76
2022-05-08,72
2022-05-15,72
2022-05-22,69
2022-05-29,55
