Categoría: Todas las categorías

Semana,vih: (Colombia)
2020-01-05,63
2020-01-12,68
2020-01-19,74
2020-01-26,79
2020-02-02,72
2020-02-09,70
2020-02-16,65
2020-02-23,74
2020-03-01,75
2020-03-08,100
2020-03-15,99
2020-03-22,87
2020-03-29,61
2020-04-05,57
2020-04-12,52
2020-04-19,47
2020-04-26,61
2020-05-03,56
2020-05-10,60
2020-05-17,58
2020-05-24,50
2020-05-31,47
2020-06-07,50
2020-06-14,49
2020-06-21,50
2020-06-28,44
2020-07-05,42
2020-07-12,49
2020-07-19,38
2020-07-26,41
2020-08-02,41
2020-08-09,44
2020-08-16,48
2020-08-23,42
2020-08-30,42
2020-09-06,45
2020-09-13,44
2020-09-20,47
2020-09-27,45
2020-10-04,49
2020-10-11,41
2020-10-18,48
2020-10-25,50
2020-11-01,42
2020-11-08,49
2020-11-15,46
2020-11-22,52
2020-11-29,66
2020-12-06,49
2020-12-13,59
2020-12-20,53
2020-12-27,46
2021-01-03,49
2021-01-10,48
2021-01-17,47
2021-01-24,51
2021-01-31,48
2021-02-07,52
2021-02-14,51
2021-02-21,49
2021-02-28,48
2021-03-07,49
2021-03-14,46
2021-03-21,48
2021-03-28,46
2021-04-04,52
2021-04-11,50
2021-04-18,56
2021-04-25,46
2021-05-02,41
2021-05-09,44
2021-05-16,43
2021-05-23,50
2021-05-30,46
2021-06-06,58
2021-06-13,50
2021-06-20,51
2021-06-27,57
2021-07-04,50
2021-07-11,50
2021-07-18,52
2021-07-25,46
2021-08-01,55
2021-08-08,51
2021-08-15,51
2021-08-22,52
2021-08-29,52
2021-09-05,54
2021-09-12,54
2021-09-19,53
2021-09-26,51
2021-10-03,51
2021-10-10,52
2021-10-17,52
2021-10-24,60
2021-10-31,51
2021-11-07,56
2021-11-14,53
2021-11-21,51
2021-11-28,78
2021-12-05,54
2021-12-12,46
2021-12-19,44
2021-12-26,48
2022-01-02,45
2022-01-09,41
2022-01-16,45
2022-01-23,46
2022-01-30,50
2022-02-06,54
2022-02-13,55
2022-02-20,51
2022-02-27,56
2022-03-06,53
2022-03-13,54
2022-03-20,54
2022-03-27,59
2022-04-03,64
2022-04-10,52
2022-04-17,59
2022-04-24,63
2022-05-01,57
2022-05-08,58
2022-05-15,55
2022-05-22,61
2022-05-29,52
