Categoría: Todas las categorías

Semana,vasculitis: (Colombia)
2020-01-05,90
2020-01-12,88
2020-01-19,69
2020-01-26,66
2020-02-02,72
2020-02-09,69
2020-02-16,84
2020-02-23,46
2020-03-01,53
2020-03-08,81
2020-03-15,28
2020-03-22,30
2020-03-29,19
2020-04-05,34
2020-04-12,54
2020-04-19,41
2020-04-26,74
2020-05-03,33
2020-05-10,72
2020-05-17,82
2020-05-24,57
2020-05-31,44
2020-06-07,52
2020-06-14,41
2020-06-21,51
2020-06-28,43
2020-07-05,35
2020-07-12,42
2020-07-19,40
2020-07-26,39
2020-08-02,47
2020-08-09,56
2020-08-16,35
2020-08-23,69
2020-08-30,48
2020-09-06,57
2020-09-13,42
2020-09-20,57
2020-09-27,64
2020-10-04,40
2020-10-11,81
2020-10-18,56
2020-10-25,47
2020-11-01,30
2020-11-08,25
2020-11-15,49
2020-11-22,40
2020-11-29,52
2020-12-06,51
2020-12-13,55
2020-12-20,40
2020-12-27,74
2021-01-03,66
2021-01-10,59
2021-01-17,61
2021-01-24,76
2021-01-31,39
2021-02-07,61
2021-02-14,64
2021-02-21,50
2021-02-28,36
2021-03-07,51
2021-03-14,55
2021-03-21,29
2021-03-28,60
2021-04-04,70
2021-04-11,50
2021-04-18,56
2021-04-25,50
2021-05-02,35
2021-05-09,63
2021-05-16,34
2021-05-23,56
2021-05-30,61
2021-06-06,97
2021-06-13,63
2021-06-20,43
2021-06-27,66
2021-07-04,77
2021-07-11,92
2021-07-18,41
2021-07-25,66
2021-08-01,38
2021-08-08,39
2021-08-15,60
2021-08-22,56
2021-08-29,62
2021-09-05,33
2021-09-12,44
2021-09-19,74
2021-09-26,44
2021-10-03,44
2021-10-10,62
2021-10-17,30
2021-10-24,56
2021-10-31,50
2021-11-07,51
2021-11-14,38
2021-11-21,39
2021-11-28,20
2021-12-05,77
2021-12-12,52
2021-12-19,6
2021-12-26,52
2022-01-02,40
2022-01-09,43
2022-01-16,52
2022-01-23,50
2022-01-30,44
2022-02-06,67
2022-02-13,76
2022-02-20,70
2022-02-27,83
2022-03-06,46
2022-03-13,100
2022-03-20,72
2022-03-27,65
2022-04-03,63
2022-04-10,68
2022-04-17,99
2022-04-24,68
2022-05-01,62
2022-05-08,85
2022-05-15,68
2022-05-22,61
2022-05-29,70
