Categoría: Todas las categorías

Semana,dioxido de cloro: (Colombia)
2020-01-05,<1
2020-01-12,0
2020-01-19,0
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,0
2020-02-23,1
2020-03-01,<1
2020-03-08,1
2020-03-15,1
2020-03-22,4
2020-03-29,15
2020-04-05,21
2020-04-12,38
2020-04-19,19
2020-04-26,12
2020-05-03,29
2020-05-10,7
2020-05-17,9
2020-05-24,10
2020-05-31,7
2020-06-07,7
2020-06-14,6
2020-06-21,8
2020-06-28,12
2020-07-05,16
2020-07-12,24
2020-07-19,24
2020-07-26,26
2020-08-02,21
2020-08-09,19
2020-08-16,16
2020-08-23,11
2020-08-30,9
2020-09-06,7
2020-09-13,5
2020-09-20,6
2020-09-27,4
2020-10-04,5
2020-10-11,7
2020-10-18,6
2020-10-25,9
2020-11-01,9
2020-11-08,7
2020-11-15,6
2020-11-22,8
2020-11-29,7
2020-12-06,10
2020-12-13,12
2020-12-20,16
2020-12-27,18
2021-01-03,30
2021-01-10,39
2021-01-17,20
2021-01-24,100
2021-01-31,11
2021-02-07,11
2021-02-14,7
2021-02-21,3
2021-02-28,4
2021-03-07,3
2021-03-14,2
2021-03-21,3
2021-03-28,6
2021-04-04,7
2021-04-11,8
2021-04-18,8
2021-04-25,8
2021-05-02,5
2021-05-09,5
2021-05-16,5
2021-05-23,8
2021-05-30,11
2021-06-06,11
2021-06-13,9
2021-06-20,10
2021-06-27,11
2021-07-04,13
2021-07-11,7
2021-07-18,5
2021-07-25,6
2021-08-01,4
2021-08-08,5
2021-08-15,6
2021-08-22,4
2021-08-29,2
2021-09-05,2
2021-09-12,1
2021-09-19,2
2021-09-26,3
2021-10-03,3
2021-10-10,2
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,2
2021-11-14,3
2021-11-21,3
2021-11-28,2
2021-12-05,2
2021-12-12,3
2021-12-19,3
2021-12-26,1
2022-01-02,4
2022-01-09,3
2022-01-16,2
2022-01-23,3
2022-01-30,1
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,2
