Categoría: Todas las categorías

Semana,moringa: (Colombia)
2020-01-05,6
2020-01-12,5
2020-01-19,5
2020-01-26,4
2020-02-02,4
2020-02-09,5
2020-02-16,4
2020-02-23,4
2020-03-01,5
2020-03-08,6
2020-03-15,5
2020-03-22,4
2020-03-29,4
2020-04-05,5
2020-04-12,5
2020-04-19,5
2020-04-26,4
2020-05-03,3
2020-05-10,4
2020-05-17,4
2020-05-24,4
2020-05-31,5
2020-06-07,5
2020-06-14,6
2020-06-21,5
2020-06-28,5
2020-07-05,5
2020-07-12,5
2020-07-19,6
2020-07-26,7
2020-08-02,81
2020-08-09,100
2020-08-16,77
2020-08-23,52
2020-08-30,41
2020-09-06,32
2020-09-13,27
2020-09-20,24
2020-09-27,22
2020-10-04,24
2020-10-11,27
2020-10-18,26
2020-10-25,24
2020-11-01,20
2020-11-08,19
2020-11-15,17
2020-11-22,18
2020-11-29,19
2020-12-06,18
2020-12-13,21
2020-12-20,22
2020-12-27,24
2021-01-03,35
2021-01-10,33
2021-01-17,29
2021-01-24,25
2021-01-31,17
2021-02-07,12
2021-02-14,11
2021-02-21,10
2021-02-28,8
2021-03-07,8
2021-03-14,7
2021-03-21,8
2021-03-28,8
2021-04-04,12
2021-04-11,13
2021-04-18,12
2021-04-25,11
2021-05-02,10
2021-05-09,10
2021-05-16,11
2021-05-23,13
2021-05-30,13
2021-06-06,14
2021-06-13,13
2021-06-20,16
2021-06-27,13
2021-07-04,13
2021-07-11,11
2021-07-18,10
2021-07-25,8
2021-08-01,7
2021-08-08,5
2021-08-15,6
2021-08-22,6
2021-08-29,6
2021-09-05,4
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,5
2021-10-10,4
2021-10-17,3
2021-10-24,3
2021-10-31,4
2021-11-07,4
2021-11-14,5
2021-11-21,5
2021-11-28,4
2021-12-05,3
2021-12-12,4
2021-12-19,4
2021-12-26,6
2022-01-02,10
2022-01-09,10
2022-01-16,9
2022-01-23,7
2022-01-30,6
2022-02-06,5
2022-02-13,4
2022-02-20,4
2022-02-27,4
2022-03-06,3
2022-03-13,3
2022-03-20,5
2022-03-27,3
2022-04-03,4
2022-04-10,4
2022-04-17,4
2022-04-24,4
2022-05-01,3
2022-05-08,3
2022-05-15,4
2022-05-22,3
2022-05-29,3
