Categoría: Todas las categorías

Semana,antivacuna: (Colombia)
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,14
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,18
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,14
2021-05-09,0
2021-05-16,15
2021-05-23,28
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,14
2021-08-01,30
2021-08-08,45
2021-08-15,0
2021-08-22,15
2021-08-29,0
2021-09-05,50
2021-09-12,0
2021-09-19,17
2021-09-26,0
2021-10-03,17
2021-10-10,0
2021-10-17,53
2021-10-24,0
2021-10-31,0
2021-11-07,16
2021-11-14,17
2021-11-21,68
2021-11-28,17
2021-12-05,39
2021-12-12,36
2021-12-19,43
2021-12-26,23
2022-01-02,99
2022-01-09,37
2022-01-16,100
2022-01-23,73
2022-01-30,46
2022-02-06,15
2022-02-13,44
2022-02-20,0
2022-02-27,0
2022-03-06,11
2022-03-13,0
2022-03-20,0
2022-03-27,10
2022-04-03,0
2022-04-10,13
2022-04-17,0
2022-04-24,10
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,14
