Categoría: Todas las categorías

Semana,infertilidad: (Colombia)
2021-01-03,29
2021-01-10,34
2021-01-17,38
2021-01-24,57
2021-01-31,55
2021-02-07,52
2021-02-14,65
2021-02-21,99
2021-02-28,69
2021-03-07,59
2021-03-14,86
2021-03-21,63
2021-03-28,41
2021-04-04,77
2021-04-11,93
2021-04-18,78
2021-04-25,49
2021-05-02,45
2021-05-09,32
2021-05-16,40
2021-05-23,70
2021-05-30,56
2021-06-06,54
2021-06-13,59
2021-06-20,50
2021-06-27,51
2021-07-04,31
2021-07-11,19
2021-07-18,48
2021-07-25,57
2021-08-01,44
2021-08-08,79
2021-08-15,69
2021-08-22,45
2021-08-29,57
2021-09-05,44
2021-09-12,45
2021-09-19,46
2021-09-26,56
2021-10-03,50
2021-10-10,96
2021-10-17,52
2021-10-24,54
2021-10-31,46
2021-11-07,59
2021-11-14,33
2021-11-21,45
2021-11-28,40
2021-12-05,13
2021-12-12,24
2021-12-19,29
2021-12-26,60
2022-01-02,33
2022-01-09,49
2022-01-16,55
2022-01-23,43
2022-01-30,35
2022-02-06,48
2022-02-13,66
2022-02-20,50
2022-02-27,100
2022-03-06,64
2022-03-13,35
2022-03-20,51
2022-03-27,86
2022-04-03,35
2022-04-10,66
2022-04-17,30
2022-04-24,34
2022-05-01,65
2022-05-08,44
2022-05-15,51
2022-05-22,59
2022-05-29,85
2022-06-05,45
2022-06-12,67
2022-06-19,40
2022-06-26,23
