Categoría: Todas las categorías

Semana,ansiedad: (Colombia)
2021-01-03,86
2021-01-10,79
2021-01-17,83
2021-01-24,84
2021-01-31,74
2021-02-07,80
2021-02-14,72
2021-02-21,69
2021-02-28,72
2021-03-07,71
2021-03-14,73
2021-03-21,80
2021-03-28,75
2021-04-04,83
2021-04-11,84
2021-04-18,81
2021-04-25,69
2021-05-02,73
2021-05-09,81
2021-05-16,78
2021-05-23,86
2021-05-30,82
2021-06-06,81
2021-06-13,71
2021-06-20,73
2021-06-27,77
2021-07-04,76
2021-07-11,73
2021-07-18,97
2021-07-25,77
2021-08-01,83
2021-08-08,88
2021-08-15,81
2021-08-22,76
2021-08-29,84
2021-09-05,80
2021-09-12,83
2021-09-19,83
2021-09-26,87
2021-10-03,75
2021-10-10,80
2021-10-17,94
2021-10-24,83
2021-10-31,74
2021-11-07,91
2021-11-14,77
2021-11-21,81
2021-11-28,73
2021-12-05,68
2021-12-12,70
2021-12-19,68
2021-12-26,83
2022-01-02,75
2022-01-09,84
2022-01-16,80
2022-01-23,77
2022-01-30,87
2022-02-06,89
2022-02-13,93
2022-02-20,93
2022-02-27,94
2022-03-06,89
2022-03-13,87
2022-03-20,87
2022-03-27,100
2022-04-03,92
2022-04-10,85
2022-04-17,92
2022-04-24,92
2022-05-01,94
2022-05-08,95
2022-05-15,91
2022-05-22,94
2022-05-29,88
2022-06-05,94
2022-06-12,87
2022-06-19,82
2022-06-26,89
