Categoría: Todas las categorías

Semana,cansancio: (Colombia)
2021-01-03,67
2021-01-10,70
2021-01-17,92
2021-01-24,69
2021-01-31,66
2021-02-07,77
2021-02-14,75
2021-02-21,74
2021-02-28,60
2021-03-07,65
2021-03-14,63
2021-03-21,65
2021-03-28,80
2021-04-04,64
2021-04-11,63
2021-04-18,100
2021-04-25,67
2021-05-02,65
2021-05-09,71
2021-05-16,71
2021-05-23,72
2021-05-30,78
2021-06-06,84
2021-06-13,65
2021-06-20,76
2021-06-27,65
2021-07-04,85
2021-07-11,98
2021-07-18,81
2021-07-25,74
2021-08-01,73
2021-08-08,89
2021-08-15,70
2021-08-22,70
2021-08-29,81
2021-09-05,74
2021-09-12,63
2021-09-19,80
2021-09-26,75
2021-10-03,86
2021-10-10,66
2021-10-17,76
2021-10-24,51
2021-10-31,67
2021-11-07,66
2021-11-14,62
2021-11-21,74
2021-11-28,59
2021-12-05,57
2021-12-12,88
2021-12-19,90
2021-12-26,80
2022-01-02,57
2022-01-09,59
2022-01-16,63
2022-01-23,77
2022-01-30,74
2022-02-06,73
2022-02-13,72
2022-02-20,91
2022-02-27,72
2022-03-06,66
2022-03-13,88
2022-03-20,92
2022-03-27,76
2022-04-03,100
2022-04-10,80
2022-04-17,68
2022-04-24,88
2022-05-01,75
2022-05-08,83
2022-05-15,87
2022-05-22,75
2022-05-29,78
2022-06-05,84
2022-06-12,81
2022-06-19,82
2022-06-26,72
