Categoría: Todas las categorías

Semana,depresion: (Colombia)
2021-01-03,68
2021-01-10,76
2021-01-17,65
2021-01-24,64
2021-01-31,68
2021-02-07,67
2021-02-14,79
2021-02-21,81
2021-02-28,90
2021-03-07,75
2021-03-14,78
2021-03-21,79
2021-03-28,83
2021-04-04,68
2021-04-11,84
2021-04-18,71
2021-04-25,71
2021-05-02,64
2021-05-09,78
2021-05-16,74
2021-05-23,71
2021-05-30,69
2021-06-06,68
2021-06-13,72
2021-06-20,65
2021-06-27,65
2021-07-04,51
2021-07-11,65
2021-07-18,74
2021-07-25,75
2021-08-01,63
2021-08-08,77
2021-08-15,73
2021-08-22,77
2021-08-29,75
2021-09-05,74
2021-09-12,72
2021-09-19,75
2021-09-26,81
2021-10-03,81
2021-10-10,77
2021-10-17,75
2021-10-24,69
2021-10-31,75
2021-11-07,71
2021-11-14,67
2021-11-21,73
2021-11-28,57
2021-12-05,58
2021-12-12,54
2021-12-19,51
2021-12-26,49
2022-01-02,48
2022-01-09,78
2022-01-16,60
2022-01-23,61
2022-01-30,80
2022-02-06,89
2022-02-13,80
2022-02-20,88
2022-02-27,88
2022-03-06,90
2022-03-13,96
2022-03-20,89
2022-03-27,100
2022-04-03,94
2022-04-10,82
2022-04-17,92
2022-04-24,91
2022-05-01,81
2022-05-08,96
2022-05-15,89
2022-05-22,81
2022-05-29,78
2022-06-05,76
2022-06-12,76
2022-06-19,72
2022-06-26,73
