Categoría: Todas las categorías

Semana,desesperanza: (Colombia)
2021-01-03,19
2021-01-10,18
2021-01-17,35
2021-01-24,25
2021-01-31,55
2021-02-07,45
2021-02-14,29
2021-02-21,21
2021-02-28,51
2021-03-07,58
2021-03-14,14
2021-03-21,0
2021-03-28,9
2021-04-04,58
2021-04-11,49
2021-04-18,28
2021-04-25,35
2021-05-02,79
2021-05-09,51
2021-05-16,78
2021-05-23,37
2021-05-30,30
2021-06-06,54
2021-06-13,46
2021-06-20,32
2021-06-27,40
2021-07-04,17
2021-07-11,38
2021-07-18,34
2021-07-25,15
2021-08-01,16
2021-08-08,32
2021-08-15,39
2021-08-22,32
2021-08-29,16
2021-09-05,26
2021-09-12,18
2021-09-19,27
2021-09-26,27
2021-10-03,44
2021-10-10,67
2021-10-17,83
2021-10-24,17
2021-10-31,27
2021-11-07,34
2021-11-14,35
2021-11-21,27
2021-11-28,18
2021-12-05,10
2021-12-12,19
2021-12-19,23
2021-12-26,36
2022-01-02,10
2022-01-09,20
2022-01-16,18
2022-01-23,46
2022-01-30,48
2022-02-06,100
2022-02-13,58
2022-02-20,62
2022-02-27,62
2022-03-06,51
2022-03-13,28
2022-03-20,46
2022-03-27,26
2022-04-03,99
2022-04-10,14
2022-04-17,59
2022-04-24,43
2022-05-01,27
2022-05-08,35
2022-05-15,19
2022-05-22,43
2022-05-29,26
2022-06-05,26
2022-06-12,7
2022-06-19,14
2022-06-26,15
