Categoría: Todas las categorías

Semana,insomio: (Colombia)
2021-01-03,45
2021-01-10,79
2021-01-17,35
2021-01-24,27
2021-01-31,25
2021-02-07,36
2021-02-14,100
2021-02-21,40
2021-02-28,12
2021-03-07,52
2021-03-14,33
2021-03-21,37
2021-03-28,52
2021-04-04,52
2021-04-11,17
2021-04-18,39
2021-04-25,45
2021-05-02,46
2021-05-09,64
2021-05-16,69
2021-05-23,77
2021-05-30,54
2021-06-06,31
2021-06-13,25
2021-06-20,32
2021-06-27,58
2021-07-04,20
2021-07-11,37
2021-07-18,54
2021-07-25,30
2021-08-01,25
2021-08-08,57
2021-08-15,38
2021-08-22,45
2021-08-29,33
2021-09-05,14
2021-09-12,0
2021-09-19,44
2021-09-26,57
2021-10-03,14
2021-10-10,15
2021-10-17,22
2021-10-24,41
2021-10-31,22
2021-11-07,34
2021-11-14,28
2021-11-21,29
2021-11-28,29
2021-12-05,33
2021-12-12,31
2021-12-19,18
2021-12-26,10
2022-01-02,42
2022-01-09,24
2022-01-16,35
2022-01-23,31
2022-01-30,26
2022-02-06,12
2022-02-13,33
2022-02-20,23
2022-02-27,41
2022-03-06,23
2022-03-13,13
2022-03-20,46
2022-03-27,13
2022-04-03,27
2022-04-10,34
2022-04-17,60
2022-04-24,22
2022-05-01,18
2022-05-08,28
2022-05-15,40
2022-05-22,20
2022-05-29,41
2022-06-05,52
2022-06-12,42
2022-06-19,28
2022-06-26,36
