Categoría: Todas las categorías

Semana,miedo: (Colombia)
2021-01-03,88
2021-01-10,80
2021-01-17,78
2021-01-24,78
2021-01-31,74
2021-02-07,84
2021-02-14,79
2021-02-21,81
2021-02-28,84
2021-03-07,87
2021-03-14,86
2021-03-21,89
2021-03-28,97
2021-04-04,82
2021-04-11,88
2021-04-18,80
2021-04-25,86
2021-05-02,90
2021-05-09,89
2021-05-16,85
2021-05-23,81
2021-05-30,81
2021-06-06,89
2021-06-13,79
2021-06-20,73
2021-06-27,74
2021-07-04,77
2021-07-11,74
2021-07-18,76
2021-07-25,81
2021-08-01,76
2021-08-08,75
2021-08-15,86
2021-08-22,80
2021-08-29,80
2021-09-05,75
2021-09-12,75
2021-09-19,80
2021-09-26,79
2021-10-03,77
2021-10-10,72
2021-10-17,84
2021-10-24,89
2021-10-31,82
2021-11-07,100
2021-11-14,88
2021-11-21,77
2021-11-28,63
2021-12-05,69
2021-12-12,60
2021-12-19,55
2021-12-26,81
2022-01-02,75
2022-01-09,80
2022-01-16,68
2022-01-23,69
2022-01-30,70
2022-02-06,67
2022-02-13,78
2022-02-20,79
2022-02-27,76
2022-03-06,73
2022-03-13,83
2022-03-20,85
2022-03-27,81
2022-04-03,76
2022-04-10,93
2022-04-17,80
2022-04-24,81
2022-05-01,87
2022-05-08,77
2022-05-15,77
2022-05-22,80
2022-05-29,75
2022-06-05,82
2022-06-12,78
2022-06-19,81
2022-06-26,81
