Categoría: Todas las categorías

Semana,preocupacion: (Colombia)
2021-01-03,22
2021-01-10,43
2021-01-17,42
2021-01-24,54
2021-01-31,52
2021-02-07,68
2021-02-14,39
2021-02-21,43
2021-02-28,48
2021-03-07,65
2021-03-14,82
2021-03-21,69
2021-03-28,6
2021-04-04,60
2021-04-11,63
2021-04-18,62
2021-04-25,63
2021-05-02,56
2021-05-09,74
2021-05-16,56
2021-05-23,66
2021-05-30,63
2021-06-06,88
2021-06-13,32
2021-06-20,62
2021-06-27,43
2021-07-04,30
2021-07-11,51
2021-07-18,55
2021-07-25,64
2021-08-01,46
2021-08-08,66
2021-08-15,28
2021-08-22,38
2021-08-29,39
2021-09-05,58
2021-09-12,21
2021-09-19,81
2021-09-26,59
2021-10-03,80
2021-10-10,57
2021-10-17,39
2021-10-24,66
2021-10-31,65
2021-11-07,61
2021-11-14,53
2021-11-21,21
2021-11-28,38
2021-12-05,43
2021-12-12,23
2021-12-19,34
2021-12-26,14
2022-01-02,31
2022-01-09,41
2022-01-16,31
2022-01-23,64
2022-01-30,39
2022-02-06,46
2022-02-13,35
2022-02-20,34
2022-02-27,51
2022-03-06,68
2022-03-13,50
2022-03-20,62
2022-03-27,50
2022-04-03,56
2022-04-10,25
2022-04-17,39
2022-04-24,62
2022-05-01,49
2022-05-08,100
2022-05-15,71
2022-05-22,56
2022-05-29,42
2022-06-05,74
2022-06-12,59
2022-06-19,47
2022-06-26,40
