Categoría: Todas las categorías

Semana,suicidio: (Colombia)
2021-01-03,30
2021-01-10,29
2021-01-17,38
2021-01-24,30
2021-01-31,40
2021-02-07,38
2021-02-14,33
2021-02-21,48
2021-02-28,45
2021-03-07,44
2021-03-14,49
2021-03-21,39
2021-03-28,31
2021-04-04,33
2021-04-11,42
2021-04-18,42
2021-04-25,39
2021-05-02,35
2021-05-09,55
2021-05-16,41
2021-05-23,38
2021-05-30,33
2021-06-06,29
2021-06-13,31
2021-06-20,36
2021-06-27,27
2021-07-04,29
2021-07-11,29
2021-07-18,35
2021-07-25,27
2021-08-01,33
2021-08-08,60
2021-08-15,46
2021-08-22,42
2021-08-29,44
2021-09-05,100
2021-09-12,46
2021-09-19,55
2021-09-26,73
2021-10-03,52
2021-10-10,47
2021-10-17,51
2021-10-24,43
2021-10-31,43
2021-11-07,41
2021-11-14,34
2021-11-21,37
2021-11-28,27
2021-12-05,51
2021-12-12,40
2021-12-19,25
2021-12-26,35
2022-01-02,33
2022-01-09,31
2022-01-16,32
2022-01-23,30
2022-01-30,78
2022-02-06,55
2022-02-13,79
2022-02-20,47
2022-02-27,55
2022-03-06,47
2022-03-13,41
2022-03-20,66
2022-03-27,54
2022-04-03,51
2022-04-10,39
2022-04-17,49
2022-04-24,44
2022-05-01,46
2022-05-08,84
2022-05-15,63
2022-05-22,53
2022-05-29,44
2022-06-05,40
2022-06-12,36
2022-06-19,46
2022-06-26,29
