Categoría: Todas las categorías

Semana,ahogo: (Colombia)
2020-01-05,44
2020-01-12,52
2020-01-19,45
2020-01-26,24
2020-02-02,37
2020-02-09,32
2020-02-16,31
2020-02-23,46
2020-03-01,29
2020-03-08,37
2020-03-15,44
2020-03-22,72
2020-03-29,53
2020-04-05,80
2020-04-12,66
2020-04-19,53
2020-04-26,45
2020-05-03,53
2020-05-10,58
2020-05-17,53
2020-05-24,65
2020-05-31,35
2020-06-07,52
2020-06-14,53
2020-06-21,63
2020-06-28,59
2020-07-05,58
2020-07-12,66
2020-07-19,50
2020-07-26,78
2020-08-02,60
2020-08-09,74
2020-08-16,76
2020-08-23,50
2020-08-30,54
2020-09-06,56
2020-09-13,48
2020-09-20,39
2020-09-27,65
2020-10-04,69
2020-10-11,71
2020-10-18,61
2020-10-25,46
2020-11-01,58
2020-11-08,46
2020-11-15,51
2020-11-22,68
2020-11-29,65
2020-12-06,46
2020-12-13,43
2020-12-20,67
2020-12-27,65
2021-01-03,67
2021-01-10,84
2021-01-17,54
2021-01-24,69
2021-01-31,64
2021-02-07,37
2021-02-14,39
2021-02-21,38
2021-02-28,39
2021-03-07,69
2021-03-14,46
2021-03-21,55
2021-03-28,57
2021-04-04,46
2021-04-11,55
2021-04-18,56
2021-04-25,43
2021-05-02,61
2021-05-09,67
2021-05-16,57
2021-05-23,53
2021-05-30,62
2021-06-06,71
2021-06-13,54
2021-06-20,71
2021-06-27,58
2021-07-04,72
2021-07-11,75
2021-07-18,75
2021-07-25,57
2021-08-01,63
2021-08-08,59
2021-08-15,44
2021-08-22,58
2021-08-29,54
2021-09-05,50
2021-09-12,34
2021-09-19,56
2021-09-26,44
2021-10-03,44
2021-10-10,40
2021-10-17,57
2021-10-24,47
2021-10-31,60
2021-11-07,56
2021-11-14,32
2021-11-21,53
2021-11-28,41
2021-12-05,54
2021-12-12,51
2021-12-19,31
2021-12-26,46
2022-01-02,66
2022-01-09,100
2022-01-16,58
2022-01-23,59
2022-01-30,50
2022-02-06,43
2022-02-13,49
2022-02-20,48
2022-02-27,56
2022-03-06,38
2022-03-13,62
2022-03-20,52
2022-03-27,55
2022-04-03,40
2022-04-10,64
2022-04-17,54
2022-04-24,49
2022-05-01,56
2022-05-08,56
2022-05-15,41
2022-05-22,48
2022-05-29,59
